order	ratio_bin	median	lo	hi	observed
Risky first	0	0.2841013247404225	0.25297457930540634	0.3144200680272109	0.26284640171858215
Risky first	1	0.3744969566774078	0.34237280701754386	0.40978025420694597	0.3557715717866094
Risky first	2	0.4858694354934957	0.4490181107530732	0.5202476130803199	0.4816589091777062
Risky first	3	0.5928583363169828	0.5593460735171262	0.6281135875402794	0.5905298961689939
Risky first	4	0.6941114691490632	0.6599759219477265	0.7262867585630743	0.7046950710108605
Risky first	5	0.7746544933762978	0.7420227055734575	0.8049858575008951	0.7924955245255997
Risky second	0	0.30048156104547086	0.26766469745793053	0.3388821160042964	0.30452201933404943
Risky second	1	0.4114578111946533	0.373609857978279	0.45019796515097266	0.41455424274973146
Risky second	2	0.5489414011218523	0.5144492779567966	0.5831365616422006	0.5570366392170903
Risky second	3	0.6618271870151569	0.6271658909177706	0.6984402076620121	0.6751784222460915
Risky second	4	0.7556134383577993	0.7261634741615944	0.784313521899988	0.7593817878028405
Risky second	5	0.8224502815480259	0.7927035283012727	0.8499034518113465	0.8268730267226508
