order	ratio_bin	median	lo	hi	observed
Risky first	0	0.27306838524883636	0.24280424274973147	0.3105261367704977	0.26284640171858215
Risky first	1	0.3675044754744003	0.3339311672037236	0.4075962226996061	0.3557715717866094
Risky first	2	0.4799964196204798	0.4448245912400048	0.5185403687790906	0.4816589091777062
Risky first	3	0.5926518677646497	0.5591988005728608	0.6269047619047619	0.5905298961689939
Risky first	4	0.6950668337510443	0.6595534073278434	0.7260069519035685	0.7046950710108605
Risky first	5	0.7762376178541592	0.7438934837092732	0.8049150554958825	0.7924955245255997
Risky second	0	0.310719656283566	0.2749750268528464	0.34467069459362687	0.30452201933404943
Risky second	1	0.4212447786131997	0.3836162131519274	0.456828917531925	0.41455424274973146
Risky second	2	0.5551157656044874	0.5170591060985799	0.5902264590046544	0.5570366392170903
Risky second	3	0.6630230337749135	0.6320880773361977	0.6980525420694593	0.6751784222460915
Risky second	4	0.7544909893782075	0.7248020945220194	0.7816726936388589	0.7593817878028405
Risky second	5	0.8205969469127363	0.7859824398658984	0.849553014028578	0.8268730267226508
