order	ratio_bin	median	lo	hi	observed
Risky first	0	0.27263157894736845	0.24420273899033298	0.3016046365914787	0.26284640171858215
Risky first	1	0.36919262441818834	0.33507984246330114	0.4043185642678124	0.3557715717866094
Risky first	2	0.48071070533476545	0.44449952261606396	0.5158693161475115	0.4816589091777062
Risky first	3	0.5949474877670367	0.5631181226876716	0.6250192147034251	0.5905298961689939
Risky first	4	0.6957727652464495	0.6636487647690655	0.7275305525719059	0.7046950710108605
Risky first	5	0.7776751402315312	0.7478260830648049	0.8065931793770139	0.7924955245255997
Risky second	0	0.31920873612602935	0.28173961689939137	0.349672305764411	0.30452201933404943
Risky second	1	0.4253490870032223	0.3826002207900704	0.46039035087719293	0.41455424274973146
Risky second	2	0.5497756295500655	0.5101229562000239	0.5850034908700322	0.5570366392170903
Risky second	3	0.6597392290249433	0.6264306301467956	0.6932298603651986	0.6751784222460915
Risky second	4	0.7572395273899033	0.7245579126387397	0.7834319429526196	0.7593817878028405
Risky second	5	0.8315818767698466	0.8027076131888162	0.8615117664290596	0.8268730267226508
