param	regressor	mean	lo	hi	p_gt0
memory_noise_sd_spline1	Intercept	0.42643134398999955	0.12951475492185838	0.7504802383478598	0.9985
memory_noise_sd_spline1	stimulation_condition[T.vertex]	0.2567082937672481	0.08123449724053064	0.4445009407728913	0.99785
memory_noise_sd_spline2	Intercept	0.21920791083410382	0.02358229041674402	0.4263687781747596	0.9859
memory_noise_sd_spline2	stimulation_condition[T.vertex]	-0.13443563972319147	-0.31865331607528175	0.04500386868676244	0.06995
perceptual_noise_sd_spline1	Intercept	-1.7511851385229606	-1.9678872754878234	-1.527771312694136	0.0
perceptual_noise_sd_spline1	stimulation_condition[T.vertex]	-0.49018611881458835	-0.6505742671203585	-0.3409606601813553	0.0
perceptual_noise_sd_spline2	Intercept	-1.375810440299418	-1.5793969352570343	-1.173918711243558	0.0
perceptual_noise_sd_spline2	stimulation_condition[T.vertex]	0.48858041786770307	0.32258724157079066	0.6651384143704139	1.0
risky_prior_mu	Intercept	3.2711684930442853	2.7005325206374815	3.885738904814613	1.0
risky_prior_sd	Intercept	-0.3392068486892401	-0.6517424092898321	0.010556496958521516	0.02865
safe_prior_mu	Intercept	2.4644235744010614	1.5254698127228965	3.434613126421572	1.0
safe_prior_sd	Intercept	0.3438586379309109	-0.31210758606082084	1.1769102477044127	0.813
