param	regressor	mean	lo	hi	p_gt0
memory_noise_sd_spline1	Intercept	0.6737353960867908	0.45006713119587394	0.936031810264978	1.0
memory_noise_sd_spline1	stimulation_condition[T.vertex]	-0.04701451139115885	-0.33838071186324514	0.26458625393919144	0.3656
memory_noise_sd_spline2	Intercept	-0.0035377958473539195	-0.1712289987765477	0.17601154551695752	0.4771
memory_noise_sd_spline2	stimulation_condition[T.vertex]	0.018583857414833052	-0.1762120164166423	0.2189600426652086	0.573
perceptual_noise_sd_spline1	Intercept	-2.0650027963148996	-2.3802795836458293	-1.7645182634679974	0.0
perceptual_noise_sd_spline1	stimulation_condition[T.vertex]	-0.10086974153095522	-0.4804778404942297	0.279520049751393	0.29705
perceptual_noise_sd_spline2	Intercept	-1.7257289379840353	-1.99615138515237	-1.443940012716965	0.0
perceptual_noise_sd_spline2	stimulation_condition[T.vertex]	-0.10626180857662927	-0.46026529355809576	0.22407591024494272	0.27305
perceptual_noise_sd_spline3	Intercept	-1.905914428209157	-2.2769180190677667	-1.5428642217206667	0.0
perceptual_noise_sd_spline3	stimulation_condition[T.vertex]	-0.018805846329562077	-0.4066157545063037	0.36534358901890146	0.45925
perceptual_noise_sd_spline4	Intercept	-1.5058115196303021	-1.819917239278633	-1.206579274277038	0.0
perceptual_noise_sd_spline4	stimulation_condition[T.vertex]	0.04628964580885833	-0.3210296704986235	0.4088153815863417	0.60395
perceptual_noise_sd_spline5	Intercept	-1.3511101302190534	-1.5646251027285392	-1.1281503233975787	0.0
perceptual_noise_sd_spline5	stimulation_condition[T.vertex]	0.1295888055808136	-0.21343623447748103	0.4943623133674398	0.77345
risky_prior_mu	Intercept	2.7620961336965526	2.523936336541587	2.9891814527692895	1.0
risky_prior_sd	Intercept	-0.8455951926284789	-1.1340340074045479	-0.5283542702419527	0.0001
safe_prior_mu	Intercept	2.242453493626619	1.9066038078100813	2.5746941715916685	1.0
safe_prior_sd	Intercept	-0.5958794352581663	-1.0044919968383816	-0.09854522561993342	0.01315
