label	order	stake_grp	rung	observed	model	lo	hi	frac	stake
log-power-n1n2	Risky first	0	1	0.3398196248196248	0.33713227427334563	0.286642625231911	0.38571413110698827	1.5089285714285714	11.365384615384615
log-power-n1n2	Risky first	0	2	0.42145124716553284	0.4440693877551021	0.38559580498866214	0.5033463718820861	1.742508710801394	11.733449477351916
log-power-n1n2	Risky first	0	3	0.5744588744588744	0.5702386363636364	0.5145763760049474	0.6240302257266542	2.027547363031234	12.840501792114695
log-power-n1n2	Risky first	0	4	0.7046938775510204	0.6995725340136054	0.6494209183673469	0.752579931972789	2.3529880478087652	14.00996015936255
log-power-n1n2	Risky first	0	5	0.8102941176470588	0.8222205882352941	0.763235294117647	0.8808823529411764	2.734782608695652	13.152173913043478
log-power-n1n2	Risky first	0	6	0.9427083333333334	0.8853190104166666	0.8228515625	0.9375	3.1202380952380953	14.420833333333333
log-power-n1n2	Risky first	1	1	0.21772108843537416	0.24171215986394556	0.18716496598639454	0.28844897959183674	1.606221198156682	22.83467741935484
log-power-n1n2	Risky first	1	2	0.3420068027210884	0.3338018707482993	0.2849702380952381	0.383703231292517	1.7861835245046924	23.67153284671533
log-power-n1n2	Risky first	1	3	0.4695238095238095	0.46247023809523813	0.39474404761904763	0.5266845238095239	2.0358747993579454	23.073033707865168
log-power-n1n2	Risky first	1	4	0.5591156462585034	0.5916128401360544	0.5151675170068027	0.6572823129251701	2.359435626102293	22.530864197530864
log-power-n1n2	Risky first	1	5	0.736904761904762	0.7241968537414966	0.666296768707483	0.7779336734693877	2.722373949579832	22.334558823529413
log-power-n1n2	Risky first	1	6	0.8092517006802721	0.8285528911564626	0.7843869047619048	0.8750042517006803	3.1588066551921976	23.61847389558233
log-power-n1n2	Risky first	2	1	0.18333333333333335	0.22595238095238096	0.16660714285714284	0.28815476190476186	1.5945378151260505	36.3235294117647
log-power-n1n2	Risky first	2	2	0.27380952380952384	0.29848214285714286	0.23095238095238096	0.3666666666666667	1.8232142857142857	39.28214285714286
log-power-n1n2	Risky first	2	3	0.37823129251700677	0.4012929421768707	0.33856717687074833	0.4578613945578231	2.081611570247934	37.92355371900826
log-power-n1n2	Risky first	2	4	0.49387755102040815	0.5058690476190476	0.44742346938775507	0.5576700680272109	2.3720474471376995	40.44765342960289
log-power-n1n2	Risky first	2	5	0.6303061224489797	0.6095737244897959	0.558530612244898	0.6596938775510205	2.759011776753712	45.041218637992834
log-power-n1n2	Risky first	2	6	0.7339115646258504	0.7040682823129251	0.6509744897959183	0.7571802721088434	3.2656321314468277	48.35782747603834
log-power-n1n2	Risky second	0	1	0.26391465677179965	0.27875633889919604	0.236509224902082	0.3257225314368171	1.5089171974522293	11.406050955414013
log-power-n1n2	Risky second	0	2	0.37434807256235825	0.39461730442176873	0.33947321428571425	0.4445420918367347	1.7453459432553509	11.717770034843205
log-power-n1n2	Risky second	0	3	0.5335034013605442	0.541078656462585	0.48890731292517003	0.59765731292517	2.0237588652482272	12.831560283687944
log-power-n1n2	Risky second	0	4	0.7016326530612245	0.6849483843537415	0.6306743197278911	0.7366615646258503	2.3526610644257704	14.013725490196078
log-power-n1n2	Risky second	0	5	0.7916666666666667	0.7898982843137256	0.7318504901960784	0.8481004901960784	2.72415210688592	13.215827338129497
log-power-n1n2	Risky second	0	6	0.8828125	0.8675065104166667	0.8020833333333334	0.9192708333333334	3.124274099883856	14.434959349593496
log-power-n1n2	Risky second	1	1	0.3274829931972789	0.30936649659863946	0.2532219387755102	0.36048044217687075	1.604916136495084	22.917004048582996
log-power-n1n2	Risky second	1	2	0.4853741496598639	0.4287006802721089	0.3730654761904762	0.48267857142857135	1.7933246753246752	23.758181818181818
log-power-n1n2	Risky second	1	3	0.5954761904761904	0.556564880952381	0.4868869047619048	0.6247738095238095	2.0393056664006384	23.21508379888268
log-power-n1n2	Risky second	1	4	0.7493197278911564	0.686014455782313	0.6166369047619047	0.7544642857142857	2.3615520282186946	22.617283950617285
log-power-n1n2	Risky second	1	5	0.7784013605442177	0.7907142857142857	0.7464243197278911	0.8370833333333333	2.732395114179501	22.45910780669145
log-power-n1n2	Risky second	1	6	0.8726190476190476	0.8696279761904762	0.8285595238095239	0.910720238095238	3.1568027210884355	23.636904761904763
log-power-n1n2	Risky second	2	1	0.32857142857142857	0.33150595238095243	0.25	0.4024999999999999	1.5947089947089947	36.32592592592592
log-power-n1n2	Risky second	2	2	0.3985714285714286	0.42793214285714287	0.35714285714285715	0.5129642857142855	1.8080547112462007	39.209219858156025
log-power-n1n2	Risky second	2	3	0.49676870748299323	0.5302147108843538	0.46818452380952386	0.5884566326530611	2.0815352697095433	37.95228215767635
log-power-n1n2	Risky second	2	4	0.6428571428571429	0.6395892857142857	0.5857142857142857	0.6928571428571428	2.3809183673469385	40.57857142857143
log-power-n1n2	Risky second	2	5	0.7230612244897959	0.7188073979591837	0.6700739795918367	0.7671607142857144	2.756634468734113	44.9644128113879
log-power-n1n2	Risky second	2	6	0.7811904761904761	0.7844333333333333	0.7409464285714286	0.8273809523809523	3.2726039783001806	48.5
