label	order	stake_grp	rung	observed	model	lo	hi	frac	stake
log-weber-n1n2	Risky first	0	1	0.3398196248196248	0.35436973562152135	0.30486786229643364	0.40362340239125954	1.5089285714285714	11.365384615384615
log-weber-n1n2	Risky first	0	2	0.42145124716553284	0.45614547902494335	0.40070691609977327	0.511048611111111	1.742508710801394	11.733449477351916
log-weber-n1n2	Risky first	0	3	0.5744588744588744	0.5729739486703772	0.5232645330859617	0.6287666202844774	2.027547363031234	12.840501792114695
log-weber-n1n2	Risky first	0	4	0.7046938775510204	0.689194387755102	0.634	0.7413375850340137	2.3529880478087652	14.00996015936255
log-weber-n1n2	Risky first	0	5	0.8102941176470588	0.809095588235294	0.7498897058823529	0.8676470588235294	2.734782608695652	13.152173913043478
log-weber-n1n2	Risky first	0	6	0.9427083333333334	0.8698307291666666	0.8046223958333334	0.9219401041666666	3.1202380952380953	14.420833333333333
log-weber-n1n2	Risky first	1	1	0.21772108843537416	0.24861062925170066	0.1951675170068027	0.30187585034013603	1.606221198156682	22.83467741935484
log-weber-n1n2	Risky first	1	2	0.3420068027210884	0.3417742346938775	0.29130102040816325	0.39187074829931967	1.7861835245046924	23.67153284671533
log-weber-n1n2	Risky first	1	3	0.4695238095238095	0.4722125	0.40591666666666665	0.5378571428571428	2.0358747993579454	23.073033707865168
log-weber-n1n2	Risky first	1	4	0.5591156462585034	0.5992821428571429	0.5196522108843538	0.6650034013605441	2.359435626102293	22.530864197530864
log-weber-n1n2	Risky first	1	5	0.736904761904762	0.7244336734693877	0.6720875850340137	0.7724872448979591	2.722373949579832	22.334558823529413
log-weber-n1n2	Risky first	1	6	0.8092517006802721	0.8265307823129251	0.7770178571428571	0.8714285714285714	3.1588066551921976	23.61847389558233
log-weber-n1n2	Risky first	2	1	0.18333333333333335	0.2153928571428571	0.15238095238095237	0.2810119047619047	1.5945378151260505	36.3235294117647
log-weber-n1n2	Risky first	2	2	0.27380952380952384	0.2885892857142857	0.22851190476190475	0.35714285714285715	1.8232142857142857	39.28214285714286
log-weber-n1n2	Risky first	2	3	0.37823129251700677	0.39729336734693876	0.34077806122448984	0.4518707482993197	2.081611570247934	37.92355371900826
log-weber-n1n2	Risky first	2	4	0.49387755102040815	0.5049574829931973	0.4474234693877551	0.5616284013605441	2.3720474471376995	40.44765342960289
log-weber-n1n2	Risky first	2	5	0.6303061224489797	0.6071178571428572	0.5541836734693878	0.663170918367347	2.759011776753712	45.041218637992834
log-weber-n1n2	Risky first	2	6	0.7339115646258504	0.703953231292517	0.6500280612244899	0.7481998299319728	3.2656321314468277	48.35782747603834
log-weber-n1n2	Risky second	0	1	0.26391465677179965	0.29897983663162236	0.2531159812409812	0.3518690733869305	1.5089171974522293	11.406050955414013
log-weber-n1n2	Risky second	0	2	0.37434807256235825	0.40983195861678007	0.3547691326530612	0.4645242346938775	1.7453459432553509	11.717770034843205
log-weber-n1n2	Risky second	0	3	0.5335034013605442	0.5400884353741496	0.4861989795918367	0.5945578231292518	2.0237588652482272	12.831560283687944
log-weber-n1n2	Risky second	0	4	0.7016326530612245	0.6724398809523809	0.6220688775510205	0.7259574829931973	2.3526610644257704	14.013725490196078
log-weber-n1n2	Risky second	0	5	0.7916666666666667	0.7776458333333334	0.7131740196078432	0.8417279411764705	2.72415210688592	13.215827338129497
log-weber-n1n2	Risky second	0	6	0.8828125	0.8570703125	0.7890625	0.9140625	3.124274099883856	14.434959349593496
log-weber-n1n2	Risky second	1	1	0.3274829931972789	0.2879885204081633	0.22683673469387755	0.3365960884353741	1.604916136495084	22.917004048582996
log-weber-n1n2	Risky second	1	2	0.4853741496598639	0.40325850340136055	0.34450680272108847	0.4571598639455782	1.7933246753246752	23.758181818181818
log-weber-n1n2	Risky second	1	3	0.5954761904761904	0.5296184523809524	0.4528035714285714	0.6046011904761904	2.0393056664006384	23.21508379888268
log-weber-n1n2	Risky second	1	4	0.7493197278911564	0.6629264455782313	0.5877508503401361	0.7327295918367346	2.3615520282186946	22.617283950617285
log-weber-n1n2	Risky second	1	5	0.7784013605442177	0.7756160714285716	0.7278316326530612	0.8256930272108843	2.732395114179501	22.45910780669145
log-weber-n1n2	Risky second	1	6	0.8726190476190476	0.8655095238095238	0.8238095238095238	0.9074047619047619	3.1568027210884355	23.636904761904763
log-weber-n1n2	Risky second	2	1	0.32857142857142857	0.30979166666666663	0.2357142857142857	0.3716071428571427	1.5947089947089947	36.32592592592592
log-weber-n1n2	Risky second	2	2	0.3985714285714286	0.40941071428571435	0.3357142857142857	0.4928571428571429	1.8080547112462007	39.209219858156025
log-weber-n1n2	Risky second	2	3	0.49676870748299323	0.519499574829932	0.4625552721088435	0.5768707482993197	2.0815352697095433	37.95228215767635
log-weber-n1n2	Risky second	2	4	0.6428571428571429	0.6422142857142856	0.5892857142857143	0.6929464285714285	2.3809183673469385	40.57857142857143
log-weber-n1n2	Risky second	2	5	0.7230612244897959	0.7427831632653061	0.7007066326530611	0.7868622448979592	2.756634468734113	44.9644128113879
log-weber-n1n2	Risky second	2	6	0.7811904761904761	0.8243886904761905	0.7854523809523809	0.8652440476190476	3.2726039783001806	48.5
