label	order	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-weber+affine-n1n2.mapjitter	Risky first	1	ips	0.2729087301587302	0.23138095238095238	0.31562698412698403	0.25523809523809526	0.03563333496167406	1.5597625869832175	20.310888252149	15.825214899713467
log-weber+affine-n1n2.mapjitter	Risky first	1	vertex	0.2913047619047619	0.2488412698412698	0.33398412698412705	0.26952380952380955	0.03989649139139269	1.5608892548373814	20.347262247838618	15.847262247838616
log-weber+affine-n1n2.mapjitter	Risky first	2	ips	0.3640685941043084	0.32192063492063494	0.4079172335600907	0.3597278911564626	0.036890898456950406	1.7755159854309996	21.92067988668555	15.733711048158641
log-weber+affine-n1n2.mapjitter	Risky first	2	vertex	0.3785617630385487	0.3307372448979592	0.4246845238095238	0.3617233560090703	0.037871423105675164	1.7758825944170773	21.882183908045977	15.701149425287356
log-weber+affine-n1n2.mapjitter	Risky first	3	ips	0.4791392857142857	0.4250634920634921	0.526515873015873	0.5065079365079365	0.03583984568264996	2.0474562474562474	24.108262108262107	15.774928774928775
log-weber+affine-n1n2.mapjitter	Risky first	3	vertex	0.48698253968253974	0.4406309523809524	0.5358968253968255	0.44682539682539685	0.041334521605188454	2.049322660098522	24.152298850574713	15.795977011494253
log-weber+affine-n1n2.mapjitter	Risky first	4	ips	0.5949444444444444	0.5434603174603174	0.6400317460317461	0.5920634920634921	0.03893107336834764	2.365024630541872	26.70689655172414	15.841954022988507
log-weber+affine-n1n2.mapjitter	Risky first	4	vertex	0.5961160714285714	0.5465039682539683	0.6378789682539682	0.5916666666666667	0.046162380236536814	2.359231411862991	26.539473684210527	15.786549707602338
log-weber+affine-n1n2.mapjitter	Risky first	5	ips	0.6959354875283447	0.6480816326530612	0.743578231292517	0.7070748299319728	0.037901241341324075	2.740600414078675	29.659420289855074	15.831884057971015
log-weber+affine-n1n2.mapjitter	Risky first	5	vertex	0.6957573412698411	0.6552162698412699	0.7433472222222222	0.7081746031746032	0.03676840969590351	2.7387873754152823	29.72093023255814	15.877906976744185
log-weber+affine-n1n2.mapjitter	Risky first	6	ips	0.7830763888888889	0.7374583333333333	0.8265277777777778	0.7913492063492064	0.031450639009639896	3.2096774193548385	33.47214076246334	15.926686217008797
log-weber+affine-n1n2.mapjitter	Risky first	6	vertex	0.780157738095238	0.7392718253968255	0.8225396825396825	0.7965079365079365	0.03339170559287082	3.1924172601591954	33.23607038123167	15.873900293255131
log-weber+affine-n1n2.mapjitter	Risky second	1	ips	0.30671111111111116	0.25992857142857145	0.3536587301587302	0.3307936507936508	0.03779668257219359	1.5596953478797857	20.35014409221902	15.855907780979827
log-weber+affine-n1n2.mapjitter	Risky second	1	vertex	0.2989087301587302	0.25585714285714284	0.34095238095238095	0.27841269841269844	0.039049137240570096	1.5595579205894394	20.299426934097422	15.816618911174785
log-weber+affine-n1n2.mapjitter	Risky second	2	ips	0.4153057823129251	0.367515873015873	0.46499092970521544	0.48426303854875286	0.04272237697099603	1.7773707773707774	21.937321937321936	15.737891737891738
log-weber+affine-n1n2.mapjitter	Risky second	2	vertex	0.40552460317460315	0.3586371882086168	0.4552653061224489	0.35555555555555557	0.03613785549893971	1.7760146103896104	21.946022727272727	15.75
log-weber+affine-n1n2.mapjitter	Risky second	3	ips	0.5454154761904761	0.4928214285714286	0.59575	0.5704761904761905	0.04062470693299859	2.0469155844155846	24.068181818181817	15.75
log-weber+affine-n1n2.mapjitter	Risky second	3	vertex	0.5348956349206349	0.4893611111111111	0.5829126984126983	0.5155555555555555	0.03387422958262476	2.048204081632653	24.138571428571428	15.791428571428572
log-weber+affine-n1n2.mapjitter	Risky second	4	ips	0.6725309523809523	0.6218611111111111	0.7190833333333333	0.7068253968253969	0.03144354018281707	2.3689584191025115	26.74207492795389	15.85014409221902
log-weber+affine-n1n2.mapjitter	Risky second	4	vertex	0.6536214285714286	0.6085714285714285	0.7	0.6685714285714285	0.03774559433836991	2.3632244897959183	26.62857142857143	15.8
log-weber+affine-n1n2.mapjitter	Risky second	5	ips	0.7720996598639457	0.7304886621315193	0.813015873015873	0.7686167800453515	0.03314172753475259	2.7425664451827245	29.795058139534884	15.898255813953488
log-weber+affine-n1n2.mapjitter	Risky second	5	vertex	0.7484972222222223	0.7042599206349206	0.7894801587301588	0.7491269841269842	0.030595375849986766	2.7386749482401656	29.75072463768116	15.898550724637682
log-weber+affine-n1n2.mapjitter	Risky second	6	ips	0.8470857142857144	0.8085	0.8857142857142857	0.84	0.027255405754769875	3.206335403726708	33.391304347826086	15.889855072463767
log-weber+affine-n1n2.mapjitter	Risky second	6	vertex	0.8199714285714285	0.7819047619047619	0.8552857142857142	0.82	0.02774433093732238	3.2016102394715107	33.346820809248555	15.884393063583815
