label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-weber+spl5-n1n2.pathfinder	Risky first	0	ips	0.553788030379616	0.521595905347785	0.5887271529026283	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126
log-weber+spl5-n1n2.pathfinder	Risky first	0	vertex	0.5620276435135457	0.5276173062526447	0.5989218500797447	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087
log-weber+spl5-n1n2.pathfinder	Risky first	1	ips	0.5235368741116861	0.4921236288773883	0.5558116449131487	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898
log-weber+spl5-n1n2.pathfinder	Risky first	1	vertex	0.5341816323020435	0.4988657836340277	0.5655233712304699	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863
log-weber+spl5-n1n2.pathfinder	Risky first	2	ips	0.5058600687324372	0.46356854256854263	0.5458735664919875	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303
log-weber+spl5-n1n2.pathfinder	Risky first	2	vertex	0.5074790510143451	0.4699593714678854	0.5459014325028256	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116
log-weber+spl5-n1n2.pathfinder	Risky second	0	ips	0.5368646575855223	0.4974807120615392	0.5728530579695993	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856
log-weber+spl5-n1n2.pathfinder	Risky second	0	vertex	0.5195205657542123	0.4825020153196845	0.55622836582799	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429
log-weber+spl5-n1n2.pathfinder	Risky second	1	ips	0.6149545423272977	0.5794284370845627	0.6483872799518532	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567
log-weber+spl5-n1n2.pathfinder	Risky second	1	vertex	0.6049553523961418	0.5693170046327941	0.6406415090757196	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957
log-weber+spl5-n1n2.pathfinder	Risky second	2	ips	0.6333595710054357	0.5948008169775089	0.6723891058815871	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165
log-weber+spl5-n1n2.pathfinder	Risky second	2	vertex	0.6104482228298018	0.5724054454317612	0.6470296195033036	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439
