label	order	stake_bin	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-affine-mem	Risky first	0	0.005063331265520566	-0.0394882168178276	0.053354503523897596	0.6	0.011795959213031306	0.029597452359253172	2.0757029560201876	12.658976207642393
log-affine-mem	Risky first	1	0.0021433983800856885	-0.0393997391620125	0.04922090000274431	0.56	-0.008979291876240124	0.03521516769099482	2.2844540853217645	23.03832248734635
log-affine-mem	Risky first	2	0.003873806508249233	-0.0484810611644977	0.049450802809161885	0.55	0.016444006629765147	0.033777521973981664	2.4692295808013185	42.19430425378515
log-affine-mem	Risky second	0	0.005814853963914117	-0.036816624895572254	0.05107834792609225	0.6	0.05994824724148031	0.03282724727628665	2.07734693877551	12.677857142857142
log-affine-mem	Risky second	1	0.01961594489470429	-0.022988780998842908	0.06284668684060542	0.8125	0.061330860893001535	0.03509798859832722	2.2888109000825763	23.129696531791907
log-affine-mem	Risky second	2	0.013635163124260868	-0.03178232377480497	0.06087168136792195	0.7175	0.03700550076489926	0.03892267001359706	2.4729452756712442	42.25394548063128
