label	order	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-spl3-n1n2psd	Risky first	1	ips	0.28265079365079365	0.24031746031746032	0.32413492063492066	0.25523809523809526	0.03563333496167406	1.5597625869832175	20.310888252149
log-spl3-n1n2psd	Risky first	1	vertex	0.2829690476190476	0.236484126984127	0.327031746031746	0.26952380952380955	0.03989649139139269	1.5608892548373814	20.347262247838618
log-spl3-n1n2psd	Risky first	2	ips	0.37490578231292515	0.3325816326530612	0.42045918367346935	0.3597278911564626	0.036890898456950406	1.7755159854309996	21.92067988668555
log-spl3-n1n2psd	Risky first	2	vertex	0.3703189058956916	0.32516326530612244	0.41799688208616775	0.3617233560090703	0.037871423105675164	1.7758825944170773	21.882183908045977
log-spl3-n1n2psd	Risky first	3	ips	0.48811031746031747	0.43657142857142855	0.5362261904761905	0.5065079365079365	0.03583984568264996	2.0474562474562474	24.108262108262107
log-spl3-n1n2psd	Risky first	3	vertex	0.47726706349206344	0.4332539682539682	0.5271468253968253	0.44682539682539685	0.041334521605188454	2.049322660098522	24.152298850574713
log-spl3-n1n2psd	Risky first	4	ips	0.5994698412698413	0.5488253968253968	0.6501746031746032	0.5920634920634921	0.03893107336834764	2.365024630541872	26.70689655172414
log-spl3-n1n2psd	Risky first	4	vertex	0.5864775793650794	0.5379325396825397	0.6307222222222222	0.5916666666666667	0.046162380236536814	2.359231411862991	26.539473684210527
log-spl3-n1n2psd	Risky first	5	ips	0.6994272108843538	0.6505340136054422	0.7420442176870747	0.7070748299319728	0.037901241341324075	2.740600414078675	29.659420289855074
log-spl3-n1n2psd	Risky first	5	vertex	0.6882714285714286	0.6412619047619047	0.7346448412698412	0.7081746031746032	0.03676840969590351	2.7387873754152823	29.72093023255814
log-spl3-n1n2psd	Risky first	6	ips	0.7830585317460317	0.7408630952380952	0.8262956349206348	0.7913492063492064	0.031450639009639896	3.2096774193548385	33.47214076246334
log-spl3-n1n2psd	Risky first	6	vertex	0.775280753968254	0.728547619047619	0.8164305555555555	0.7965079365079365	0.03339170559287082	3.1924172601591954	33.23607038123167
log-spl3-n1n2psd	Risky second	1	ips	0.3280174603174604	0.2784047619047619	0.377547619047619	0.3307936507936508	0.03779668257219359	1.5596953478797857	20.35014409221902
log-spl3-n1n2psd	Risky second	1	vertex	0.29302222222222224	0.2488333333333333	0.33814285714285713	0.27841269841269844	0.039049137240570096	1.5595579205894394	20.299426934097422
log-spl3-n1n2psd	Risky second	2	ips	0.4361543083900227	0.3853367346938775	0.485171201814059	0.48426303854875286	0.04272237697099603	1.7773707773707774	21.937321937321936
log-spl3-n1n2psd	Risky second	2	vertex	0.3994460317460317	0.3514342403628118	0.4420011337868481	0.35555555555555557	0.03613785549893971	1.7760146103896104	21.946022727272727
log-spl3-n1n2psd	Risky second	3	ips	0.5630035714285714	0.5061785714285715	0.6129404761904761	0.5704761904761905	0.04062470693299859	2.0469155844155846	24.068181818181817
log-spl3-n1n2psd	Risky second	3	vertex	0.5295865079365079	0.479936507936508	0.5776388888888889	0.5155555555555555	0.03387422958262476	2.048204081632653	24.138571428571428
log-spl3-n1n2psd	Risky second	4	ips	0.6814396825396823	0.6311051587301587	0.7234285714285714	0.7068253968253969	0.03144354018281707	2.3689584191025115	26.74207492795389
log-spl3-n1n2psd	Risky second	4	vertex	0.6520571428571429	0.6085714285714285	0.6971428571428571	0.6685714285714285	0.03774559433836991	2.3632244897959183	26.62857142857143
log-spl3-n1n2psd	Risky second	5	ips	0.7698333333333334	0.724579365079365	0.8127301587301587	0.7686167800453515	0.03314172753475259	2.7425664451827245	29.795058139534884
log-spl3-n1n2psd	Risky second	5	vertex	0.7448486111111111	0.7045813492063492	0.787343253968254	0.7491269841269842	0.030595375849986766	2.7386749482401656	29.75072463768116
log-spl3-n1n2psd	Risky second	6	ips	0.8364428571428572	0.7942857142857143	0.8742857142857143	0.84	0.027255405754769875	3.206335403726708	33.391304347826086
log-spl3-n1n2psd	Risky second	6	vertex	0.8137142857142856	0.7723571428571429	0.8495714285714285	0.82	0.02774433093732238	3.2016102394715107	33.346820809248555
