label	order	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power-n1n2	Risky first	1	ips	0.2727015873015873	0.23174603174603173	0.3142936507936508	0.25523809523809526	0.03563333496167406	1.5597625869832175	20.310888252149	15.825214899713467
log-power-n1n2	Risky first	1	vertex	0.287865873015873	0.24348412698412697	0.33020634920634917	0.26952380952380955	0.03989649139139269	1.5608892548373814	20.347262247838618	15.847262247838616
log-power-n1n2	Risky first	2	ips	0.3662967120181406	0.3205283446712018	0.41255782312925166	0.3597278911564626	0.036890898456950406	1.7755159854309996	21.92067988668555	15.733711048158641
log-power-n1n2	Risky first	2	vertex	0.3764217970521542	0.3282525510204081	0.424469671201814	0.3617233560090703	0.037871423105675164	1.7758825944170773	21.882183908045977	15.701149425287356
log-power-n1n2	Risky first	3	ips	0.4815011904761905	0.42934523809523806	0.530063492063492	0.5065079365079365	0.03583984568264996	2.0474562474562474	24.108262108262107	15.774928774928775
log-power-n1n2	Risky first	3	vertex	0.4865253968253968	0.44333333333333336	0.5371428571428571	0.44682539682539685	0.041334521605188454	2.049322660098522	24.152298850574713	15.795977011494253
log-power-n1n2	Risky first	4	ips	0.5979277777777778	0.5485238095238095	0.6498650793650793	0.5920634920634921	0.03893107336834764	2.365024630541872	26.70689655172414	15.841954022988507
log-power-n1n2	Risky first	4	vertex	0.5963353174603174	0.5487996031746031	0.6422916666666666	0.5916666666666667	0.046162380236536814	2.359231411862991	26.539473684210527	15.786549707602338
log-power-n1n2	Risky first	5	ips	0.7003056689342404	0.6535079365079365	0.7477154195011338	0.7070748299319728	0.037901241341324075	2.740600414078675	29.659420289855074	15.831884057971015
log-power-n1n2	Risky first	5	vertex	0.6930382936507936	0.6430813492063492	0.7384583333333333	0.7081746031746032	0.03676840969590351	2.7387873754152823	29.72093023255814	15.877906976744185
log-power-n1n2	Risky first	6	ips	0.7873833333333334	0.7398134920634921	0.8272301587301588	0.7913492063492064	0.031450639009639896	3.2096774193548385	33.47214076246334	15.926686217008797
log-power-n1n2	Risky first	6	vertex	0.7709583333333333	0.7250793650793651	0.8146269841269842	0.7965079365079365	0.03339170559287082	3.1924172601591954	33.23607038123167	15.873900293255131
log-power-n1n2	Risky second	1	ips	0.3099928571428571	0.26028571428571423	0.35873809523809524	0.3307936507936508	0.03779668257219359	1.5596953478797857	20.35014409221902	15.855907780979827
log-power-n1n2	Risky second	1	vertex	0.2963095238095238	0.24760317460317458	0.33842857142857147	0.27841269841269844	0.039049137240570096	1.5595579205894394	20.299426934097422	15.816618911174785
log-power-n1n2	Risky second	2	ips	0.41906882086167807	0.3675986394557823	0.46558730158730155	0.48426303854875286	0.04272237697099603	1.7773707773707774	21.937321937321936	15.737891737891738
log-power-n1n2	Risky second	2	vertex	0.4072608843537415	0.35934693877551016	0.4536598639455782	0.35555555555555557	0.03613785549893971	1.7760146103896104	21.946022727272727	15.75
log-power-n1n2	Risky second	3	ips	0.5493095238095238	0.499047619047619	0.6014404761904761	0.5704761904761905	0.04062470693299859	2.0469155844155846	24.068181818181817	15.75
log-power-n1n2	Risky second	3	vertex	0.5378571428571428	0.4880595238095238	0.5827539682539682	0.5155555555555555	0.03387422958262476	2.048204081632653	24.138571428571428	15.791428571428572
log-power-n1n2	Risky second	4	ips	0.6743029761904762	0.6283055555555556	0.7229722222222221	0.7068253968253969	0.03144354018281707	2.3689584191025115	26.74207492795389	15.85014409221902
log-power-n1n2	Risky second	4	vertex	0.6591499999999999	0.6142857142857143	0.7029285714285713	0.6685714285714285	0.03774559433836991	2.3632244897959183	26.62857142857143	15.8
log-power-n1n2	Risky second	5	ips	0.770235260770975	0.7292210884353741	0.8105	0.7686167800453515	0.03314172753475259	2.7425664451827245	29.795058139534884	15.898255813953488
log-power-n1n2	Risky second	5	vertex	0.7506087301587301	0.709670634920635	0.7944444444444445	0.7491269841269842	0.030595375849986766	2.7386749482401656	29.75072463768116	15.898550724637682
log-power-n1n2	Risky second	6	ips	0.8406285714285714	0.8028571428571429	0.88	0.84	0.027255405754769875	3.206335403726708	33.391304347826086	15.889855072463767
log-power-n1n2	Risky second	6	vertex	0.8158500000000001	0.7742857142857144	0.8514285714285714	0.82	0.02774433093732238	3.2016102394715107	33.346820809248555	15.884393063583815
