label	order	rung	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-weber-n2	Risky first	1	-0.011684126984126984	-0.06953174603174604	0.051499999999999935	0.3525	-0.014285714285714289	0.036445365126295676	1.560324302134647	20.32902298850575
log-weber-n2	Risky first	2	-0.012376870748299318	-0.07709013605442176	0.05461054421768703	0.3675	-0.001995464852607712	0.039793806545429716	1.7756979824740167	21.901569186875893
log-weber-n2	Risky first	3	-0.010083333333333333	-0.0797063492063492	0.05248809523809513	0.3825	0.05968253968253967	0.03836606192729519	2.048385448600041	24.130185979971387
log-weber-n2	Risky first	4	-0.008094047619047619	-0.07891865079365079	0.05520634920634918	0.4175	0.0003968253968253986	0.04195467576645311	2.362153209109731	26.62391304347826
log-weber-n2	Risky first	5	-0.007267772108843538	-0.06796315192743764	0.052049319727891154	0.415	-0.0010997732426303959	0.039340281011939926	2.7396952104499275	29.690130624092888
log-weber-n2	Risky first	6	-0.005392857142857144	-0.06236904761904761	0.048194444444444436	0.445	-0.005158730158730161	0.030555798075844035	3.2010473397570176	33.354105571847505
log-weber-n2	Risky second	1	-0.008882539682539683	-0.06923809523809525	0.04573015873015871	0.39	0.052380952380952375	0.03844840960259965	1.5596264367816093	20.32471264367816
log-weber-n2	Risky second	2	-0.007704195011337869	-0.07484013605442177	0.0635453514739229	0.395	0.1287074829931973	0.048648051157488874	1.7766917293233082	21.94167852062589
log-weber-n2	Risky second	3	-0.003978968253968254	-0.06987301587301588	0.06699603174603175	0.455	0.05492063492063492	0.038718294244327746	2.047557997557998	24.103276353276353
log-weber-n2	Risky second	4	-0.0009174603174603178	-0.07246428571428573	0.06216269841269839	0.51	0.038253968253968255	0.03420792520649049	2.3660791145726585	26.685078909612624
log-weber-n2	Risky second	5	0.0032467970521541946	-0.06116893424036282	0.060793367346938736	0.5125	0.019489795918367338	0.03151580001348493	2.740617872693344	29.772859216255444
log-weber-n2	Risky second	6	0.005045238095238096	-0.048571428571428564	0.06285714285714286	0.545	0.019999999999999997	0.03473791428793085	3.2039694025222243	33.36903039073806
