label	order	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	ips	0.27399285714285715	0.2256746031746032	0.3158888888888889	0.25523809523809526	0.03563333496167406	1.5597625869832175	20.310888252149
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	1	vertex	0.28907460317460315	0.24565873015873013	0.32921428571428574	0.26952380952380955	0.03989649139139269	1.5608892548373814	20.347262247838618
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	2	ips	0.3672721088435374	0.3234104308390023	0.4133616780045351	0.3597278911564626	0.036890898456950406	1.7755159854309996	21.92067988668555
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	2	vertex	0.37943993764172335	0.32902324263038546	0.42919331065759636	0.3617233560090703	0.037871423105675164	1.7758825944170773	21.882183908045977
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	3	ips	0.4829246031746031	0.42776984126984124	0.5306666666666667	0.5065079365079365	0.03583984568264996	2.0474562474562474	24.108262108262107
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	3	vertex	0.4873369047619047	0.4423769841269841	0.5382777777777777	0.44682539682539685	0.041334521605188454	2.049322660098522	24.152298850574713
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	4	ips	0.5994761904761905	0.5495238095238095	0.6463650793650794	0.5920634920634921	0.03893107336834764	2.365024630541872	26.70689655172414
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	4	vertex	0.5968011904761904	0.5455376984126984	0.6457400793650794	0.5916666666666667	0.046162380236536814	2.359231411862991	26.539473684210527
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	5	ips	0.7007386621315191	0.6559489795918367	0.7470442176870749	0.7070748299319728	0.037901241341324075	2.740600414078675	29.659420289855074
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	5	vertex	0.6923013888888889	0.6449900793650793	0.7402480158730159	0.7081746031746032	0.03676840969590351	2.7387873754152823	29.72093023255814
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	6	ips	0.7866914682539682	0.7391924603174603	0.8284206349206349	0.7913492063492064	0.031450639009639896	3.2096774193548385	33.47214076246334
log-power-n1n2.pathfinder.ss1-ts0.3	Risky first	6	vertex	0.7702464285714286	0.7250396825396824	0.8117936507936507	0.7965079365079365	0.03339170559287082	3.1924172601591954	33.23607038123167
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	ips	0.3099222222222222	0.26220634920634917	0.3581031746031746	0.3307936507936508	0.03779668257219359	1.5596953478797857	20.35014409221902
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	1	vertex	0.2954857142857143	0.25013492063492065	0.34001587301587305	0.27841269841269844	0.039049137240570096	1.5595579205894394	20.299426934097422
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	2	ips	0.418650566893424	0.36924603174603177	0.47474829931972795	0.48426303854875286	0.04272237697099603	1.7773707773707774	21.937321937321936
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	2	vertex	0.40565510204081634	0.35601020408163264	0.4513922902494331	0.35555555555555557	0.03613785549893971	1.7760146103896104	21.946022727272727
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	3	ips	0.5492880952380953	0.4971071428571428	0.5982499999999998	0.5704761904761905	0.04062470693299859	2.0469155844155846	24.068181818181817
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	3	vertex	0.5376992063492064	0.49902777777777774	0.5834087301587302	0.5155555555555555	0.03387422958262476	2.048204081632653	24.138571428571428
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	4	ips	0.6742240079365079	0.623720238095238	0.7223154761904762	0.7068253968253969	0.03144354018281707	2.3689584191025115	26.74207492795389
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	4	vertex	0.6575571428571427	0.6113571428571428	0.7028571428571428	0.6685714285714285	0.03774559433836991	2.3632244897959183	26.62857142857143
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	5	ips	0.7696580498866212	0.7261077097505669	0.8123968253968255	0.7686167800453515	0.03314172753475259	2.7425664451827245	29.795058139534884
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	5	vertex	0.7474250000000001	0.7048333333333333	0.7931011904761904	0.7491269841269842	0.030595375849986766	2.7386749482401656	29.75072463768116
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	6	ips	0.8411285714285716	0.8	0.88	0.84	0.027255405754769875	3.206335403726708	33.391304347826086
log-power-n1n2.pathfinder.ss1-ts0.3	Risky second	6	vertex	0.8112714285714288	0.7666666666666666	0.8485714285714285	0.82	0.02774433093732238	3.2016102394715107	33.346820809248555
