label	order	rung	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
chf-weber-mem	Risky first	1	-0.0069579365079365085	-0.06984920634920634	0.06286507936507936	0.4075	-0.014285714285714289	0.036445365126295676	1.560324302134647	20.32902298850575
chf-weber-mem	Risky first	2	-0.0062603741496598635	-0.06992545351473922	0.06164597505668933	0.42	-0.001995464852607712	0.039793806545429716	1.7756979824740167	21.901569186875893
chf-weber-mem	Risky first	3	-0.0018412698412698409	-0.07072222222222221	0.06371428571428564	0.5075	0.05968253968253967	0.03836606192729519	2.048385448600041	24.130185979971387
chf-weber-mem	Risky first	4	-0.00035496031746031555	-0.06890277777777779	0.06544642857142853	0.5	0.0003968253968253986	0.04195467576645311	2.362153209109731	26.62391304347826
chf-weber-mem	Risky first	5	0.001307568027210885	-0.06562301587301589	0.06567687074829931	0.5075	-0.0010997732426303959	0.039340281011939926	2.7396952104499275	29.690130624092888
chf-weber-mem	Risky first	6	0.0026579365079365063	-0.062321428571428576	0.06097023809523808	0.545	-0.005158730158730161	0.030555798075844035	3.2010473397570176	33.354105571847505
chf-weber-mem	Risky second	1	0.012064285714285715	-0.04794444444444443	0.07778571428571428	0.6375	0.052380952380952375	0.03844840960259965	1.5596264367816093	20.32471264367816
chf-weber-mem	Risky second	2	0.015366099773242633	-0.052928571428571436	0.08879478458049883	0.6725	0.1287074829931973	0.048648051157488874	1.7766917293233082	21.94167852062589
chf-weber-mem	Risky second	3	0.014706746031746029	-0.04984920634920634	0.08762698412698412	0.6475	0.05492063492063492	0.038718294244327746	2.047557997557998	24.103276353276353
chf-weber-mem	Risky second	4	0.014468650793650794	-0.05238888888888889	0.07984325396825391	0.6525	0.038253968253968255	0.03420792520649049	2.3660791145726585	26.685078909612624
chf-weber-mem	Risky second	5	0.014997590702947847	-0.05766128117913832	0.07918707482993197	0.6725	0.019489795918367338	0.03151580001348493	2.740617872693344	29.772859216255444
chf-weber-mem	Risky second	6	0.013528571428571431	-0.040976190476190485	0.06954761904761902	0.6775	0.019999999999999997	0.03473791428793085	3.2039694025222243	33.36903039073806
