label	order	rung	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-spl3-psd	Risky first	1	0.008021428571428572	-0.052142857142857144	0.06636507936507935	0.6225	-0.014285714285714289	0.036445365126295676	1.560324302134647	20.32902298850575
log-spl3-psd	Risky first	2	0.012468367346938777	-0.04631689342403628	0.07216298185941042	0.645	-0.001995464852607712	0.039793806545429716	1.7756979824740167	21.901569186875893
log-spl3-psd	Risky first	3	0.017730952380952382	-0.04706349206349206	0.08240079365079363	0.7025	0.05968253968253967	0.03836606192729519	2.048385448600041	24.130185979971387
log-spl3-psd	Risky first	4	0.018694444444444448	-0.04882142857142857	0.08477579365079364	0.71	0.0003968253968253986	0.04195467576645311	2.362153209109731	26.62391304347826
log-spl3-psd	Risky first	5	0.016110544217687078	-0.052903061224489796	0.07956887755102039	0.68	-0.0010997732426303959	0.039340281011939926	2.7396952104499275	29.690130624092888
log-spl3-psd	Risky first	6	0.014769444444444444	-0.04257142857142857	0.07285912698412698	0.6975	-0.005158730158730161	0.030555798075844035	3.2010473397570176	33.354105571847505
log-spl3-psd	Risky second	1	0.027052380952380953	-0.031769841269841274	0.08512698412698409	0.815	0.052380952380952375	0.03844840960259965	1.5596264367816093	20.32471264367816
log-spl3-psd	Risky second	2	0.031032199546485267	-0.034640589569160996	0.10064965986394553	0.8225	0.1287074829931973	0.048648051157488874	1.7766917293233082	21.94167852062589
log-spl3-psd	Risky second	3	0.03065714285714286	-0.0360357142857143	0.0946269841269841	0.82	0.05492063492063492	0.038718294244327746	2.047557997557998	24.103276353276353
log-spl3-psd	Risky second	4	0.027574603174603175	-0.041374999999999995	0.09192261904761903	0.805	0.038253968253968255	0.03420792520649049	2.3660791145726585	26.685078909612624
log-spl3-psd	Risky second	5	0.024107086167800454	-0.03188520408163266	0.08278287981859404	0.8025	0.019489795918367338	0.03151580001348493	2.740617872693344	29.772859216255444
log-spl3-psd	Risky second	6	0.01764285714285714	-0.03628571428571427	0.07152380952380943	0.735	0.019999999999999997	0.03473791428793085	3.2039694025222243	33.36903039073806
