value,gain,loss,gain,loss
order,first,first,second,second
0,44,107,12,8
1,32,18,80,36
2,7,107,7,10
3,18,13,97,7
4,10,59,21,20
5,107,107,66,59
6,10,10,107,9
7,7,24,88,20
8,10,44,31,58
9,7,107,32,40
10,7,44,94,7
11,18,13,10,43
12,80,18,63,13
13,13,32,49,9
14,24,32,16,13
15,107,32,42,15
16,24,13,40,13
17,13,24,107,32
18,13,7,55,17
19,10,13,10,34
20,13,24,107,9
21,107,18,59,26
22,18,24,107,50
23,10,59,59,13
24,44,80,97,14
25,107,24,101,7
26,44,7,30,30
27,7,59,49,11
28,32,18,30,29
29,44,13,88,13
30,44,10,107,12
31,80,44,37,23
32,10,44,59,58
33,44,44,60,10
34,107,10,49,7
35,80,7,59,7
36,7,80,72,7
37,80,18,107,16
38,13,59,107,58
39,13,32,44,12
40,10,44,23,7
41,13,32,101,77
42,107,80,11,16
43,24,18,73,56
44,44,13,92,10
45,59,107,54,15
46,44,13,37,13
47,44,7,33,24
48,24,107,66,42
49,32,32,31,16
50,13,32,107,30
51,18,80,7,10
52,7,107,12,23
53,13,32,27,7
54,44,18,50,24
55,13,80,80,8
56,59,24,73,8
57,18,10,107,47
58,107,59,73,26
59,80,7,89,7
60,32,13,101,24
61,44,59,80,24
62,59,44,107,38
63,13,44,21,7
64,80,44,18,22
65,80,10,83,31
66,7,107,13,12
67,32,44,10,50
68,24,80,73,13
69,44,32,54,11
70,7,44,72,7
71,32,7,55,19
72,24,107,72,18
73,24,107,107,8
74,13,44,72,11
75,107,32,94,24
76,80,13,12,59
77,18,44,92,12
78,80,80,44,10
79,80,32,55,26
80,59,10,63,7
81,107,24,23,58
82,10,32,10,10
83,13,13,98,16
84,13,107,11,80
85,59,10,97,8
86,80,18,77,15
87,44,59,101,8
88,32,32,17,13
89,13,24,28,13
90,10,24,107,7
91,59,32,88,30
92,13,32,10,24
93,44,44,73,8
94,59,7,11,9
95,18,59,73,22
96,18,10,44,77
97,32,44,107,49
98,32,80,64,15
99,59,10,7,9
100,10,18,107,38
101,59,13,94,7
102,13,18,107,32
103,13,32,36,18
104,24,59,89,47
105,32,24,107,38
106,44,107,88,20
107,13,32,17,68
108,10,10,59,31
109,18,107,107,10
110,24,32,24,22
111,107,44,94,18
112,18,59,107,7
113,107,18,73,9
114,32,44,107,9
115,32,44,49,16
116,10,44,24,10
117,10,18,63,13
118,10,80,64,10
119,80,13,10,18
120,18,59,88,8
121,13,80,89,7
122,59,10,28,24
123,10,59,10,8
124,80,13,107,13
125,59,7,94,24
126,80,10,107,32
127,10,32,89,7
128,44,80,59,7
129,13,32,10,36
130,107,10,80,18
131,32,44,45,38
132,10,44,107,13
133,32,13,33,15
134,44,107,80,9
135,107,80,66,9
136,80,59,104,8
137,59,80,107,9
138,24,32,101,8
139,32,18,107,7
140,59,10,97,13
141,80,32,10,13
142,10,59,101,7
143,107,18,107,10
144,107,13,59,9
145,13,80,18,11
146,59,24,89,26
147,80,59,10,24
148,24,80,37,7
149,10,59,82,34
150,10,107,55,7
151,32,7,86,7
152,24,7,72,49
153,24,18,36,7
154,59,107,14,24
