,gain,loss
0,28.0,44.0
1,7.0,44.0
2,107.0,26.0
3,7.0,47.0
4,10.0,59.0
5,83.0,24.0
6,44.0,26.0
7,50.0,10.0
8,37.0,59.0
9,32.0,80.0
10,66.0,18.0
11,107.0,13.0
12,88.0,18.0
13,32.0,17.0
14,13.0,10.0
15,44.0,9.0
16,107.0,11.0
17,44.0,24.0
18,40.0,26.0
19,24.0,44.0
20,94.0,7.0
21,55.0,18.0
22,80.0,18.0
23,59.0,59.0
24,63.0,59.0
25,107.0,13.0
26,24.0,13.0
27,7.0,50.0
28,28.0,10.0
29,107.0,7.0
30,7.0,16.0
31,32.0,13.0
32,44.0,49.0
33,32.0,17.0
34,7.0,14.0
35,10.0,24.0
36,55.0,10.0
37,18.0,24.0
38,59.0,32.0
39,107.0,80.0
40,66.0,80.0
41,107.0,80.0
42,18.0,59.0
43,36.0,80.0
44,32.0,7.0
45,44.0,7.0
46,107.0,107.0
47,24.0,107.0
48,59.0,16.0
49,24.0,59.0
50,89.0,44.0
51,13.0,59.0
52,24.0,13.0
53,37.0,7.0
54,9.0,13.0
55,107.0,44.0
56,23.0,27.0
57,98.0,32.0
58,24.0,21.0
59,94.0,7.0
60,83.0,29.0
61,18.0,11.0
62,32.0,44.0
63,80.0,80.0
64,10.0,107.0
65,24.0,24.0
66,80.0,24.0
67,7.0,12.0
68,59.0,7.0
69,107.0,7.0
70,10.0,10.0
71,86.0,15.0
72,13.0,7.0
73,101.0,10.0
74,59.0,35.0
75,63.0,10.0
76,18.0,9.0
77,59.0,31.0
78,61.0,58.0
79,10.0,18.0
80,13.0,59.0
81,80.0,80.0
82,32.0,7.0
83,59.0,15.0
84,10.0,44.0
85,18.0,44.0
86,7.0,32.0
87,13.0,10.0
88,72.0,7.0
89,50.0,59.0
90,20.0,7.0
91,23.0,7.0
92,17.0,80.0
93,24.0,7.0
94,40.0,9.0
95,44.0,107.0
96,107.0,12.0
97,18.0,10.0
98,94.0,21.0
99,14.0,66.0
100,107.0,7.0
101,60.0,107.0
102,14.0,13.0
103,107.0,7.0
104,59.0,34.0
105,10.0,7.0
106,94.0,9.0
107,7.0,15.0
108,107.0,10.0
109,32.0,23.0
110,54.0,44.0
111,59.0,9.0
112,24.0,13.0
113,107.0,8.0
114,21.0,77.0
115,72.0,44.0
116,14.0,22.0
117,55.0,24.0
118,80.0,18.0
