label	parameter	order	stake	observed	model	lo	hi	ppp	n
log-power-n1psd	slope	Risky second	low	-0.7024646713461231	-0.36311281930918304	-0.7611903084836832	0.02928137940331856	0.03	200
log-power-n1psd	rnp	Risky second	low	0.048661017293143094	0.021099088115685727	-0.004768661803106923	0.045945342186124144	0.995	200
log-power-n1psd	slope	Risky second	high	-0.14615290313619944	-0.08943165739690229	-0.4437687642302442	0.2790897161015717	0.34	200
log-power-n1psd	rnp	Risky second	high	0.05137914675857136	0.04513534243020867	-0.008691209032783408	0.09824431306203792	0.62	200
log-power-n1psd	slope	Risky first	low	-0.23033198068514027	-0.17892541916193472	-0.5589281775337918	0.1987739384941268	0.385	200
log-power-n1psd	rnp	Risky first	low	0.004560177114007691	0.00649203019231237	-0.021750714786188768	0.02929511489588039	0.42	200
log-power-n1psd	slope	Risky first	high	0.12198712391306055	0.0076380176832717694	-0.384644713854241	0.4033628616745278	0.66	200
log-power-n1psd	rnp	Risky first	high	0.005324676133122819	0.008226698969108687	-0.023511693371701607	0.03706782398745419	0.455	200
