lo	hi	p_perceptual	p_memory
7	14	0.9571	0.0174
7	20	0.84825	0.01625
7	28	0.58855	0.0154
10	30	0.4824	0.06845
28	112	0.0456	0.0788
7	112	0.042	0.0014
