stimulation_condition	risky_first	bin	mean	sem	kind	ratio
ips	False	0	0.30969529085872577	0.05574684283613225	psychometric	1.2339418016417458
ips	False	1	0.4504615384615384	0.05620712406385205	psychometric	1.5363048571386018
ips	False	2	0.5247863247863248	0.057291059979743354	psychometric	1.7751238366502702
ips	False	3	0.7047178130511463	0.042048730020057615	psychometric	2.000950366646314
ips	False	4	0.7004515599343185	0.055423059794742005	psychometric	2.281449149856358
ips	False	5	0.7485714285714287	0.04375777384772726	psychometric	2.586170542179854
ips	False	6	0.7047536375661375	0.047474575598902585	psychometric	3.0595705951930694
ips	False	7	0.7758098891730605	0.04395605798814454	psychometric	3.723190039019671
ips	True	0	0.21855600539811068	0.05749381628995744	psychometric	1.2339418016417458
ips	True	1	0.3686410256410257	0.050721278506753266	psychometric	1.5363048571386018
ips	True	2	0.47963863060016904	0.0427597328507784	psychometric	1.7751238366502702
ips	True	3	0.5684376837154614	0.05041234693632113	psychometric	2.000950366646314
ips	True	4	0.6196633825944171	0.04829708100190407	psychometric	2.281449149856358
ips	True	5	0.6489884004884005	0.06295250233925907	psychometric	2.586170542179854
ips	True	6	0.6777529761904763	0.04850588178330919	psychometric	3.0595705951930694
ips	True	7	0.7096861399021851	0.04616673062616178	psychometric	3.723190039019671
vertex	False	0	0.1763157894736842	0.04079130767848702	psychometric	1.2339418016417458
vertex	False	1	0.39903174603174607	0.05099664443220016	psychometric	1.5363048571386018
vertex	False	2	0.41994810744810745	0.049717482736582094	psychometric	1.7751238366502702
vertex	False	3	0.5781452087007642	0.04967902185581862	psychometric	2.000950366646314
vertex	False	4	0.6442528735632184	0.04513500594525578	psychometric	2.281449149856358
vertex	False	5	0.7167142857142857	0.0518872035067906	psychometric	2.586170542179854
vertex	False	6	0.7219298641173642	0.04425212818098601	psychometric	3.0595705951930694
vertex	False	7	0.7367007672634271	0.047124383359175695	psychometric	3.723190039019671
vertex	True	0	0.26018740031897925	0.045172430078726504	psychometric	1.2339418016417458
vertex	True	1	0.34988888888888886	0.052776925043833196	psychometric	1.5363048571386018
vertex	True	2	0.4444364396287473	0.05681484693483035	psychometric	1.7751238366502702
vertex	True	3	0.542947998503554	0.05780137311441107	psychometric	2.000950366646314
vertex	True	4	0.5388752052545156	0.0588566670316864	psychometric	2.281449149856358
vertex	True	5	0.6039047619047619	0.06149542320229963	psychometric	2.586170542179854
vertex	True	6	0.692774470899471	0.043372624457343495	psychometric	3.0595705951930694
vertex	True	7	0.7075348484168649	0.05563504556688982	psychometric	3.723190039019671
	False	0	0.13337950138504154	0.058386332076160716	delta	1.2339418016417458
	False	1	0.051429792429792426	0.046080576161702545	delta	1.5363048571386018
	False	2	0.10483821733821734	0.06270688965751207	delta	1.7751238366502702
	False	3	0.12657260435038215	0.047380148114097326	delta	2.000950366646314
	False	4	0.05619868637110016	0.038831680803826596	delta	2.281449149856358
	False	5	0.03185714285714286	0.038304810447270986	delta	2.586170542179854
	False	6	-0.01717622655122656	0.04232384824112354	delta	3.0595705951930694
	False	7	0.03910912190963343	0.054910507813855404	delta	3.723190039019671
	True	0	-0.0416313949208686	0.05431123569935686	delta	1.2339418016417458
	True	1	0.018752136752136755	0.04950085391493748	delta	1.5363048571386018
	True	2	0.03520219097142173	0.048482195663384776	delta	1.7751238366502702
	True	3	0.02548968521190744	0.037709121403475515	delta	2.000950366646314
	True	4	0.08078817733990147	0.04652349760950294	delta	2.281449149856358
	True	5	0.04508363858363858	0.04287563682443575	delta	2.586170542179854
	True	6	-0.015021494708994713	0.047520913553130824	delta	3.0595705951930694
	True	7	0.0021512914853203	0.053537798713037335	delta	3.723190039019671
