term	stimulation	payoff	nu	lo	hi
n1_evidence_sd	ips	7.0	1.3777108487269012	1.1040126664389507	1.6953609176529822
n1_evidence_sd	ips	7.882352941176471	1.5302233609228297	1.2659142964371273	1.825995932740813
n1_evidence_sd	ips	8.764705882352942	1.6743063328011394	1.411200424840508	1.9550771580917805
n1_evidence_sd	ips	9.647058823529411	1.808653438141605	1.544067309157689	2.0797950519209367
n1_evidence_sd	ips	10.529411764705882	1.9326144184362475	1.6658830786692231	2.2017371915826756
n1_evidence_sd	ips	11.411764705882353	2.046042460721768	1.7709934986057962	2.315847891405935
n1_evidence_sd	ips	12.294117647058822	2.1491670106433687	1.8678107794476915	2.4236628890514607
n1_evidence_sd	ips	13.176470588235293	2.2424947361672634	1.9552361985125581	2.524385697874896
n1_evidence_sd	ips	14.058823529411764	2.3267352246757587	2.032877997490743	2.6144356819589007
n1_evidence_sd	ips	14.941176470588236	2.4027463468504835	2.1038557348386604	2.697686063241322
n1_evidence_sd	ips	15.823529411764707	2.4714944931452245	2.169140475611027	2.7717623480395157
n1_evidence_sd	ips	16.705882352941174	2.5340257778673845	2.2281797096510907	2.837842038753503
n1_evidence_sd	ips	17.588235294117645	2.591445249053059	2.2828411655091667	2.8970988534578073
n1_evidence_sd	ips	18.470588235294116	2.644901942051202	2.333668867696568	2.9523209948445044
n1_evidence_sd	ips	19.352941176470587	2.6955782308465293	2.3822586531888725	3.004396718085065
n1_evidence_sd	ips	20.235294117647058	2.7446784620535527	2.4292726133302294	3.0542601222457177
n1_evidence_sd	ips	21.11764705882353	2.793022181151941	2.4763194529550554	3.104340709148844
n1_evidence_sd	ips	22.0	2.8406866468563354	2.522163836701943	3.1527906315167193
n1_evidence_sd	ips	22.88235294117647	2.887669177915237	2.5666209586648217	3.200849088236862
n1_evidence_sd	ips	23.764705882352942	2.9339682692777256	2.6112034976870486	3.249074068122722
n1_evidence_sd	ips	24.647058823529413	2.979583496363497	2.6556078562091736	3.295396979205674
n1_evidence_sd	ips	25.52941176470588	3.024515426958369	2.6988729671815084	3.341372177512212
n1_evidence_sd	ips	26.41176470588235	3.0687655402128757	2.7411679356432566	3.386779537070113
n1_evidence_sd	ips	27.294117647058822	3.112336152235442	2.7816872898005855	3.4317478908918466
n1_evidence_sd	ips	28.176470588235293	3.1552303477929007	2.822919537032728	3.4769390592898373
n1_evidence_sd	ips	29.058823529411764	3.1974519176534137	2.862161462753254	3.52159191573064
n1_evidence_sd	ips	29.941176470588236	3.2390053011324076	2.9015201814917897	3.5653325205330026
n1_evidence_sd	ips	30.823529411764707	3.279895533428575	2.9396750054124334	3.6076605099252625
n1_evidence_sd	ips	31.705882352941174	3.320128197362995	2.977429890923812	3.6495930076465517
n1_evidence_sd	ips	32.588235294117645	3.3597093791617336	3.0144580142099304	3.691097798397312
n1_evidence_sd	ips	33.470588235294116	3.398645627946761	3.051340363907979	3.731305528704686
n1_evidence_sd	ips	34.35294117647059	3.4369439186262927	3.0876552757217754	3.771917480448105
n1_evidence_sd	ips	35.23529411764706	3.4746116178979896	3.1233488282838064	3.811665106844324
n1_evidence_sd	ips	36.11764705882353	3.5116564531018803	3.1578217617834374	3.8513505562240624
n1_evidence_sd	ips	37.0	3.548086483680493	3.1911411141269905	3.8900364978496276
n1_evidence_sd	ips	37.88235294117647	3.5839100750239288	3.2247012149179946	3.9282584510443583
n1_evidence_sd	ips	38.76470588235294	3.619135874495186	3.257294228321125	3.9661174672027757
n1_evidence_sd	ips	39.64705882352941	3.6537727894493575	3.289853254504924	4.002648462173728
n1_evidence_sd	ips	40.529411764705884	3.6878299670751096	3.3214562705307165	4.039038723581542
n1_evidence_sd	ips	41.411764705882355	3.7213167759022485	3.3519162052776985	4.075335813608778
n1_evidence_sd	ips	42.294117647058826	3.7542427888321805	3.3825635503067635	4.11000756792739
n1_evidence_sd	ips	43.17647058823529	3.7866177675605663	3.4123311838483414	4.144553265932023
n1_evidence_sd	ips	44.05882352941176	3.81845164827295	3.441082915930407	4.178789663932868
n1_evidence_sd	ips	44.94117647058823	3.849754528504882	3.4697827065769573	4.212828484059855
n1_evidence_sd	ips	45.8235294117647	3.8805366550662175	3.498489998397365	4.2461369188125
