order	stake_bin	stim	mean	lo	hi	stake	observed	observed_sem
Risky first	0	ips	0.5519635612777806	0.5187160637779833	0.5877716490104813	12.667230248654299	0.5701588578014938	0.037434839565611305
Risky first	0	vertex	0.5466309599756969	0.5112833246536255	0.5754810185637252	12.667230248654299	0.5583628985884624	0.03999694366946201
Risky first	1	ips	0.5382076555023924	0.5101426238757066	0.5694919577081231	23.082450358562475	0.5165086959823803	0.03184365989712946
Risky first	1	vertex	0.5392694478110224	0.5037904008493349	0.5691449737789852	23.082450358562475	0.5254879878586203	0.04008110266870922
Risky first	2	ips	0.5165677565124933	0.4741009341535658	0.555357161844004	42.217878391198916	0.5142750816435027	0.043505527983834044
Risky first	2	vertex	0.4925255348710457	0.4591266903890743	0.52353503745996	42.217878391198916	0.4978310750137376	0.04487004462729665
Risky second	0	ips	0.5435959606809231	0.5083533943082815	0.5774147869674187	12.667230248654299	0.5539721598368215	0.03971352066548918
Risky second	0	vertex	0.5362758215886035	0.49858372392019007	0.569399765647886	12.667230248654299	0.4940239125953411	0.03709325563501315
Risky second	1	ips	0.6010345040727615	0.5654511118642034	0.6349785167655578	23.082450358562475	0.6600632980464913	0.03391213943664826
Risky second	1	vertex	0.5944307093491303	0.5611516670464038	0.6246735778841043	23.082450358562475	0.5987324371534898	0.027772313209004338
Risky second	2	ips	0.6375235393679003	0.5978785790233159	0.6721853714372511	42.217878391198916	0.6336926732415454	0.03830221367395639
Risky second	2	vertex	0.6123335345940609	0.5738693703956861	0.64941672362725	42.217878391198916	0.5966871724766462	0.04575468210792034
