order	n_risky_bin	channel	delta	lo	hi
Risky first	7-17	bias_only	-0.00440389484066281	-0.03615921089290642	0.030781587810792578
Risky first	18-26	bias_only	-0.011142519344711742	-0.028281969165920347	0.006872375159682661
Risky first	27-36	bias_only	-0.005421321255996577	-0.03081287017831297	0.0193630444688146
Risky first	37-53	bias_only	-0.0011550593087984067	-0.030206877704261427	0.03159805666269971
Risky first	54-112	bias_only	0.0210097480317029	-0.033729868331477085	0.06533868579684153
Risky second	7-17	bias_only	0.060276977751446914	0.019479866362970225	0.10450670054438271
Risky second	18-26	bias_only	0.01662904254970725	-0.006815582272505083	0.04056439020013587
Risky second	27-36	bias_only	0.018222208113980974	-0.007925916324367819	0.041821782562758196
Risky second	37-53	bias_only	0.022868255865184543	-0.015156595059370013	0.052620388766272556
Risky second	54-112	bias_only	0.01766510111957241	-0.02825229894377411	0.05428037849278759
Risky first	7-17	bias_risky_percept_only	0.00502915473305714	-0.0179067544580855	0.030206355573836333
Risky first	18-26	bias_risky_percept_only	-0.007532991549427331	-0.022640764444988328	0.007035722533106941
Risky first	27-36	bias_risky_percept_only	-0.008005515146459532	-0.0292950126923273	0.011541701194600318
Risky first	37-53	bias_risky_percept_only	-0.007978185546292905	-0.045422454890358274	0.03135454684703257
Risky first	54-112	bias_risky_percept_only	0.008467981640787053	-0.04788135078289333	0.06239369599304718
Risky second	7-17	bias_risky_percept_only	0.030938341670175337	0.0028038625198876913	0.07085667694929342
Risky second	18-26	bias_risky_percept_only	-0.005642124906747804	-0.022283214582518824	0.004368756641896055
Risky second	27-36	bias_risky_percept_only	-0.002105134754114679	-0.022315960778446737	0.01737647098002503
Risky second	37-53	bias_risky_percept_only	0.006177187206385766	-0.03391542080257478	0.04566460215017082
Risky second	54-112	bias_risky_percept_only	-4.649593372225784e-05	-0.053731496861772095	0.04771967248031396
Risky first	7-17	bias_safe_percept_only	-0.00941077138730367	-0.03545301286651149	0.011624945257209742
Risky first	18-26	bias_safe_percept_only	-0.0027386692631916217	-0.02134866183688781	0.014427146433835563
Risky first	27-36	bias_safe_percept_only	0.004283603303544152	-0.01660620749811413	0.026954148035016213
Risky first	37-53	bias_safe_percept_only	0.00881715348981797	-0.015181105148786242	0.03712453436214095
Risky first	54-112	bias_safe_percept_only	0.010976137959999013	-0.013882957346452725	0.041080078475397984
Risky second	7-17	bias_safe_percept_only	0.028869384078231978	0.0021850062365386135	0.0580561748621919
Risky second	18-26	bias_safe_percept_only	0.02249866139567132	0.004385286850377669	0.04341273001982707
Risky second	27-36	bias_safe_percept_only	0.020637033422150588	-0.002127672973404977	0.04324245621715802
Risky second	37-53	bias_safe_percept_only	0.015670392983036702	-0.012788263265137734	0.04690236290432428
Risky second	54-112	bias_safe_percept_only	0.011791521714681261	-0.01275501722450362	0.03838965737926292
Risky first	7-17	full	-0.002135303300425459	-0.03507652335212339	0.02939682331039104
Risky first	18-26	full	-0.015817635230393486	-0.03422932715566159	0.002872592202226203
Risky first	27-36	full	-0.009043704652226467	-0.033635158121129924	0.015132873780910447
Risky first	37-53	full	-0.0025401192250363376	-0.0334053396899072	0.03223756526134968
Risky first	54-112	full	0.02368996659718159	-0.02973373891382485	0.06849638049228467
Risky second	7-17	full	0.06228655257977153	0.023265676976576093	0.10086582614846212
Risky second	18-26	full	0.01699724828709281	-0.005410049186837082	0.04343281345417701
Risky second	27-36	full	0.017411162205955934	-0.009264633685896032	0.04024061948429791
Risky second	37-53	full	0.023288370381345215	-0.015328259122412658	0.05650557448777782
Risky second	54-112	full	0.02027288176947216	-0.028343559592346947	0.05726230501259176
Risky first	7-17	noise_only	0.005659991300901755	-0.0024434735175186727	0.014882903808094821
Risky first	18-26	noise_only	-0.005247401196526323	-0.011732938329223157	0.00010241406051956985
Risky first	27-36	noise_only	-0.003869494008793855	-0.007925422193385432	0.0009614302306310735
Risky first	37-53	noise_only	-0.0074347001078452326	-0.01302694574201764	-0.0029935426571888538
Risky first	54-112	noise_only	-0.011651876130084726	-0.02235254332835252	-0.0033600917278184175
Risky second	7-17	noise_only	0.00411120768554527	-0.005606574805771191	0.012432643718044424
Risky second	18-26	noise_only	0.001133634765960036	-0.0061360434111014045	0.00871715064107919
Risky second	27-36	noise_only	0.0002554589893124352	-0.006022597115521362	0.006364207804213267
Risky second	37-53	noise_only	-0.0023431221679459584	-0.009702350099250566	0.004487519006580997
Risky second	54-112	noise_only	-0.010498914877991929	-0.018907251219699352	-0.002966283352585027
