subject	term	payoff	d_nu	lo	hi	p_pos
1	perceptual	7.0	0.3294689879802886	-0.22574304352815475	1.0120546096487635	0.91665
2	perceptual	7.0	0.538556588940816	-0.33416014060525556	1.8419107814314548	0.91475
3	perceptual	7.0	0.293140764200028	-0.10177616523712446	0.9344958359492109	0.94055
4	perceptual	7.0	0.4683288046999594	-0.2686009097054516	1.4688949691805342	0.92185
5	perceptual	7.0	0.30764552153140096	-0.07621280495316163	1.0033100351896227	0.94645
6	perceptual	7.0	0.31615434666853753	-0.9307793901194593	1.3078795950530888	0.8715
7	perceptual	7.0	0.4708938505151354	-0.6242374393466904	1.6011474452330252	0.89785
9	perceptual	7.0	0.29605454483826416	-0.17214468091733326	1.1196541268903628	0.9281
10	perceptual	7.0	0.3246714058646572	-0.2471007711289982	1.0031653129505904	0.9213
11	perceptual	7.0	0.2816972499780992	-0.11674538433363528	0.8294436961327365	0.9355
18	perceptual	7.0	0.4130591239898916	-0.015496162560698213	1.111806973303061	0.9689
19	perceptual	7.0	0.27025404336506653	-0.4273178513451848	0.9902064522717259	0.8942
21	perceptual	7.0	0.9270654374401367	-0.03698621505306629	2.438095684244447	0.969
25	perceptual	7.0	0.32927743884914995	-0.21338051660402466	1.2428661125363591	0.9136
26	perceptual	7.0	0.5036245556610484	-0.18339005399761837	1.4582995293904477	0.9357
29	perceptual	7.0	0.4007513008932354	-0.34503806577938967	1.3813391886249393	0.91965
30	perceptual	7.0	0.33584825068106816	-0.13238429528594567	1.181371352236766	0.935
31	perceptual	7.0	0.37428004258116043	-0.41367444526882	1.2925283956194558	0.9142
34	perceptual	7.0	0.3630419634902865	-0.28625199968149856	1.2619288328365212	0.9198
35	perceptual	7.0	0.5431818561139696	-1.1124284935923692	1.9533725792452385	0.8294
36	perceptual	7.0	0.36957200025582704	-0.18279992829277578	1.1634554257132732	0.92915
37	perceptual	7.0	0.33855865733843304	-0.2739206363408133	1.1607061783642383	0.914
45	perceptual	7.0	0.5086557048491933	-0.24474066451808799	1.5120616245460778	0.9256
46	perceptual	7.0	0.5266287589537658	-0.2912889176338556	1.6277371853704983	0.9239
47	perceptual	7.0	0.2280674141764346	-1.2624175459880973	1.0671944467204597	0.8439
50	perceptual	7.0	0.31136622625797356	-0.10881042849467672	0.9396449114701266	0.9407
53	perceptual	7.0	0.3621313299241309	-0.1748211880935495	1.1231819417559346	0.9305
56	perceptual	7.0	0.732955021722162	-0.1320404780058529	2.1923423563691915	0.9498
59	perceptual	7.0	0.389894290726857	-0.10435055343417966	1.1981097276668098	0.9437
62	perceptual	7.0	0.44266867726135734	-0.2596498265652391	1.4550655201231892	0.93115
63	perceptual	7.0	0.646666019751325	-0.04342898515723189	1.790155350721399	0.96465
67	perceptual	7.0	0.28043511247089875	-0.14394771812833262	0.9798808554250856	0.92665
69	perceptual	7.0	0.3230038520219479	-0.2649790688148462	1.0380084171150188	0.91545
72	perceptual	7.0	0.3550789078301096	-0.19275044489445398	1.2004779395573861	0.92715
74	perceptual	7.0	0.20338369990074026	-0.78784962182261	0.8527840982120526	0.85625
1	perceptual	10.0	0.3103859983582682	-0.19542981298711545	0.8412420527746872	0.91055
2	perceptual	10.0	0.3529088051744182	-0.3245453879453454	1.1757495036668564	0.85075
3	perceptual	10.0	0.3366330396184733	-0.01606784637345662	0.7846375141696688	0.96995
4	perceptual	10.0	0.33315390311328685	-0.15909227153290884	0.8897731343576379	0.91945
5	perceptual	10.0	0.30942006081994294	-0.15759053292892836	0.8459192056914802	0.9169
6	perceptual	10.0	0.30801345815677056	-0.2434956432073288	0.8336813891814547	0.92005
7	perceptual	10.0	0.3396552134474425	-0.38694827109745233	1.0217227963419178	0.8694
9	perceptual	10.0	0.26539074754125785	-0.0882342961920039	0.7706593036345406	0.9431
10	perceptual	10.0	0.34929557203898737	-0.12766258291900984	0.8629542462530682	0.9371
11	perceptual	10.0	0.28937598339650006	-0.21188146369710598	0.8027159138100127	0.888
