subject	n_voxels	null_mean	m0_mean	m0_beats_null	m0_gt0	m1_mean	m1_beats_null	m1_gt0	m2_mean	m2_beats_null	m2_gt0	m3_mean	m3_beats_null	m3_gt0	m4_mean	m4_beats_null	m4_gt0	m5_mean	m5_beats_null	m5_gt0	n_ok	n_sel_any	m0_selany_mean	m0_frac_wins	m0_selm0_mean	m1_selany_mean	m1_frac_wins	m1_selm0_mean	m2_selany_mean	m2_frac_wins	m2_selm0_mean	m3_selany_mean	m3_frac_wins	m3_selm0_mean	m4_selany_mean	m4_frac_wins	m4_selm0_mean	m5_selany_mean	m5_frac_wins	m5_selm0_mean	n_sel_m0
1	410	-0.025553513	-0.033007063	0.3902439024390244	0.12682926829268293	-0.035294537	0.35853658536585364	0.18536585365853658	-0.046503298	0.28780487804878047	0.15121951219512195	-0.03821079	0.35121951219512193	0.16097560975609757	-0.043196086	0.33658536585365856	0.17560975609756097	-0.039826695	0.3439024390243902	0.17317073170731706	410	203	-0.013180625	0.35467980295566504	-0.0069880136	-0.008782723	0.2315270935960591	-0.006520495	-0.017299786	0.09852216748768473	-0.016672224	-0.012627963	0.09852216748768473	-0.012372136	-0.013601604	0.06896551724137931	-0.012942677	-0.010905657	0.1477832512315271	-0.008151778	160
2	206	-0.018311726	-0.040702436	0.1407766990291262	0.019417475728155338	-0.008409901	0.46601941747572817	0.3592233009708738	-0.023108456	0.4223300970873786	0.3446601941747573	-0.0061545204	0.47572815533980584	0.3932038834951456	-0.009900346	0.46601941747572817	0.39805825242718446	-0.012264501	0.46116504854368934	0.3640776699029126	206	126	-0.03421586	0.07936507936507936	-0.010017352	0.020614147	0.30158730158730157	-0.008529626	0.007936997	0.05555555555555555	-0.0071148486	0.025177276	0.24603174603174602	-0.0025111318	0.022869466	0.18253968253968253	-0.004612175	0.015859459	0.1349206349206349	-0.0055332202	29
3	297	-0.025454931	-0.04310665	0.16161616161616163	0.013468013468013467	-0.01843217	0.32996632996632996	0.2053872053872054	-0.031895287	0.26262626262626265	0.20202020202020202	-0.019672798	0.30976430976430974	0.20202020202020202	-0.018192038	0.28619528619528617	0.19528619528619529	-0.01473736	0.3164983164983165	0.19528619528619529	297	147	-0.036919918	0.19047619047619047	-0.023582002	0.037457805	0.30612244897959184	-0.02770075	0.01552061	0.08163265306122448	-0.073404424	0.028861698	0.14965986394557823	-0.045686517	0.031978484	0.11564625850340136	-0.037236664	0.036641728	0.1564625850340136	-0.023515599	48
4	346	-0.017272756	-0.025291719	0.3439306358381503	0.2023121387283237	0.0004937001	0.48554913294797686	0.3583815028901734	-0.012536232	0.407514450867052	0.29190751445086704	-0.008000087	0.45664739884393063	0.3236994219653179	-0.0066325334	0.44508670520231214	0.3265895953757225	-0.007829092	0.43641618497109824	0.3179190751445087	346	226	-0.019092217	0.19469026548672566	0.002123504	0.02201866	0.3274336283185841	0.025714343	0.011767595	0.08849557522123894	0.019062907	0.01637601	0.12831858407079647	0.020756766	0.018108685	0.0752212389380531	0.021688981	0.013987077	0.18584070796460178	0.025608981	119
5	297	-0.019549644	-0.034749504	0.24915824915824916	0.050505050505050504	0.038721915	0.7575757575757576	0.622895622895623	0.02265467	0.6296296296296297	0.5117845117845118	0.030005371	0.6936026936026936	0.5656565656565656	0.028080218	0.6498316498316499	0.5387205387205387	0.03303493	0.734006734006734	0.5858585858585859	297	249	-0.031401515	0.03614457831325301	-0.012869892	0.057083894	0.4939759036144578	0.07630303	0.041192688	0.08433734939759036	0.067562714	0.04757216	0.0963855421686747	0.07144084	0.04679748	0.07228915662650602	0.069325216	0.050677355	0.21686746987951808	0.08131597	74
6	292	-0.027263809	-0.052792784	0.0821917808219178	0.003424657534246575	0.03443847	0.7054794520547946	0.5513698630136986	0.026285537	0.6883561643835616	0.4965753424657534	0.030396864	0.702054794520548	0.5342465753424658	0.023460845	0.6815068493150684	0.4931506849315068	0.02700755	0.6917808219178082	0.5136986301369864	292	241	-0.05295027	0.024896265560165973	-0.019936875	0.054173704	0.4190871369294606	0.030235047	0.04683496	0.2157676348547718	0.027841434	0.0493008	0.11618257261410789	0.028177133	0.041602667	0.08713692946058091	0.026123514	0.046408486	0.13692946058091288	0.030965785	24
7	296	-0.01954164	-0.02445684	0.4966216216216216	0.30405405405405406	-0.011261094	0.5777027027027027	0.3716216216216216	-0.023406327	0.4358108108108108	0.28716216216216217	-0.014749547	0.527027027027027	0.35135135135135137	-0.016057098	0.4966216216216216	0.34797297297297297	-0.01485414	0.5168918918918919	0.34797297297297297	296	208	-0.0100916475	0.36538461538461536	0.01002745	0.0078061144	0.25	0.009914163	-0.0044147773	0.09134615384615384	0.0002397605	0.0035193786	0.08653846153846154	0.0070359837	0.0030516596	0.10096153846153846	0.005635779	0.0046573956	0.10576923076923077	0.010487152	147
9	366	-0.021158263	-0.03763635	0.13934426229508196	0.0273224043715847	-0.050401658	0.4098360655737705	0.23497267759562843	-0.04599454	0.3114754098360656	0.17759562841530055	-0.024393303	0.35792349726775957	0.20491803278688525	-0.02639956	0.3224043715846995	0.18579234972677597	-0.034116067	0.32786885245901637	0.1994535519125683	366	199	-0.030415617	0.11055276381909548	-0.0067552095	-0.02193119	0.4271356783919598	-0.009762083	-0.021881135	0.08542713567839195	-0.022244925	0.004749102	0.21105527638190955	-0.017946685	0.0036744352	0.09547738693467336	-0.020084847	-0.010214073	0.07035175879396985	-0.009783039	51
10	217	-0.018323997	-0.03898103	0.16589861751152074	0.059907834101382486	-0.00026054014	0.5023041474654378	0.35944700460829493	-0.0236691	0.37327188940092165	0.25806451612903225	-0.009485608	0.4055299539170507	0.3225806451612903	-0.015331336	0.42857142857142855	0.3271889400921659	-0.008327173	0.4792626728110599	0.3225806451612903	217	133	-0.03399742	0.09022556390977443	-0.0029347418	0.031319816	0.46616541353383456	0.0015247562	0.011887153	0.045112781954887216	-0.018992014	0.023025906	0.16541353383458646	-0.009307443	0.019300079	0.08270676691729323	-0.016605632	0.022915274	0.15037593984962405	-0.0055061895	36
11	314	-0.016579786	-0.0066506895	0.5191082802547771	0.3853503184713376	0.014247106	0.6847133757961783	0.5605095541401274	-3.4282162e-05	0.5859872611464968	0.46178343949044587	0.015774516	0.6751592356687898	0.5668789808917197	0.010530895	0.6305732484076433	0.5095541401273885	0.0142351445	0.6815286624203821	0.5636942675159236	314	255	0.0019760954	0.25098039215686274	0.027064662	0.02670672	0.2196078431372549	0.03261723	0.013479863	0.047058823529411764	0.020532666	0.028765164	0.24705882352941178	0.034927238	0.02319003	0.09803921568627451	0.026811082	0.028374018	0.13725490196078433	0.0390586	163
18	274	-0.013662786	-0.033298355	0.09854014598540146	0.025547445255474453	9.602548e-05	0.4233576642335766	0.3467153284671533	-0.008627455	0.38686131386861317	0.31386861313868614	-0.0016953467	0.43795620437956206	0.36496350364963503	-0.0044862838	0.40145985401459855	0.3175182481751825	-0.004081431	0.39416058394160586	0.3467153284671533	274	145	-0.028363628	0.013793103448275862	-0.0006313087	0.03967667	0.33793103448275863	0.03848763	0.033240214	0.15172413793103448	0.034425557	0.038371585	0.2	0.03788765	0.036535725	0.11724137931034483	0.0345306	0.036744475	0.1793103448275862	0.040550876	27
