term	stimulation	payoff	nu	lo	hi	sim_lo	sim_hi
perceptual	ips	7.0	0.816972825358482	0.30486992104294636	1.289697045856985		
perceptual	ips	7.882352941176471	0.9171328615848755	0.4442879514409478	1.3284254750159314		
perceptual	ips	8.764705882352942	1.017596462288262	0.5962734788134323	1.3845630299316862		
perceptual	ips	9.647058823529411	1.1157633170271335	0.7504590444334666	1.4489938975324683		
perceptual	ips	10.529411764705882	1.209528906653339	0.8961747290571375	1.5262139310299971		
perceptual	ips	11.411764705882353	1.297415388317815	1.0206981377507345	1.613983615871946		
perceptual	ips	12.294117647058822	1.378567762786983	1.1168183350148633	1.6997727298310832		
perceptual	ips	13.176470588235293	1.4526676562327667	1.1913689715213953	1.783611585086264		
perceptual	ips	14.058823529411764	1.519819685832976	1.2552050483476587	1.8582102049392097		
perceptual	ips	14.941176470588236	1.5804447187170358	1.309024130426396	1.92380667514197		
perceptual	ips	15.823529411764707	1.6351932466880301	1.3625793910087292	1.9820637280495097		
perceptual	ips	16.705882352941174	1.6848799880405936	1.4126676720215063	2.030437033985937		
perceptual	ips	17.588235294117645	1.7304363269672012	1.462396332023347	2.072323169175635		
perceptual	ips	18.470588235294116	1.7728765393724404	1.508417945164526	2.107175628916527		
perceptual	ips	19.352941176470587	1.813274438772058	1.5528031827976254	2.1396551471469425		
perceptual	ips	20.235294117647058	1.8527442524757338	1.5977444593714816	2.1716374964417557		
perceptual	ips	21.11764705882353	1.8920468376888442	1.6388334497382058	2.2048458386701943		
perceptual	ips	22.0	1.9312396827671823	1.6800069933068205	2.238436003231326		
perceptual	ips	22.88235294117647	1.9703043712389827	1.7202425347784671	2.273263725034439		
perceptual	ips	23.764705882352942	2.0092238219830656	1.759613432318685	2.308097747631228		
perceptual	ips	24.647058823529413	2.0479822148847164	1.797197284999265	2.3436520482852505		
perceptual	ips	25.52941176470588	2.086564917678949	1.834223668580332	2.3810343703018475		
perceptual	ips	26.41176470588235	2.1249584146913056	1.869514750181951	2.4197656895385196		
perceptual	ips	27.294117647058822	2.163150238003017	1.9032574467938157	2.4574626992392097		
