order	n_safe	option	position	objective_ev	vertex	ips	delta	lo	hi	p_decrease
Risky first	7.0	safe	second	7.0	5.948603931248429	5.805817853906204	-0.14278607734222554	-0.2727120834795976	-0.028120939381186087	0.99
Risky first	7.0	risky	first	8.666144578313254	6.3183821916168315	6.194178001803355	-0.12420418981347772	-0.19571302924645495	-0.05858761189286884	1.0
Risky first	10.0	safe	second	10.0	6.858899576291806	6.627420087724564	-0.23147948856724312	-0.3634054148375754	-0.09802496253388357	0.995
Risky first	10.0	risky	first	12.471765417170497	7.077076601414728	6.854387794005239	-0.2226888074094888	-0.33476357837185694	-0.11869342413501217	1.0
Risky first	14.0	safe	second	14.0	7.667275609830691	7.376096838258731	-0.29117877157195926	-0.46241744355415254	-0.13422822487547145	0.995
Risky first	14.0	risky	first	17.557082833133254	7.726851113232759	7.430768955761585	-0.296082157471173	-0.44909039887808055	-0.16221587955950423	1.0
Risky first	20.0	safe	second	20.0	8.540342145252056	8.149086172473144	-0.3912559727789136	-0.6225192589362069	-0.1687394992636843	0.995
Risky first	20.0	risky	first	25.183793517406965	8.367183880597496	8.021035650134914	-0.34614823046258236	-0.5530727371629869	-0.16506838253823142	1.0
Risky first	28.0	safe	second	28.0	9.273159068937154	8.770842701494336	-0.5023163674428175	-0.7895561001691379	-0.21305019506561187	1.0
Risky first	28.0	risky	first	35.32727817745804	8.94901576610306	8.577465563697393	-0.371550202405666	-0.6377352249619891	-0.10098400396410884	1.0
Risky second	7.0	safe	first	7.0	6.176964620744006	5.964121900277496	-0.21284272046651048	-0.36451199442116317	-0.045324431738200624	0.99
Risky second	7.0	risky	second	8.662994011976048	6.354226568892813	6.259386358848969	-0.09484021004384299	-0.15707682660733963	-0.03639234185439604	0.995
Risky second	10.0	safe	first	10.0	7.028424086091663	6.678177707737367	-0.35024637835429684	-0.531319838785749	-0.18247147455623972	1.0
Risky second	10.0	risky	second	12.505193236714977	7.149325084805484	6.963850516362978	-0.18547456844250731	-0.29195279078214137	-0.0755727102566078	1.0
Risky second	14.0	safe	first	14.0	7.596855499653068	7.195464805465024	-0.40139069418804446	-0.6024013530753728	-0.2131770109527756	1.0
Risky second	14.0	risky	second	17.568458781362008	7.821367451975035	7.545874479270768	-0.27549297270426687	-0.4252051526632178	-0.1199860576612469	1.0
Risky second	20.0	safe	first	20.0	8.357964083763546	7.857246097885011	-0.5007179858785338	-0.7957540979704475	-0.2642992675651778	1.0
Risky second	20.0	risky	second	25.221241050119335	8.477963264123463	8.096196710080175	-0.38176655404328935	-0.5962001653777412	-0.1780123179265288	1.0
Risky second	28.0	safe	first	28.0	9.092531469835246	8.496189330859595	-0.5963421389756504	-0.9768985791748105	-0.31611014107017776	1.0
Risky second	28.0	risky	second	35.39642857142858	9.062616171956977	8.589238017881026	-0.4733781540759518	-0.784288655029888	-0.2154853276818877	1.0
