order	pct_bin	vertex	ips	delta	sem	n_subjects	ratio_mid
Risky first	20%	0.2836734693877551	0.2584724799010513	-0.025200989486703778	0.0364899149802253	35	1.5665678719620628
Risky first	32%	0.3529385693671408	0.3685424099709814	0.0156038406038406	0.0401633864529362	35	1.7840643574502972
Risky first	44%	0.46951659451659455	0.5117171717171717	0.0422005772005772	0.035137276732085936	35	2.0758035714285716
Risky first	56%	0.5777777777777777	0.6102380952380952	0.032460317460317474	0.043873812759548325	35	2.3923324052259587
Risky first	68%	0.7084150326797386	0.7044817927170869	-0.003933239962651736	0.041325801144044313	34	2.7298066595059076
Risky first	80%	0.7965079365079365	0.7862698412698413	-0.010238095238095242	0.03240433809788646	35	3.1846923879040663
Risky second	20%	0.2806698063840921	0.3364378478664193	0.05576804148232719	0.038713532469039025	35	1.5660812943962115
Risky second	32%	0.35310657596371886	0.4897691197691198	0.13666254380540094	0.05063107794955145	35	1.7865968801313628
Risky second	44%	0.5449168375484165	0.6010822510822511	0.056165413533834585	0.036057927978155095	35	2.072118226600985
Risky second	56%	0.6732395382395383	0.6667460317460318	-0.006493506493506499	0.045702311147197576	35	2.3922231614539307
Risky second	68%	0.7423202614379084	0.7763167388167388	0.03399647737883032	0.030711060952791688	34	2.7363499245852188
Risky second	80%	0.8135714285714286	0.8418253968253968	0.028253968253968247	0.03514628731476786	35	3.1878139151914366
