order	n_safe	ratio	p_vertex	cause	leverage	effect	noise_vertex	noise_ips	ratio_vertex	ratio_ips	ev_risky_vertex	ev_risky_ips	ev_safe_vertex	ev_safe_ips
Risky first	7.0	1.0	0.045573513694746916	1.0590174481528611	0.10876281242796974	0.043185098361520104	0.7502263932589633	0.7671358636673654	0.7499681037237779	0.7942293074015956	4.437030902304464	4.592532746887994	5.952456306220633	5.8196041420994185
Risky first	8.4	1.0	0.05681750461761742	1.0451141991452664	0.12988198059134265	0.03655739406306896	0.7669240760459153	0.7698189063119925	0.7786762058627227	0.813805559283694	4.994235743158889	5.070003393414079	6.457593509416033	6.267577993001302
Risky first	9.8	1.0	0.06455625317732341	1.0345512558822685	0.14254492454883835	0.02776221871751637	0.7712651942409563	0.7645514582793594	0.7969013338289325	0.8244352757269771	5.438410231707881	5.446411041480847	6.873166035141589	6.643454608952619
Risky first	11.2	1.0	0.06657367556163335	1.0271973362537274	0.1462994399631989	0.01987716500522431	0.7673438405932128	0.7546115705338674	0.8074891026631336	0.8294506553094834	5.789549565701422	5.745115756861402	7.221951252839143	6.963488923483707
Risky first	12.6	1.0	0.06480942065837092	1.0222205615971685	0.14473803093238174	0.013730165181757306	0.7587861500481908	0.7423554387754379	0.8132959068740926	0.8313677986695134	6.071559503892502	5.987362075256667	7.521083274562155	7.239796786642785
Risky first	14.0	1.0	0.061625164278315624	1.0188409507788103	0.14081146867020564	0.009131442854610546	0.7480280171624728	0.7292183760529917	0.8164402480496333	0.8318227585769762	6.304753271108883	6.18952831134344	7.7822473494828746	7.480985374078622
Risky first	15.399999999999999	1.0	0.05838693605249428	1.0165146473480082	0.1363148836925611	0.005771662865609144	0.7364784293992562	0.71599048692658	0.8182749307986684	0.8317884527145243	6.504069297844215	6.363326615344334	8.013303857644122	7.693216593801234
Risky first	16.799999999999997	1.0	0.05557910331293629	1.0148947827822772	0.13215803820290734	0.0034244533857764464	0.7248776710745859	0.7030710225076053	0.8195947363720681	0.8318024219398279	6.679799752972026	6.516840057632785	8.219709871523499	7.881073398149392
Risky first	18.2	1.0	0.05324932441595598	1.0137619634456818	0.1287020950611962	0.00192068909199921	0.7135770164765854	0.6906374956384065	0.820834914257403	0.8321312143423527	6.838774566804515	6.6555139255901405	8.405442410079225	8.048125491795906
Risky first	19.6	1.0	0.05132751984983518	1.0129746020083454	0.12603971355036628	0.0011052541766943674	0.7027116501531564	0.6787451884239533	0.8222067019806419	0.832874506707435	6.985327206579669	6.782894276641387	8.57351681483083	8.19725430711597
Risky first	21.0	1.0	0.049765099512478435	1.0124403301515825	0.12416465984322834	0.0008192844769249405	0.6922981858052516	0.6673824189498518	0.8237794341233204	0.8340275222558984	7.1219557251692684	6.901133038352139	8.726241069129758	8.330820596185545
