	rank	elpd_loo	p_loo	elpd_diff	weight	se	dse	warning	scale
flexible2.4_noisefix.head	0	-4166.119140318082	219.90074273248547	0.0	0.6726373399527138	47.32900420636907	0.0	True	log
flexible2.3_noisefix.head	1	-4180.260532971268	203.6090197372646	14.141392653186562	0.05259658776796025	47.408069967540705	5.847919612383169	True	log
flexible2.6_noisefix.head	2	-4199.417691616803	266.5069578138168	33.29855129872126	0.27476607227884986	47.70238222406094	12.344707398797514	True	log
flexible2.2_noisefix.head	3	-4250.785144549166	180.05144591629505	84.66600423108468	4.760636329592671e-13	47.3387622154049	13.57716911406625	True	log
