stimulation_condition	risky_first	bin	median	lo	hi	kind	model	ratio
ips	False	0	0.2912742382271468	0.20498614958448755	0.36537396121883653	psychometric	power2_full	1.2339418016417458
ips	False	1	0.43414102564102564	0.3707094017094017	0.4975299145299145	psychometric	power2_full	1.5363048571386018
ips	False	2	0.49747405372405373	0.43810286935286935	0.5609126984126984	psychometric	power2_full	1.7751238366502702
ips	False	3	0.615623162845385	0.5545340975896531	0.6735964138741916	psychometric	power2_full	2.000950366646314
ips	False	4	0.6609126984126984	0.6085796387520526	0.7149562123700054	psychometric	power2_full	2.281449149856358
ips	False	5	0.7278968253968254	0.6696428571428571	0.7717698412698413	psychometric	power2_full	2.586170542179854
ips	False	6	0.7343874007936508	0.6927248677248677	0.7895171957671958	psychometric	power2_full	3.0595705951930694
ips	False	7	0.7818023586246092	0.7235862460926399	0.8362460926399545	psychometric	power2_full	3.723190039019671
ips	True	0	0.26555330634278	0.18920377867746288	0.34392712550607285	psychometric	power2_full	1.2339418016417458
ips	True	1	0.38664102564102565	0.3358974358974359	0.4451538461538462	psychometric	power2_full	1.5363048571386018
ips	True	2	0.4789028012585705	0.4224658354466047	0.5574704142011835	psychometric	power2_full	1.7751238366502702
ips	True	3	0.5686691651969429	0.5083994708994709	0.6294900058788947	psychometric	power2_full	2.000950366646314
ips	True	4	0.6198275862068965	0.5610426929392447	0.677504105090312	psychometric	power2_full	2.281449149856358
ips	True	5	0.6616855921855922	0.611496336996337	0.7119566544566545	psychometric	power2_full	2.586170542179854
ips	True	6	0.6619295634920634	0.5970238095238095	0.7108134920634921	psychometric	power2_full	3.0595705951930694
ips	True	7	0.7015016515319382	0.6362067314163827	0.7495141614117924	psychometric	power2_full	3.723190039019671
vertex	False	0	0.26809210526315785	0.19703947368421051	0.36392543859649124	psychometric	power2_full	1.2339418016417458
vertex	False	1	0.40640476190476194	0.34798412698412695	0.460936507936508	psychometric	power2_full	1.5363048571386018
vertex	False	2	0.48542811355311355	0.42014652014652015	0.5568299755799756	psychometric	power2_full	1.7751238366502702
vertex	False	3	0.6033289241622575	0.5459950029394474	0.6630584950029395	psychometric	power2_full	2.000950366646314
vertex	False	4	0.6537972085385879	0.6023399014778325	0.7163793103448275	psychometric	power2_full	2.281449149856358
vertex	False	5	0.7041785714285714	0.6519047619047619	0.7637857142857143	psychometric	power2_full	2.586170542179854
vertex	False	6	0.7333675294612796	0.6817926286676287	0.7813988095238096	psychometric	power2_full	3.0595705951930694
vertex	False	7	0.7465313299232736	0.6997122762148338	0.8019181585677749	psychometric	power2_full	3.723190039019671
vertex	True	0	0.2491975677830941	0.17786749069643806	0.3384037745879851	psychometric	power2_full	1.2339418016417458
vertex	True	1	0.36088888888888887	0.31038095238095237	0.4265079365079365	psychometric	power2_full	1.5363048571386018
vertex	True	2	0.47134246629438936	0.41213871598486984	0.5421160036544652	psychometric	power2_full	1.7751238366502702
vertex	True	3	0.5574939206883651	0.49422799422799424	0.6191985997541553	psychometric	power2_full	2.000950366646314
vertex	True	4	0.608552271483306	0.5506431308155446	0.6656814449917898	psychometric	power2_full	2.281449149856358
vertex	True	5	0.6498809523809524	0.6020714285714286	0.7020000000000001	psychometric	power2_full	2.586170542179854
vertex	True	6	0.6658482142857143	0.6067625661375662	0.7229001322751323	psychometric	power2_full	3.0595705951930694
vertex	True	7	0.6735360486681323	0.6191198905191366	0.733739025739968	psychometric	power2_full	3.723190039019671
	False	0	0.03269563711911358	-0.09377885503231764	0.13875807940904894	delta	power2_full	1.2339418016417458
	False	1	0.02980952380952382	-0.048996336996336994	0.13830769230769233	delta	power2_full	1.5363048571386018
	False	2	0.010596001221001222	-0.06304181929181929	0.10802045177045175	delta	power2_full	1.7751238366502702
	False	3	0.006867283950617286	-0.08240740740740739	0.09381981187536743	delta	power2_full	2.000950366646314
	False	4	0.007827038861521609	-0.07207170224411606	0.07753147235905855	delta	power2_full	2.281449149856358
	False	5	0.0201468253968254	-0.051428571428571435	0.0875952380952381	delta	power2_full	2.586170542179854
	False	6	0.004153138528138528	-0.0652612433862434	0.07617694805194807	delta	power2_full	3.0595705951930694
	False	7	0.03579852230747371	-0.03709150326797384	0.10038363171355501	delta	power2_full	3.723190039019671
	True	0	0.01256466486729645	-0.1035366314971578	0.11825721792827056	delta	power2_full	1.2339418016417458
	True	1	0.029673992673992677	-0.05662881562881563	0.09462759462759462	delta	power2_full	1.5363048571386018
	True	2	0.01022249652057344	-0.08013471571163878	0.09483262464031696	delta	power2_full	1.7751238366502702
	True	3	0.010328817273261709	-0.06121666399444177	0.09231802148468814	delta	power2_full	2.000950366646314
	True	4	0.008449644225506286	-0.06851395730706075	0.09276135741652984	delta	power2_full	2.281449149856358
	True	5	0.014082417582417583	-0.05236630036630037	0.07738522588522588	delta	power2_full	2.586170542179854
	True	6	-0.0032490079365079423	-0.0810433201058201	0.0732473544973545	delta	power2_full	3.0595705951930694
	True	7	0.027615443290500488	-0.05130892966234196	0.1004192106931372	delta	power2_full	3.723190039019671
