label	elpd_loo	max_rhat	divergences	bystake_misses	delta_cov
logflex2	-4175.418229501383	1.9001460283804332	5	0	1.0
logflex2b	-4172.534789750901	2.408800054528713	0	1	0.6666666666666666
logflex2a	-4186.503328423016	1.0027841084573146	0	1	0.8333333333333334
logflex2_null	-4251.087466015794	1.0007921894741942	0	2	0.6666666666666666
logflexm2b	-4195.562282426675	1.0012727163221198	0	3	0.6666666666666666
logflexm2a	-4219.669372994103	1.0076862476307846	0	1	0.8333333333333334
logflexm2_null	-4264.413105587802	1.0011445186306502	0	3	0.6666666666666666
