order	n_risky_bin	vertex	ips	delta	sem	n	t	p	ci_lo	ci_hi	probit	probit_lo	probit_hi	probit_vertex	probit_vertex_lo	probit_vertex_hi	probit_ips	probit_ips_lo	probit_ips_hi
Risky first	7-17	0.45890020399589776	0.5029192188283097	0.04401901483241196	0.03804489897416578	33	1.157028038431719	0.25582517045880043	-0.033475908436637315	0.12151393810146124	0.020481730536712123	-0.010556740513189122	0.05111153434283408	0.37552485901836635	0.35318874595626587	0.3985204821751653	0.39600658955507845	0.37343464066406123	0.418524451003841
Risky first	18-26	0.5788852813852814	0.5566432377146663	-0.0222420436706151	0.02974003597042945	35	-0.7478822047401149	0.45967315984306767	-0.08268106847843179	0.03819698113720158	0.003447028806467787	-0.022853361365876495	0.028967491382869137	0.5048645157423723	0.4859790872779552	0.523564486976852	0.5083115445488401	0.4891465598645482	0.5269139921542823
Risky first	27-36	0.5629870129870129	0.5565584415584416	-0.006428571428571427	0.03511468685638724	35	-0.18307357986312478	0.8558276397079188	-0.07779020098887543	0.06493305813173259	0.0072007860943549065	-0.018407572685647428	0.03284968990530921	0.535166945358321	0.5168913503548834	0.5533932704068821	0.5423677314526759	0.523688084248162	0.5599221752578737
Risky first	37-53	0.5317764378478664	0.5411237571951857	0.009347319347319352	0.036788327564588205	35	0.2540838349041155	0.800961156239516	-0.0654155573527967	0.08411019604743539	0.0071109475748655695	-0.018936652478580906	0.03353219387680407	0.5606827688800923	0.542209042582934	0.5788974244695748	0.5677937164549578	0.5484216715667601	0.5859551716584422
Risky first	54-112	0.5592611110891743	0.5891219723037905	0.02986086121461615	0.0460579250429908	33	0.6483327502648851	0.5213952464492593	-0.06395606203603782	0.12367778446527011	0.014204379603941835	-0.016321328831550075	0.044543942852108144	0.6814434187773716	0.6587457747103811	0.7035821100359531	0.6956477983813133	0.672589290472672	0.7174093591587934
Risky second	7-17	0.3489479154550925	0.5089183233920077	0.15997040793691514	0.04540981495658081	33	3.522815675198698	0.0013092875316477591	0.06747364173150248	0.2524671741423278	0.09197585461962453	0.059900704245847335	0.12427372753819296	0.4012879858526824	0.379650168586318	0.4242118213118036	0.4932638404723069	0.468981712670205	0.5174460489702072
Risky second	18-26	0.6011930926216641	0.6406670710242139	0.03947397840254983	0.025430304556716313	35	1.55224166956052	0.1298642266260002	-0.012206618403114246	0.0911545752082139	0.05510502192647059	0.02931353405577165	0.08074768324062688	0.5374174214690379	0.5191008329771285	0.5559916164965472	0.5925224433955084	0.5723761060964604	0.6111823633644059
Risky second	27-36	0.6202380952380953	0.6662554112554113	0.04601731601731601	0.04094948847667763	35	1.1237580182112583	0.2689877326243628	-0.03720205709878127	0.1292366891334133	0.05270495764229674	0.02737957207143213	0.07777651025843324	0.5701796336998284	0.5520702691670256	0.5884411902725559	0.6228845913421253	0.6039537850711725	0.6408609422121173
Risky second	37-53	0.6241496598639455	0.6579251700680272	0.03377551020408162	0.038888949360066316	35	0.8685117690210602	0.3912037174901227	-0.04525634360604794	0.11280736401421118	0.050620083168253956	0.025293706153539965	0.07586501044720635	0.5974270345372824	0.5785359386739461	0.6160140485902676	0.6480471177055365	0.6290922716023702	0.6657869415491727
Risky second	54-112	0.6777465379738107	0.7066386055022419	0.028892067528431153	0.04125904035073677	33	0.7002602892075075	0.4888250976239953	-0.055149847481150316	0.11293398253801262	0.02641727309597205	-0.0014455353128612596	0.05559308777906752	0.7258714585900208	0.7036226860025857	0.7469764428823578	0.7522887316859929	0.7314456590379491	0.7723391957385569
