order	stake_bin	stim	mean	lo	hi	stake	observed	observed_sem
Risky first	0	ips	0.5513885041416886	0.5106133756532916	0.5902303661496496	12.667230248654299	0.5701588578014938	0.037434839565611305
Risky first	0	vertex	0.557310972778266	0.5227737227267303	0.5916413870173269	12.667230248654299	0.5583628985884624	0.03999694366946201
Risky first	1	ips	0.5244395865204136	0.4884163330403931	0.5618809713678136	23.082450358562475	0.5165086959823803	0.03184365989712946
Risky first	1	vertex	0.5388062187554448	0.499270879803277	0.574010375122936	23.082450358562475	0.5254879878586203	0.04008110266870922
Risky first	2	ips	0.5161336029467608	0.4750724918356497	0.550351807549176	42.217878391198916	0.5142750816435027	0.043505527983834044
Risky first	2	vertex	0.5036905190784448	0.46841202270381843	0.5469356211384074	42.217878391198916	0.4978310750137376	0.04487004462729665
Risky second	0	ips	0.5496423488374617	0.5124621673230696	0.5884288263949918	12.667230248654299	0.5539721598368215	0.03971352066548918
Risky second	0	vertex	0.5183580705009276	0.47959371914635074	0.5640638094153132	12.667230248654299	0.4940239125953411	0.03709325563501315
Risky second	1	ips	0.6205136654661865	0.5843191989714546	0.6601555931782601	23.082450358562475	0.6600632980464913	0.03391213943664826
Risky second	1	vertex	0.5944348029163818	0.5514381028328397	0.6401079972658921	23.082450358562475	0.5987324371534898	0.027772313209004338
Risky second	2	ips	0.6358874198483221	0.5956212419577082	0.6761787911336784	42.217878391198916	0.6336926732415454	0.03830221367395639
Risky second	2	vertex	0.6085241930584036	0.5685682008050429	0.6487571200729096	42.217878391198916	0.5966871724766462	0.04575468210792034
