stimulation_condition	risky_first	bin	median	lo	hi	kind	model	ratio
ips	False	0	0.27922437673130196	0.20290858725761773	0.35069252077562324	psychometric	flexible2_tmsboth	1.2339418016417458
ips	False	1	0.4710897435897436	0.3933162393162393	0.5268974358974359	psychometric	flexible2_tmsboth	1.5363048571386018
ips	False	2	0.5471230158730158	0.48295940170940166	0.6019688644688646	psychometric	flexible2_tmsboth	1.7751238366502702
ips	False	3	0.663774985302763	0.6136169900058789	0.7296663727219282	psychometric	flexible2_tmsboth	2.000950366646314
ips	False	4	0.6947660098522168	0.6416803503010399	0.7528188286808977	psychometric	flexible2_tmsboth	2.281449149856358
ips	False	5	0.7413373015873016	0.6869444444444445	0.7817857142857143	psychometric	flexible2_tmsboth	2.586170542179854
ips	False	6	0.7461764219576719	0.6879050925925926	0.793708664021164	psychometric	flexible2_tmsboth	3.0595705951930694
ips	False	7	0.7757281898266553	0.7218670076726343	0.842071611253197	psychometric	flexible2_tmsboth	3.723190039019671
ips	True	0	0.24912280701754386	0.16322537112010796	0.32206477732793526	psychometric	flexible2_tmsboth	1.2339418016417458
ips	True	1	0.36365384615384616	0.30223076923076925	0.4216410256410256	psychometric	flexible2_tmsboth	1.5363048571386018
ips	True	2	0.4758937376725838	0.41957828496290034	0.5592173851789236	psychometric	flexible2_tmsboth	1.7751238366502702
ips	True	3	0.5536191945914168	0.5012786596119929	0.6095238095238095	psychometric	flexible2_tmsboth	2.000950366646314
ips	True	4	0.6107758620689655	0.5580870279146142	0.6586617405582923	psychometric	flexible2_tmsboth	2.281449149856358
ips	True	5	0.6658684371184371	0.6055494505494505	0.7136263736263736	psychometric	flexible2_tmsboth	2.586170542179854
ips	True	6	0.67578125	0.6178571428571429	0.7346974206349207	psychometric	flexible2_tmsboth	3.0595705951930694
ips	True	7	0.7243577231984151	0.6707576165477632	0.7709954664844286	psychometric	flexible2_tmsboth	3.723190039019671
vertex	False	0	0.20032894736842105	0.15186403508771928	0.2787280701754386	psychometric	flexible2_tmsboth	1.2339418016417458
vertex	False	1	0.38367460317460317	0.3065714285714286	0.4293968253968254	psychometric	flexible2_tmsboth	1.5363048571386018
vertex	False	2	0.45186965811965807	0.39230006105006104	0.5252289377289378	psychometric	flexible2_tmsboth	1.7751238366502702
vertex	False	3	0.5929710464432687	0.5368827160493828	0.6556437389770723	psychometric	flexible2_tmsboth	2.000950366646314
vertex	False	4	0.6414203612479474	0.5898193760262725	0.7043513957307062	psychometric	flexible2_tmsboth	2.281449149856358
vertex	False	5	0.7000238095238095	0.648	0.7557857142857142	psychometric	flexible2_tmsboth	2.586170542179854
vertex	False	6	0.7293188582251082	0.685231782106782	0.7744378306878307	psychometric	flexible2_tmsboth	3.0595705951930694
vertex	False	7	0.7425831202046036	0.6874360613810742	0.7920076726342711	psychometric	flexible2_tmsboth	3.723190039019671
vertex	True	0	0.23851176236044655	0.14384968102073364	0.31131711855396066	psychometric	flexible2_tmsboth	1.2339418016417458
vertex	True	1	0.34845238095238096	0.29484126984126985	0.40130158730158727	psychometric	flexible2_tmsboth	1.5363048571386018
vertex	True	2	0.4559389328620098	0.38717132226747614	0.5081269691846615	psychometric	flexible2_tmsboth	1.7751238366502702
vertex	True	3	0.5396461306183529	0.48028031639142754	0.6011958206402651	psychometric	flexible2_tmsboth	2.000950366646314
vertex	True	4	0.588676792556103	0.5300903119868636	0.65	psychometric	flexible2_tmsboth	2.281449149856358
vertex	True	5	0.6537380952380952	0.598952380952381	0.7032857142857142	psychometric	flexible2_tmsboth	2.586170542179854
vertex	True	6	0.6719700727513227	0.6183118386243386	0.7277612433862434	psychometric	flexible2_tmsboth	3.0595705951930694
vertex	True	7	0.6979481685885645	0.6459808408489254	0.7501235772722514	psychometric	flexible2_tmsboth	3.723190039019671
	False	0	0.07120267774699907	-0.02949561403508772	0.17353993536472762	delta	flexible2_tmsboth	1.2339418016417458
	False	1	0.09056043956043956	0.002103785103785103	0.17755433455433456	delta	flexible2_tmsboth	1.5363048571386018
	False	2	0.09086156898656898	0.0069368131868131865	0.18550824175824174	delta	flexible2_tmsboth	1.7751238366502702
	False	3	0.07527189888301	4.40917107583711e-05	0.16498383303938857	delta	flexible2_tmsboth	2.000950366646314
	False	4	0.05551450465243569	-0.024685276409414345	0.1244937055281883	delta	flexible2_tmsboth	2.281449149856358
	False	5	0.0421547619047619	-0.02983333333333332	0.10569841269841271	delta	flexible2_tmsboth	2.586170542179854
	False	6	0.016040614478114473	-0.05531430375180376	0.08192415223665224	delta	flexible2_tmsboth	3.0595705951930694
	False	7	0.03264954532537653	-0.04280335322534811	0.10283816425120773	delta	flexible2_tmsboth	3.723190039019671
	True	0	0.010584079663027032	-0.0927994520099783	0.11689312149838466	delta	flexible2_tmsboth	1.2339418016417458
	True	1	0.016991452991452993	-0.06326129426129425	0.10729426129426128	delta	flexible2_tmsboth	1.5363048571386018
	True	2	0.024565044997737297	-0.07763342426803965	0.11842900689054536	delta	flexible2_tmsboth	1.7751238366502702
	True	3	0.011104096520763187	-0.07456175511731067	0.1008217091550425	delta	flexible2_tmsboth	2.000950366646314
	True	4	0.019991789819376025	-0.05758073344280241	0.10072523262178436	delta	flexible2_tmsboth	2.281449149856358
	True	5	0.012783272283272284	-0.05150610500610501	0.09769230769230769	delta	flexible2_tmsboth	2.586170542179854
	True	6	0.0044022817460317425	-0.07412367724867723	0.07446263227513228	delta	flexible2_tmsboth	3.0595705951930694
	True	7	0.022610535002007603	-0.04509294828651405	0.09745013478019267	delta	flexible2_tmsboth	3.723190039019671
