order	n_safe	channel	delta	lo	hi
Risky first	7.0	bias_only	-0.026392430056123094	-0.06326785163411318	0.0075106713113325015
Risky first	10.0	bias_only	-0.005342647289841319	-0.023745534989785926	0.013111979607095352
Risky first	14.0	bias_only	0.0028946916358350704	-0.022836922372428577	0.027792481235120643
Risky first	20.0	bias_only	0.010292266559441838	-0.02195159026348198	0.044067548931186376
Risky first	28.0	bias_only	0.01574362582507695	-0.0263260124175739	0.05113849482486609
Risky second	7.0	bias_only	0.042243825560305696	0.0024290606754231777	0.08640881030422277
Risky second	10.0	bias_only	0.009872546907038891	-0.008408295690441886	0.030593710292304985
Risky second	14.0	bias_only	0.016317344844514758	-0.00879778531902672	0.0444944085286238
Risky second	20.0	bias_only	0.03262132874875046	0.0025283607190760755	0.07067050395678016
Risky second	28.0	bias_only	0.031240519756579755	-0.0032930915572729506	0.07782730773749312
Risky first	7.0	bias_risky_percept_only	-0.004468003131398868	-0.021782933379272958	0.01466148920648214
Risky first	10.0	bias_risky_percept_only	-0.0038071711810743203	-0.02328577442088278	0.01450936505643022
Risky first	14.0	bias_risky_percept_only	-0.010250737506832457	-0.03543255816005378	0.010313639216459843
Risky first	20.0	bias_risky_percept_only	-0.007733821378611413	-0.03355561902921783	0.02177802600693512
Risky first	28.0	bias_risky_percept_only	0.01232204906919442	-0.025579797833416098	0.04885995004868872
Risky second	7.0	bias_risky_percept_only	0.019117101763665455	-0.0015613248609159388	0.04789791770761356
Risky second	10.0	bias_risky_percept_only	0.0015501794626329437	-0.014541513277692536	0.01724433913749127
Risky second	14.0	bias_risky_percept_only	-0.0008024370511664689	-0.020205970517450076	0.018047526325683426
Risky second	20.0	bias_risky_percept_only	0.0018872520942701631	-0.02286889831054149	0.030910748480639984
Risky second	28.0	bias_risky_percept_only	0.00372344460283345	-0.03299800113449456	0.04744015935604356
Risky first	7.0	bias_safe_percept_only	-0.02171078729195766	-0.055664544895020145	0.007652292773435522
Risky first	10.0	bias_safe_percept_only	-0.00011285916468770326	-0.015800155555569576	0.01790325324183111
Risky first	14.0	bias_safe_percept_only	0.014709690964387559	-0.008894294736678042	0.03547248587889299
Risky first	20.0	bias_safe_percept_only	0.017608361405087206	-0.015702338365845163	0.050907097149036455
Risky first	28.0	bias_safe_percept_only	0.0031583569803721157	-0.035594912373872446	0.03889905828239666
Risky second	7.0	bias_safe_percept_only	0.022485339988959997	-0.007453671626294225	0.05298832240631273
Risky second	10.0	bias_safe_percept_only	0.008856030576603273	-0.006326181059367227	0.03046656737761469
Risky second	14.0	bias_safe_percept_only	0.017427546895501494	-0.004447527948173458	0.043962830748270294
Risky second	20.0	bias_safe_percept_only	0.028728954054148013	-0.0012010852267772488	0.06441244901407046
Risky second	28.0	bias_safe_percept_only	0.02338342335994314	-0.013839158037225279	0.06007249586028476
Risky first	7.0	full	-0.0322334966513335	-0.07377850498580228	0.008873291825250217
Risky first	10.0	full	-0.008512077184216893	-0.025674793125671412	0.01033645314240943
Risky first	14.0	full	0.004137704354110785	-0.021348549748297776	0.028220730932012994
Risky first	20.0	full	0.012362680073273648	-0.019847961470810863	0.044470982822855394
Risky first	28.0	full	0.015564519571047064	-0.029044445312468713	0.052407654284530536
Risky second	7.0	full	0.044081628173357805	0.003633129946192718	0.08798849627142366
Risky second	10.0	full	0.010701208040719447	-0.008488702554927473	0.032039829215892705
Risky second	14.0	full	0.017015564071920883	-0.006465674205421898	0.042571220740636705
Risky second	20.0	full	0.03330817220822656	0.0014768880605058978	0.06878098595599642
Risky second	28.0	full	0.03110130955260213	-0.004302588431862772	0.07489155202643998
Risky first	7.0	noise_only	-0.005279953339661	-0.018569032250891244	0.007702527409714435
Risky first	10.0	noise_only	-0.0013209987134961685	-0.007321504610092458	0.005759288245853699
Risky first	14.0	noise_only	-0.0029883352762685206	-0.007694305442695448	0.002083117269375389
Risky first	20.0	noise_only	-0.00582799459726795	-0.011939332531542342	-0.0008457816343061189
Risky first	28.0	noise_only	-0.005634797925879318	-0.013978074816206379	-0.00024181657334093842
Risky second	7.0	noise_only	0.0017205373956325444	-0.007586968475434557	0.009206333235383337
Risky second	10.0	noise_only	0.0009585603197913191	-0.003474151552733381	0.006176336570337027
Risky second	14.0	noise_only	-0.0009691660553582542	-0.006946156630716926	0.005441964321516296
Risky second	20.0	noise_only	-0.0019024169489538318	-0.008595486688809594	0.004909749587036086
Risky second	28.0	noise_only	-0.005926495986567162	-0.01234403590767068	0.0005328369290766334
