term	payoff	delta	lo	hi	p_increase
memory_noise_sd	7	0.01839739772414955	-0.028485617817477053	0.10173259408555406	0.81905
memory_noise_sd	10	0.03421003834186611	-0.002780382509328723	0.09160444718781714	0.96575
memory_noise_sd	14	0.05377998364823475	0.004196284223419495	0.1212803312141575	0.98395
memory_noise_sd	20	0.05336185270352692	0.005212153265408618	0.11284583025900251	0.9854
memory_noise_sd	28	0.042690786712705486	0.005139652170574013	0.08696107979746022	0.98715
memory_noise_sd	56	0.018142875038282817	-0.04106327799887199	0.07898966688684807	0.73445
memory_noise_sd	112	0.021135783213313716	-0.1273054241763661	0.1816647642708578	0.66095
perceptual_noise_sd	7	0.3567481427203114	0.10929167653723416	0.6707489455127751	0.9984
perceptual_noise_sd	10	0.28413698206882676	0.10607050673473481	0.4959159479886751	0.9995
perceptual_noise_sd	14	0.23927533003617782	0.06588031233240116	0.43123004867399795	0.9973
perceptual_noise_sd	20	0.25342421208003757	0.0708898648991587	0.4490294913367197	0.99695
perceptual_noise_sd	28	0.2934661902100396	0.09703857061130318	0.5029451766891555	0.99855
perceptual_noise_sd	56	0.38171403154477923	0.1284147677199051	0.6462000808847108	0.99845
perceptual_noise_sd	112	0.381331552202313	-0.08526133914991398	0.8335614069873596	0.94655
