label	elpd_loo	se	p_loo	divergences	max_rhat	min_ess	bystake_misses	delta_cov
lfx2-bs3-m2-dp-null	-4245.271220743446	46.20708780084371	181.74716706398567	0	1.001574569118936	3217.826352876222	2	0.6666666666666666
lfx2-bs3-m2-dp-b	-4173.271120491947	46.7419850491247	276.9295983655038	2	1.9310120306761234	5.533952727846307	2	1.0
lfx2-bs3-m2-dp-bm	-4148.978003899376	46.68468651338324	260.01758315396546	3	1.0019212214508708	2461.6097928371837	1	1.0
lfx2-bs3-m3-dp-null	-4267.020613674581	46.31300920570763	204.08510835042307	118	1.8728571483621377	5.634723186212435	2	0.5
lfx2-bs3-m3-dp-b	-4158.8347208638	46.786735399931494	264.51676615257156	3	1.5291856004384932	7.137863787331668	2	1.0
lfx2-bs3-m3-dp-bm	-4175.586455453176	46.81737005011776	291.2726748183368	6	1.997785277233293	5.401035313033704	1	1.0
lfx2-bs2-m2-dp-null	-4262.215500118137	46.22879114607383	199.3780837540653	32	1.5306573947343345	7.081363106354439	2	0.6666666666666666
lfx2-bs2-m2-dp-b	-4148.562173320028	46.63726110238956	250.3932556937093	0	1.0015740872860734	2654.1713204409593	2	0.6666666666666666
lfx2-bs2-m2-dp-bm	-4170.111761985878	46.70647998238581	288.0303119310879	172	1.5299686276593516	7.090768207998917	1	1.0
lfx2-bs2-m3-dp-null	-4249.780504012469	46.18147959950619	187.51132721525028	0	1.000541465729944	3205.6093256248664	2	0.6666666666666666
lfx2-bs2-m3-dp-b	-4153.164669217577	46.71326134560349	255.91381607035055	1	1.0031091190047008	2731.2316514722943	1	0.6666666666666666
lfx2-bs2-m3-dp-bm	-4154.978764582858	46.793631543177106	271.14771519282976	0	1.0026738068969494	2881.146342925141	1	1.0
lfx2-cr3-m3-dp-null	-4271.595752386793	46.141292615264994	192.821754343448	90	1.7358550100314258	6.04740759405701	2	0.5
lfx2-cr3-m3-dp-b	-4160.69198161977	46.42936083555087	262.50573165310107	111	1.0076432511711442	1085.0487996392033	2	0.6666666666666666
lfx2-cr3-m3-dp-bm	-4185.097247474053	46.592956342949	278.3015159039319	33	1.8857419867013463	5.614003484643172	1	1.0
logflex1_null	-4261.596053736587	46.14295408397626	207.65819443941018	30	1.3097035931233076	9.860599662323796	2	0.6666666666666666
logflex1a	-4184.493405451807	46.53233447983283	268.0957093857173	0	1.0069476738609988	887.7431077328639	1	0.8333333333333334
logflex1b	-4194.444333751311	46.75970387454813	269.9905350892104	0	1.0036845896877624	1685.7631936434548	1	0.6666666666666666
logflex1	-4168.829682485007	46.768460625961254	292.07322513154804	0	1.0012685074977503	2191.0958057148564	1	0.8333333333333334
