subject	roi	model	session	n_signal	n_total	mu	sd	amplitude	baseline
1	NPC12r	m0	2	118	601	1.642685890197754	0.424291729927063	1.1709589958190918	0.32419314980506897
1	NPC12r	m0	3	118	601	1.642685890197754	0.424291729927063	1.1709589958190918	0.32419314980506897
1	NPC12r	m1	2	133	601	0.8986835479736328	1.3515592813491821	1.4894596338272095	0.2331475466489792
1	NPC12r	m1	3	133	601	0.8986835479736328	1.3515592813491821	1.1523090600967407	0.2331475466489792
1	NPC12r	m2	2	148	601	2.0571699142456055	0.8282772898674011	1.025346040725708	0.23240867257118225
1	NPC12r	m2	3	148	601	2.0472207069396973	1.135977029800415	1.2824211120605469	0.0838085412979126
2	NPC12r	m0	2	23	489	3.0359690189361572	0.4416969120502472	0.5120642185211182	-0.057240646332502365
2	NPC12r	m0	3	23	489	3.0359690189361572	0.4416969120502472	0.5120642185211182	-0.057240646332502365
2	NPC12r	m1	2	67	489	2.432654857635498	3.309781789779663	1.092941403388977	-0.08542967587709427
2	NPC12r	m1	3	67	489	2.432654857635498	3.309781789779663	0.5829917788505554	-0.08542967587709427
2	NPC12r	m2	2	110	489	2.3703179359436035	0.9252001643180847	0.47379061579704285	-0.026454344391822815
2	NPC12r	m2	3	110	489	2.998572826385498	1.08234703540802	0.468003511428833	0.055056460201740265
3	NPC12r	m0	2	10	339	2.4344534873962402	1.5409297943115234	1.1562708616256714	-0.537913978099823
3	NPC12r	m0	3	10	339	2.4344534873962402	1.5409297943115234	1.1562708616256714	-0.537913978099823
3	NPC12r	m1	2	49	339	0.007835582830011845	2.692007541656494	1.1913042068481445	-0.26693254709243774
3	NPC12r	m1	3	49	339	0.007835582830011845	2.692007541656494	0.5844817161560059	-0.26693254709243774
3	NPC12r	m2	2	59	339	1.3074796199798584	1.9777324199676514	1.1996636390686035	-0.3644454777240753
3	NPC12r	m2	3	59	339	3.1385133266448975	1.4368176460266113	0.7664864659309387	-0.5143259763717651
4	NPC12r	m0	2	82	523	1.6695106029510498	1.104921817779541	1.0127770900726318	-0.3906491994857788
4	NPC12r	m0	3	82	523	1.6695106029510498	1.104921817779541	1.0127770900726318	-0.3906491994857788
4	NPC12r	m1	2	155	523	0.4691483974456787	3.512193202972412	1.8167362213134766	-0.69204181432724
4	NPC12r	m1	3	155	523	0.4691483974456787	3.512193202972412	1.0925105810165405	-0.69204181432724
4	NPC12r	m2	2	131	523	2.3410964012145996	1.3839242458343506	0.7636890411376953	0.099154531955719
4	NPC12r	m2	3	131	523	1.4206901788711548	1.3161430358886719	1.1212575435638428	-0.36106330156326294
5	NPC12r	m0	2	15	373	2.868429660797119	2.694949150085449	1.2877341508865356	-1.1346086263656616
5	NPC12r	m0	3	15	373	2.868429660797119	2.694949150085449	1.2877341508865356	-1.1346086263656616
5	NPC12r	m1	2	147	373	2.957111120223999	3.900080919265747	1.5396738052368164	-0.4863967299461365
5	NPC12r	m1	3	147	373	2.957111120223999	3.900080919265747	0.4796066880226135	-0.4863967299461365
5	NPC12r	m2	2	165	373	3.669367790222168	2.2750403881073	1.1627585887908936	-0.1432279497385025
5	NPC12r	m2	3	165	373	2.3912105560302734	1.327691674232483	0.9643192291259766	-0.776697039604187
6	NPC12r	m0	2	4	368	3.3217861652374268	0.38194552063941956	0.3693596422672272	-0.062275856733322144
6	NPC12r	m0	3	4	368	3.3217861652374268	0.38194552063941956	0.3693596422672272	-0.062275856733322144
6	NPC12r	m1	2	81	368	1.082753300666809	5.1581621170043945	0.1216772198677063	-0.20167343318462372
6	NPC12r	m1	3	81	368	1.082753300666809	5.1581621170043945	1.0082943439483643	-0.20167343318462372
6	NPC12r	m2	2	142	368	3.490833044052124	0.7679186463356018	0.5001968741416931	-0.3709469735622406
6	NPC12r	m2	3	142	368	2.8201305866241455	2.756655693054199	0.10933156311511993	0.33261749148368835
7	NPC12r	m0	2	60	424	1.7632650136947632	1.0123955011367798	1.037578821182251	-0.31370800733566284
7	NPC12r	m0	3	60	424	1.7632650136947632	1.0123955011367798	1.037578821182251	-0.31370800733566284
7	NPC12r	m1	2	119	424	2.2887799739837646	2.457991600036621	0.8821696639060974	-0.6784889698028564
7	NPC12r	m1	3	119	424	2.2887799739837646	2.457991600036621	1.6708589792251587	-0.6784889698028564
7	NPC12r	m2	2	147	424	3.0615363121032715	0.6017627120018005	0.935025691986084	-0.38830089569091797
7	NPC12r	m2	3	147	424	2.494920253753662	1.8552532196044922	1.6295597553253174	-0.6904990673065186
9	NPC12r	m0	2	15	573	1.4565805196762085	1.5033633708953857	1.0907299518585205	-0.1478145271539688
