order	bin	channel	delta	lo	hi
Risky first	20%	bias_only	0.011097595569880327	-0.018811128790109384	0.03929151581730291
Risky first	32%	bias_only	0.008601797669469086	-0.02098887907871043	0.03681612185747632
Risky first	44%	bias_only	0.005033315850418107	-0.02617668399633493	0.03654183232518787
Risky first	56%	bias_only	0.0006394976593849052	-0.029351684600051334	0.030777516163686115
Risky first	68%	bias_only	0.005074779106079262	-0.021878339054440213	0.03801661266856419
Risky first	80%	bias_only	0.006578474757688665	-0.02186139198592817	0.03945052788808544
Risky second	20%	bias_only	0.07143503754396939	0.04115187563754045	0.10561495161464109
Risky second	32%	bias_only	0.07002048150916203	0.04007861855648757	0.10177068505523564
Risky second	44%	bias_only	0.05810323250228884	0.02907074386611838	0.08634805318607922
Risky second	56%	bias_only	0.0406283868426793	0.014532961489429416	0.06669169149870713
Risky second	68%	bias_only	0.03275084416255842	0.008080159948317626	0.05422901886323188
Risky second	80%	bias_only	0.026084781677391863	-0.0004250545790208221	0.0506647626830588
Risky first	20%	bias_risky_percept_only	-0.05920678813108674	-0.09902776337519986	-0.02023665860642858
Risky first	32%	bias_risky_percept_only	-0.08285880662346726	-0.13216209245889105	-0.030763191373568703
Risky first	44%	bias_risky_percept_only	-0.10619922310488088	-0.17548759502101124	-0.034407964150454315
Risky first	56%	bias_risky_percept_only	-0.11809763005531444	-0.20006741168630598	-0.034047531115159485
Risky first	68%	bias_risky_percept_only	-0.12016847765549236	-0.20809389084362145	-0.019155847107801854
Risky first	80%	bias_risky_percept_only	-0.11059600307136694	-0.20084032726086487	-0.013923293861265465
Risky second	20%	bias_risky_percept_only	-0.06456123188072342	-0.10051625893184987	-0.022747620002512
Risky second	32%	bias_risky_percept_only	-0.0917152645963363	-0.14168304835139922	-0.03638050203115682
Risky second	44%	bias_risky_percept_only	-0.11875108502043802	-0.19096673393744576	-0.04421173740618367
Risky second	56%	bias_risky_percept_only	-0.13209017534357792	-0.21018870890799035	-0.047633807407949445
Risky second	68%	bias_risky_percept_only	-0.1382786170632781	-0.2342106249609856	-0.037721494320094535
Risky second	80%	bias_risky_percept_only	-0.12412388718708861	-0.21912571943721137	-0.029580298793337463
Risky first	20%	bias_safe_percept_only	0.10730509790431453	0.03315133344736975	0.1806626533385844
Risky first	32%	bias_safe_percept_only	0.12256025896540736	0.04367580392592651	0.20649826547585062
Risky first	44%	bias_safe_percept_only	0.12175159260045124	0.04011573600153479	0.20057205782948495
Risky first	56%	bias_safe_percept_only	0.11261251565817337	0.03583275663948561	0.18014072428783642
Risky first	68%	bias_safe_percept_only	0.1002926531803567	0.025729982707344688	0.1599957523096145
Risky first	80%	bias_safe_percept_only	0.08266237581123971	0.023390898098764185	0.1319206457411947
Risky second	20%	bias_safe_percept_only	0.16496907513182868	0.09117436057364661	0.24605996781522188
Risky second	32%	bias_safe_percept_only	0.17690651768983034	0.10386513155205006	0.25563542601254285
Risky second	44%	bias_safe_percept_only	0.16313488637660745	0.09194563257101161	0.23743008078590985
Risky second	56%	bias_safe_percept_only	0.14054342542555337	0.07828210961083183	0.19860452185448943
Risky second	68%	bias_safe_percept_only	0.11934020487209468	0.06650174605576455	0.17029231639245535
Risky second	80%	bias_safe_percept_only	0.09374437411703328	0.0507585711330824	0.13082558699407718
Risky first	20%	full	0.008648154350460718	-0.02099554115958481	0.03596503949976787
Risky first	32%	full	0.0068339376029848305	-0.022447240046436046	0.03520499570545436
Risky first	44%	full	0.004999278375092547	-0.02603842446214997	0.03642258269096754
Risky first	56%	full	0.0018389393564922064	-0.029132291019602134	0.031910268110578656
Risky first	68%	full	0.007498281387034712	-0.0197850832302992	0.038504466651041194
Risky first	80%	full	0.009615454122050688	-0.019128338477577268	0.04148016788648513
Risky second	20%	full	0.07068958755465476	0.04219559801734871	0.10269220504754348
Risky second	32%	full	0.07044480043293293	0.040749106602904886	0.10244117223582759
Risky second	44%	full	0.0601844159413115	0.03166484418200207	0.08743641811701315
Risky second	56%	full	0.04336510672079805	0.01977702515909645	0.06687870684953943
Risky second	68%	full	0.03589868690439127	0.012552126171713423	0.06217886999418599
Risky second	80%	full	0.029418920563484385	0.004806113811525117	0.05168384453748831
Risky first	20%	noise_only	-0.0025381368744425174	-0.007447714691079483	0.0024002393144648623
Risky first	32%	noise_only	-0.002243741879717085	-0.006052537932865939	0.0017810378627148569
Risky first	44%	noise_only	-0.0008818995755640779	-0.002266222835152327	0.0007821632387928951
Risky first	56%	noise_only	0.0003458042134663523	-0.0012775638483946842	0.0030586083817151495
Risky first	68%	noise_only	0.0011174692186045653	-0.0016619858004121887	0.005999904556703658
Risky first	80%	noise_only	0.0017101642816380277	-0.0012547790523834163	0.006598201103215554
Risky second	20%	noise_only	-0.0018827516380939366	-0.007715007145799609	0.00510081586029464
Risky second	32%	noise_only	-0.0007433101325348984	-0.005108649390262785	0.004333301785166672
Risky second	44%	noise_only	0.001193281168620014	-0.0003082708440738502	0.003078960560746695
Risky second	56%	noise_only	0.002187362987776871	-0.0016134236620110516	0.006070962718315032
Risky second	68%	noise_only	0.0021821385891200805	-0.0035221590477387044	0.007870515053893815
Risky second	80%	noise_only	0.0021075059505732815	-0.0038332873111727684	0.007616684087570301
