label	elpd_loo	se	p_loo	divergences	max_rhat	min_ess
lfx2-bs3-sm-dp-bm	-4163.489880387802	46.55560113547883	254.92017579294225	0	1.0100911318743004	701.367184477428
lfx2-bs2-sm-dp-bm	-4165.28205145388	46.4971988201563	255.30545340643903	2	1.0152861618278108	241.76833343105613
