n_safe	option	objective_ev	vertex	ips	delta	lo	hi
7.0	safe	7.0	7.9470319171003	7.73107722418919	-0.2159546929111073	-0.569410515132345	0.13736484584353054
7.0	risky	8.662994011976048	8.560166738107082	8.667420424005991	0.10725368589891246	-0.03811620117563706	0.30091808901008776
10.0	safe	10.0	10.493993115318226	10.423922428770553	-0.07007068654767257	-0.2668102646055924	0.07462762390101964
10.0	risky	12.505193236714977	11.373086068457447	11.385803303789379	0.012717235331929685	-0.1659177077690253	0.18061789115241822
14.0	safe	14.0	13.021649497193549	12.841625178184342	-0.1800243190092025	-0.49096259609490545	0.05848808502169665
14.0	risky	17.568458781362008	14.206793801010486	14.24736592292835	0.04057212191786539	-0.23409238176984526	0.3095033557770069
20.0	safe	20.0	16.312187765600456	15.970564158183354	-0.3416236074171032	-0.7548336483682879	0.09085466303028476
20.0	risky	25.221241050119335	17.43841820242282	17.594624468622072	0.15620626619924852	-0.2569377158769375	0.6000597265318076
28.0	safe	28.0	20.284933035943222	19.95028972181418	-0.3346433141290393	-0.9620924044226032	0.2612691860469001
28.0	risky	35.39642857142858	20.91148632893898	21.07975517993715	0.16826885099816935	-0.7649155600451464	0.8873557120321134
