label	parameter	mean	lo	hi	p_gt0
power1	n1_log_sd_intercept	0.049647204077419835	-0.09007413961063111	0.18153373008570398	0.75565
power1	n2_log_sd_intercept	-0.0581503938774131	-0.22363045375936647	0.0901328893398351	0.24485
power1	n1_log_sd_intercept_sd	0.3052883068635948	0.1987404953795693	0.4611580786624365	1.0
power1	n2_log_sd_intercept_sd	0.3251561103259	0.20089885338556615	0.49228541537662374	1.0
power1_exp	noise_exponent	-0.00047910177294599964	-0.04246955045344286	0.03778186234986943	0.497
power1_exp	noise_exponent_sd	0.09341186845432621	0.06451394721357046	0.13134578477843625	1.0
power1_full	n1_log_sd_intercept	-0.22017919360294094	-0.49669015166457325	0.07114324287430585	0.0692
power1_full	n2_log_sd_intercept	-0.3046522065160203	-0.5844207108097741	-0.016852375674610554	0.0191
power1_full	noise_exponent	0.07571726615418285	-0.012705310243883744	0.1601504348211448	0.9534
power1_full	n1_log_sd_intercept_sd	0.1787287127704954	0.024066761019223486	0.32963935096208946	1.0
power1_full	n2_log_sd_intercept_sd	0.09553899769153229	0.004066663439755515	0.25702890573823606	1.0
power1_full	noise_exponent_sd	0.08568518063760343	0.0555120986749487	0.12475945864716148	1.0
power1_flat	n1_log_sd_intercept	-0.1616555002037979	-0.7715655911426431	0.3177018636581406	0.287
power1_flat	n2_log_sd_intercept	-0.020730762146651475	-0.515191634151766	0.3445383031107638	0.507
power1_flat	n1_log_sd_intercept_sd	0.9800737552942733	0.2609406203103194	1.7572713707874232	1.0
power1_flat	n2_log_sd_intercept_sd	0.35956441632949676	0.00964147422725139	1.1586591683476815	1.0
power1_flat_exp	noise_exponent	0.005650424787399232	-0.07814539818409792	0.08764237487385527	0.55695
power1_flat_exp	noise_exponent_sd	0.1973082556802542	0.12885284904982464	0.2890166975659495	1.0
power1_flat_full	n1_log_sd_intercept	-0.8621041358616142	-1.4951299241560223	-0.24357020273347119	0.00255
power1_flat_full	n2_log_sd_intercept	-0.6895347982430527	-1.3292766690105104	-0.054008123782793446	0.01665
power1_flat_full	noise_exponent	0.24352609960781985	0.05788788282031197	0.42551594965444783	0.9947
power1_flat_full	n1_log_sd_intercept_sd	0.3310003662027228	0.009929326347447745	1.0519653609289095	1.0
power1_flat_full	n2_log_sd_intercept_sd	0.23077160091914548	0.007284724732994502	0.7509815441540348	1.0
power1_flat_full	noise_exponent_sd	0.17873712007886725	0.07122100587920352	0.27929643227671647	1.0
power2	perceptual_log_sd_intercept	-0.025878626709801535	-0.1721693839316917	0.11595535737420197	0.3607
power2	memory_log_sd_intercept	-0.1729762055409566	-0.6539197347297985	0.19087428524468475	0.20535
power2	perceptual_log_sd_intercept_sd	0.3276575857068915	0.22373704062257094	0.46275997289955384	1.0
power2	memory_log_sd_intercept_sd	0.44356964675570415	0.024976008548706102	1.05831561960661	1.0
power2_exp	noise_exponent	-0.0018296694634720393	-0.03926693947325915	0.034253581890706666	0.46285
power2_exp	noise_exponent_sd	0.0872648318238359	0.059722444549231306	0.12408959207717342	1.0
power2_full	perceptual_log_sd_intercept	-0.3305909379712123	-0.6005278980119303	-0.05773060424968206	0.0078
power2_full	memory_log_sd_intercept	-0.48770858223130736	-0.9733808053639011	-0.058157764917828446	0.0131
power2_full	noise_exponent	0.09410646627134793	0.014559570720413263	0.17299680693784852	0.9903
power2_full	perceptual_log_sd_intercept_sd	0.18579188293762577	0.012222797949787183	0.3876506459695468	1.0
power2_full	memory_log_sd_intercept_sd	0.387863618556841	0.014569586698548666	1.053331644894734	1.0
power2_full	noise_exponent_sd	0.07422479666973864	0.03297164512058665	0.11615282023786451	1.0
power2_flat	perceptual_log_sd_intercept	-0.20365609472271226	-0.6742932145986619	0.2450643325474367	0.1807
power2_flat	memory_log_sd_intercept	0.08977359110265216	-0.4944182537864686	0.6435247595867905	0.64585
power2_flat	perceptual_log_sd_intercept_sd	0.8120876474401071	0.4507728773605753	1.3114831651633505	1.0
power2_flat	memory_log_sd_intercept_sd	0.32581604374251677	0.011245562813900486	1.1733834181838683	1.0
power2_flat_exp	noise_exponent	-0.007205833572628828	-0.09210963582075203	0.07736854356792729	0.43855
power2_flat_exp	noise_exponent_sd	0.20815899639453833	0.14049411638635326	0.296335561759055	1.0
power2_flat_full	perceptual_log_sd_intercept	-0.8432191032434557	-1.5391009856875617	-0.15571968173764286	0.0083
power2_flat_full	memory_log_sd_intercept	-0.5925354598010236	-1.4847388942944872	0.19908165215768453	0.06895
power2_flat_full	noise_exponent	0.22339553441677662	0.029574940058859384	0.41170340019494683	0.9884
power2_flat_full	perceptual_log_sd_intercept_sd	0.39557973578966155	0.013218305388304185	1.0517545385945282	1.0
power2_flat_full	memory_log_sd_intercept_sd	0.25009647849352723	0.007802917194889076	0.9787334429681345	1.0
power2_flat_full	noise_exponent_sd	0.16650738922220754	0.024039603262871	0.2826076238924099	1.0
