term	stimulation	payoff	nu	lo	hi	p_pos
n1_evidence_sd	ips	7.0	1.4149107092868092	1.1411794224818022	1.751216277964512	
n1_evidence_sd	ips	7.882352941176471	1.5756088622941842	1.3163590721763447	1.8858674489307998	
n1_evidence_sd	ips	8.764705882352942	1.727207991618654	1.4760641777591585	2.0169943334736917	
n1_evidence_sd	ips	9.647058823529411	1.8683112222108034	1.6188166412358886	2.1490647665711284	
n1_evidence_sd	ips	10.529411764705882	1.9982410531914503	1.7465482165936956	2.2751535329480785	
n1_evidence_sd	ips	11.411764705882353	2.1168651003246226	1.8613069801686426	2.393798613696763	
n1_evidence_sd	ips	12.294117647058822	2.2244534913358067	1.9631640949382485	2.5034252969161246	
n1_evidence_sd	ips	13.176470588235293	2.321569578301603	2.0543293142769263	2.6042733431155276	
n1_evidence_sd	ips	14.058823529411764	2.4089891008751896	2.1367511913334445	2.6965279297512352	
n1_evidence_sd	ips	14.941176470588236	2.4876414996047433	2.2100012137916694	2.780143628461463	
n1_evidence_sd	ips	15.823529411764707	2.5585676917313838	2.277784939560302	2.8544454447999756	
n1_evidence_sd	ips	16.705882352941174	2.6228898065277195	2.338471582286647	2.9219112229282094	
n1_evidence_sd	ips	17.588235294117645	2.6817895350509335	2.3960464942998025	2.98182729155548	
n1_evidence_sd	ips	18.470588235294116	2.7364926927342235	2.449664487507753	3.037498606688728	
n1_evidence_sd	ips	19.352941176470587	2.7882583016335	2.499548777033217	3.0894045887770343	
n1_evidence_sd	ips	20.235294117647058	2.8383668506154485	2.5476530469064222	3.1404491932723917	
n1_evidence_sd	ips	21.11764705882353	2.887689263967763	2.5950850490655273	3.1906422647643136	
n1_evidence_sd	ips	22.0	2.936308638099181	2.641631293079231	3.241089909615784	
n1_evidence_sd	ips	22.88235294117647	2.9842231522559173	2.6877569067944203	3.2900524353316287	
n1_evidence_sd	ips	23.764705882352942	3.0314321213514814	2.7331222472885366	3.338254589263569	
n1_evidence_sd	ips	24.647058823529413	3.0779359013219763	2.7770238393669597	3.3863473440829286	
n1_evidence_sd	ips	25.52941176470588	3.12373580230091	2.8201137938539325	3.434191995349401	
n1_evidence_sd	ips	26.41176470588235	3.168834009035821	2.8629934341533323	3.4811126861478052	
n1_evidence_sd	ips	27.294117647058822	3.2132335079938823	2.9058382410009775	3.5280067192435376	
n1_evidence_sd	ips	28.176470588235293	3.2569380206317398	2.9481072725773707	3.57333736629645	
n1_evidence_sd	ips	29.058823529411764	3.299951942335547	2.989480416865694	3.6190947476547537	
n1_evidence_sd	ips	29.941176470588236	3.3422802865677275	3.0292892845901553	3.6635132159362698	
n1_evidence_sd	ips	30.823529411764707	3.383928633788617	3.0683458975590447	3.706657943993662	
