bin	delta_sim	delta_obs	a	tau
20%	0.065436865060192	0.05576804148232719	6.0	4.0
32%	0.03169205640167221	0.13666254380540094	6.0	4.0
44%	0.002872167537634696	0.056165413533834585	6.0	4.0
56%	-0.014787248776052182	-0.006493506493506499	6.0	4.0
68%	-0.014248994690715774	0.03399647737883032	6.0	4.0
80%	-0.01158805005677681	0.028253968253968247	6.0	4.0
