term	stimulation	payoff	nu	lo	hi
memory_noise_sd	ips	7.0	0.6359566575375291	0.5523447109345541	0.7124568568820834
memory_noise_sd	ips	7.882352941176471	0.6544494445866887	0.5876636628422266	0.7150876852858421
memory_noise_sd	ips	8.764705882352942	0.671063038709594	0.6186066127594426	0.7201904711767244
memory_noise_sd	ips	9.647058823529411	0.6857955892148997	0.644774254482817	0.7257594022428252
memory_noise_sd	ips	10.529411764705882	0.6986814339250255	0.6656191998497959	0.7330298323521427
memory_noise_sd	ips	11.411764705882353	0.7097863915903824	0.6806293599346591	0.7418623285758371
memory_noise_sd	ips	12.294117647058822	0.7192030768703251	0.6912141069633726	0.7514113753230224
memory_noise_sd	ips	13.176470588235293	0.7270464273038538	0.6987494040313824	0.7604357000729218
memory_noise_sd	ips	14.058823529411764	0.7334495591096798	0.7048061816212744	0.7681061274706639
memory_noise_sd	ips	14.941176470588236	0.7385600176698587	0.7095202458673707	0.7737428732634531
memory_noise_sd	ips	15.823529411764707	0.7425364555389077	0.7135367268675	0.7779937877877532
memory_noise_sd	ips	16.705882352941174	0.7455457512693281	0.7169041213262624	0.7802894918923605
memory_noise_sd	ips	17.588235294117645	0.7477605720554192	0.7199255377674385	0.7814374129212456
memory_noise_sd	ips	18.470588235294116	0.7493573787551349	0.7225076701362622	0.7816968687044178
memory_noise_sd	ips	19.352941176470587	0.7505148707202242	0.7246896254994274	0.7815670726929315
memory_noise_sd	ips	20.235294117647058	0.7514123051602037	0.7261787190031517	0.7813147990330297
memory_noise_sd	ips	21.11764705882353	0.752171275528532	0.7274735486681925	0.781354819640941
memory_noise_sd	ips	22.0	0.7528057134204492	0.7284687710459689	0.7815690147686363
memory_noise_sd	ips	22.88235294117647	0.7533179283843567	0.7291376564798362	0.782119050803594
memory_noise_sd	ips	23.764705882352942	0.7537103129171442	0.729420751708914	0.7825388788847091
memory_noise_sd	ips	24.647058823529413	0.7539853370796333	0.7293730829444506	0.7830513910021609
memory_noise_sd	ips	25.52941176470588	0.754145543251108	0.729235255631429	0.7835315573601132
memory_noise_sd	ips	26.41176470588235	0.7541935410234902	0.7290013365178697	0.7839961111206315
memory_noise_sd	ips	27.294117647058822	0.7541320022349441	0.7286310089837323	0.7844577005516221
memory_noise_sd	ips	28.176470588235293	0.7539636561429071	0.7280529700697824	0.7845918809511766
memory_noise_sd	ips	29.058823529411764	0.7536912847356998	0.7274030457108076	0.7846545638103615
memory_noise_sd	ips	29.941176470588236	0.7533177181823683	0.7267892648755283	0.7845602852870566
memory_noise_sd	ips	30.823529411764707	0.7528458304196995	0.7258503032766492	0.7843642855508117
memory_noise_sd	ips	31.705882352941174	0.7522785348756696	0.7249007972144665	0.7840499737187343
memory_noise_sd	ips	32.588235294117645	0.7516187803283974	0.7239214585817562	0.7837200716131073
memory_noise_sd	ips	33.470588235294116	0.75086954689962	0.7228262137439612	0.7832252116782694
memory_noise_sd	ips	34.35294117647059	0.7500338421818937	0.7215154266372482	0.7826140132194654
memory_noise_sd	ips	35.23529411764706	0.7491146974986355	0.7204115866715983	0.7820786945706808
memory_noise_sd	ips	36.11764705882353	0.7481151642961914	0.7190430899797766	0.7813842810517408
memory_noise_sd	ips	37.0	0.7470383106672702	0.7175974119640689	0.780425162374941
memory_noise_sd	ips	37.88235294117647	0.7458872180051813	0.7161200591928102	0.7795994648850434
memory_noise_sd	ips	38.76470588235294	0.744664977788214	0.7146617889822607	0.7786009719111936
memory_noise_sd	ips	39.64705882352941	0.743374688493915	0.7131814412994424	0.7774560288954434
memory_noise_sd	ips	40.529411764705884	0.7420194526428202	0.7113485599357975	0.7762971702645173
memory_noise_sd	ips	41.411764705882355	0.740602373971483	0.7096701296673893	0.7752575089610553
memory_noise_sd	ips	42.294117647058826	0.7391265547347138	0.7078541634027561	0.7740588365423476
memory_noise_sd	ips	43.17647058823529	0.7375950931369426	0.7057539916830743	0.7729900334027184
memory_noise_sd	ips	44.05882352941176	0.7360110808927898	0.7039026443847602	0.7720018547376595
memory_noise_sd	ips	44.94117647058823	0.7343776009170603	0.7019611885345284	0.7708894521948706
memory_noise_sd	ips	45.8235294117647	0.7326977251442764	0.6997577595519604	0.7698446771459367
memory_noise_sd	ips	46.705882352941174	0.7309745124780701	0.6973808585168504	0.7688139214725853
memory_noise_sd	ips	47.588235294117645	0.7292110068708468	0.6950136443091788	0.7677270302992257
memory_noise_sd	ips	48.470588235294116	0.727410235533879	0.692455920293495	0.7664893893465015
memory_noise_sd	ips	49.35294117647059	0.7255752072785348	0.6897406747733325	0.7652408252269108
memory_noise_sd	ips	50.23529411764706	0.7237089109887731	0.687099051471267	0.7643069596740242
memory_noise_sd	ips	51.11764705882353	0.7218143142255989	0.6840177650832423	0.7634460235574538
memory_noise_sd	ips	52.0	0.7198943619636301	0.6808568920475827	0.7625721760275291
memory_noise_sd	ips	52.88235294117647	0.7179519754605109	0.6777371776543175	0.7616384655877979
memory_noise_sd	ips	53.76470588235294	0.7159900512593448	0.6746937966034073	0.7608512590336788
memory_noise_sd	ips	54.64705882352941	0.7140114603246003	0.6714927538231865	0.7600310950922077
memory_noise_sd	ips	55.529411764705884	0.7120190473118981	0.668281694978043	0.7592974469390247
memory_noise_sd	ips	56.41176470588235	0.7100156299718516	0.6650562870098083	0.7583903343724111
memory_noise_sd	ips	57.29411764705882	0.7080039986883173	0.6616310114532903	0.7575050366601237
memory_noise_sd	ips	58.17647058823529	0.7059869161512008	0.6582575868043729	0.7568488199462804
memory_noise_sd	ips	59.05882352941176	0.703967117164003	0.6550024084494608	0.7559965824324997
memory_noise_sd	ips	59.94117647058823	0.7019473085861517	0.6516112646955653	0.7555971712638774
memory_noise_sd	ips	60.8235294117647	0.6999301694101173	0.648270280320839	0.7549914043396562
memory_noise_sd	ips	61.705882352941174	0.6979183509734014	0.6449797078369606	0.7543552317546685
memory_noise_sd	ips	62.588235294117645	0.6959144773050976	0.6415486964102508	0.7535687825237697
memory_noise_sd	ips	63.470588235294116	0.693921145607103	0.6381981323314064	0.7530558846474718
memory_noise_sd	ips	64.35294117647058	0.6919409268695401	0.6348890363007341	0.7525517053627788
memory_noise_sd	ips	65.23529411764706	0.6899763666203238	0.631428850015909	0.7521524467752887
memory_noise_sd	ips	66.11764705882354	0.6880299858084421	0.6281226358457898	0.7513220718888961
memory_noise_sd	ips	67.0	0.6861042818206726	0.6249575551849714	0.7509267748530273
memory_noise_sd	ips	67.88235294117646	0.6842017296312973	0.6218899902127074	0.7502628782509183
memory_noise_sd	ips	68.76470588235294	0.6823247830845547	0.6186172624658678	0.7499448533051477
memory_noise_sd	ips	69.64705882352942	0.6804758763092058	0.6157185803404469	0.7495942950998625
memory_noise_sd	ips	70.52941176470588	0.6786574252649777	0.6126043236173847	0.7487714365411291
memory_noise_sd	ips	71.41176470588235	0.6768718294204029	0.6094848827986081	0.7481440290913122
memory_noise_sd	ips	72.29411764705883	0.6751214735616016	0.6066328816442139	0.7476322021462586
memory_noise_sd	ips	73.17647058823529	0.673408729731725	0.6039933326685735	0.7471948375888876
memory_noise_sd	ips	74.05882352941177	0.6717359593006081	0.6014720719471168	0.7467592041134654
memory_noise_sd	ips	74.94117647058823	0.670105515164338	0.5987535380404513	0.7458738058159496
memory_noise_sd	ips	75.82352941176471	0.6685197440745806	0.596094894297409	0.7453804800366525
memory_noise_sd	ips	76.70588235294117	0.6669809890972761	0.5937969445467874	0.7451243660279888
memory_noise_sd	ips	77.58823529411765	0.6654915922006677	0.5914462689760551	0.744885466309609
memory_noise_sd	ips	78.47058823529412	0.6640538969725639	0.5889028047776551	0.7443766944169051
memory_noise_sd	ips	79.35294117647058	0.6626702514667832	0.586664676604239	0.7439842472517763
memory_noise_sd	ips	80.23529411764706	0.6613430111789111	0.5845141840608881	0.7433174419530445
memory_noise_sd	ips	81.11764705882352	0.66007454215134	0.5820137589108817	0.7431408709068453
memory_noise_sd	ips	82.0	0.6588672242080206	0.5799468709407571	0.7431608453739879
memory_noise_sd	ips	82.88235294117646	0.6577234543189898	0.5777330106893577	0.7428946215280312
memory_noise_sd	ips	83.76470588235294	0.6566456500950525	0.5759075290790369	0.7427237850444777
memory_noise_sd	ips	84.6470588235294	0.6556362534130471	0.574013780205586	0.7423155974787394
memory_noise_sd	ips	85.52941176470588	0.654697734171979	0.5724115986719557	0.7421067360812726
memory_noise_sd	ips	86.41176470588235	0.6538325941805336	0.5708234129687004	0.7420605433165011
memory_noise_sd	ips	87.29411764705883	0.6530433711762925	0.5691991468909294	0.7426599407624526
memory_noise_sd	ips	88.17647058823529	0.652332642976977	0.5677999915402354	0.7428173140382944
memory_noise_sd	ips	89.05882352941177	0.65170303176422	0.5664720704878254	0.7434436613330164
memory_noise_sd	ips	89.94117647058823	0.6511572084997057	0.5655051761740414	0.7440826725479189
memory_noise_sd	ips	90.82352941176471	0.6506978974740488	0.5640452309233154	0.744212424668042
memory_noise_sd	ips	91.70588235294117	0.6503278809879385	0.5629473638636997	0.7451794222562828
memory_noise_sd	ips	92.58823529411764	0.6500500041653895	0.5612412657892519	0.7462922332639383
memory_noise_sd	ips	93.47058823529412	0.6498671798981083	0.5592677619750219	0.7474992312458715
memory_noise_sd	ips	94.35294117647058	0.6497823939199269	0.5577588684306402	0.7490272854355874
memory_noise_sd	ips	95.23529411764706	0.6497987100097184	0.5563574355804779	0.7503964367539114
memory_noise_sd	ips	96.11764705882352	0.6499192753204869	0.5543747586184341	0.7526387280854805
memory_noise_sd	ips	97.0	0.6501473258318421	0.5528813438764906	0.7546814013389346
memory_noise_sd	ips	97.88235294117646	0.6504861919222069	0.551453540802045	0.7573500087857733
memory_noise_sd	ips	98.76470588235294	0.6509393040563294	0.5499054889417253	0.760937261838737
memory_noise_sd	ips	99.6470588235294	0.6515101985824469	0.5487609870974893	0.7633413960717501
memory_noise_sd	ips	100.52941176470588	0.6522025236326202	0.5476190970516481	0.7673439779178215
memory_noise_sd	ips	101.41176470588235	0.6530200451181739	0.545850048229978	0.7715448210377663
memory_noise_sd	ips	102.29411764705883	0.6539666528110079	0.5446943566971857	0.7764204052025796
memory_noise_sd	ips	103.17647058823529	0.6550463664998851	0.5431518832194782	0.7818124204581973
