order	n_safe	channel	delta	lo	hi
Risky first	7.0	bias_only	0.007591188096819416	-0.03371069456192885	0.05436078661558549
Risky first	10.0	bias_only	0.0038295612643752465	-0.03310739799513408	0.04194993580051295
Risky first	14.0	bias_only	-0.011869696231209877	-0.0488062472104461	0.028451244180812078
Risky first	20.0	bias_only	-0.0010957390750041746	-0.037006817124492476	0.036953796620145585
Risky first	28.0	bias_only	0.032647781957305534	-0.006721013766935174	0.07497996222356831
Risky second	7.0	bias_only	0.05747260447046688	0.008722623675478413	0.1012539699476683
Risky second	10.0	bias_only	0.06745903613103901	0.02672964243726442	0.10018997989573446
Risky second	14.0	bias_only	0.04438475330183581	0.010865413793011916	0.07807947534342562
Risky second	20.0	bias_only	0.0386632890520212	0.004555671149470632	0.07182903136630561
Risky second	28.0	bias_only	0.04380475020207414	0.005584256601511776	0.08301177139386864
Risky first	7.0	bias_risky_percept_only	-0.04375533416078047	-0.07656253802174363	-0.019770704311748155
Risky first	10.0	bias_risky_percept_only	-0.08359998158068244	-0.14075542656019915	-0.035633060267745806
Risky first	14.0	bias_risky_percept_only	-0.11427766494755114	-0.18948017191969524	-0.03790920743772191
Risky first	20.0	bias_risky_percept_only	-0.1266808470498463	-0.21017755782274564	-0.02718155255789667
Risky first	28.0	bias_risky_percept_only	-0.12585822470389085	-0.22089773195352388	-0.010469326224770271
Risky second	7.0	bias_risky_percept_only	-0.03866834615522156	-0.07167386546159912	-0.014607749199898913
Risky second	10.0	bias_risky_percept_only	-0.07424625739885836	-0.12561191463847948	-0.026558378182044356
Risky second	14.0	bias_risky_percept_only	-0.1078346932850936	-0.18267298780330082	-0.033093273360796475
Risky second	20.0	bias_risky_percept_only	-0.14964113668775686	-0.24077131988813186	-0.04848176906944955
Risky second	28.0	bias_risky_percept_only	-0.18320299833020542	-0.29631674628480514	-0.0516788641161116
Risky first	7.0	bias_safe_percept_only	0.04335961456525794	0.0014262524914014332	0.09110918406202426
Risky first	10.0	bias_safe_percept_only	0.07887581315033226	0.021333443380039195	0.1311693860861868
Risky first	14.0	bias_safe_percept_only	0.10206977554412079	0.02745597394364233	0.17626288763319042
Risky first	20.0	bias_safe_percept_only	0.1389548449448389	0.031004104796283335	0.23313202562955057
Risky first	28.0	bias_safe_percept_only	0.17672251466998845	0.04830282970235679	0.28345526376479396
Risky second	7.0	bias_safe_percept_only	0.08666223775457109	0.034135061668551396	0.1365905733723219
Risky second	10.0	bias_safe_percept_only	0.1269269972982136	0.07794119313991187	0.175210226097979
Risky second	14.0	bias_safe_percept_only	0.13284421084382347	0.06449060901723007	0.19856849988343864
Risky second	20.0	bias_safe_percept_only	0.167236804400739	0.07262114450699837	0.2556282870382175
Risky second	28.0	bias_safe_percept_only	0.20465049333649357	0.07958533906379185	0.30999567578815984
Risky first	7.0	full	0.00808601656732971	-0.033054343273491237	0.05196016105562036
Risky first	10.0	full	0.005051333231112159	-0.032994866312601075	0.044023056653467084
Risky first	14.0	full	-0.01110215363368008	-0.0490895378497982	0.029386271546784342
Risky first	20.0	full	-0.0013659306309974858	-0.03758971145878718	0.037084721094772816
Risky first	28.0	full	0.032145616938871746	-0.007195334396116257	0.0753868210227799
Risky second	7.0	full	0.056439585180477134	0.010561958389705063	0.09848290777333346
Risky second	10.0	full	0.06920121602611301	0.028806457411473058	0.10198034263936355
Risky second	14.0	full	0.047697032875446556	0.011698051126871724	0.08592343810704303
Risky second	20.0	full	0.04166978660741488	0.006441903417351437	0.07642922999472548
Risky second	28.0	full	0.04572604402462152	0.008395270304786866	0.08504645778922004
Risky first	7.0	noise_only	0.0007950375315991084	-0.0017293671928491166	0.003992180375275221
Risky first	10.0	noise_only	0.000777880927839192	-0.0007389933107426572	0.0024634668118920598
Risky first	14.0	noise_only	-0.0002530539213136097	-0.0018669447732546406	0.001565993993334912
Risky first	20.0	noise_only	-0.001729344407177126	-0.003633075242986171	0.0005884742736532506
Risky first	28.0	noise_only	-0.0018871311508334612	-0.003860071895171236	1.2166550687785123e-05
Risky second	7.0	noise_only	0.0013155415181845753	-0.001689925981446895	0.003694215571303044
Risky second	10.0	noise_only	0.001109823438874899	-0.0003114093094390094	0.00270491171894401
Risky second	14.0	noise_only	0.0008914777386165649	-0.0009291467794547079	0.003143656769418389
Risky second	20.0	noise_only	0.000346062327997346	-0.0012466553573650936	0.002373031028711288
Risky second	28.0	noise_only	0.0003523874045766345	-0.0012928935867517826	0.0022252752506154456
