order	n_safe	median	lo	hi	obs	obs_sem
Risky first	7.0	0.0042352092352091475	-0.05176046176046167	0.0720923520923521	-0.003564213564213565	0.03609656059327895
Risky first	10.0	0.009025974025973993	-0.05978354978354983	0.07303030303030311	0.019004329004329006	0.031872359979577984
Risky first	14.0	0.003225108225108242	-0.05199134199134203	0.06913419913419916	-0.004632034632034642	0.041446960759510966
Risky first	20.0	0.004545454545454575	-0.06653679653679645	0.05367965367965366	-0.027489177489177494	0.042985399933987666
Risky first	28.0	0.0172077922077922	-0.038787878787878816	0.07333333333333325	0.04402597402597404	0.04149585065705767
Risky second	7.0	0.036904761904761885	-0.020346320346320335	0.10519480519480517	0.09588744588744588	0.04111927498400671
Risky second	10.0	0.02608225108225104	-0.03649350649350658	0.08532467532467536	0.010995670995671003	0.03478012487003009
Risky second	14.0	0.026948051948051943	-0.033333333333333326	0.08441558441558439	0.07272727272727272	0.042458333277957935
Risky second	20.0	0.019588744588744544	-0.04480519480519485	0.07424242424242433	0.04675324675324675	0.04130364313616211
Risky second	28.0	0.011904761904761973	-0.04761904761904767	0.08095238095238111	0.03809523809523809	0.03959748120196977
