stimulation_condition	n_safe	frac	mean	lo	hi	source
ips	7.0	1.15	0.1471701417851747	0.04753257967563555	0.28626580566410625	model
ips	7.0	1.248	0.1959706826650094	0.07621754036653669	0.34833316394452735	model
ips	7.0	1.3459999999999999	0.24909287006483496	0.11148527355785132	0.4116291346960982	model
ips	7.0	1.444	0.3044548282368154	0.15356338933257	0.4736051231835592	model
ips	7.0	1.5419999999999998	0.3602237447488683	0.20077767950316328	0.5311311703091661	model
ips	7.0	1.64	0.41491014915330515	0.2502173014709889	0.586144069014272	model
ips	7.0	1.738	0.46738599063106634	0.29964424781218385	0.6364953436645966	model
ips	7.0	1.8359999999999999	0.5168645776794752	0.3487707562020737	0.679853689449803	model
ips	7.0	1.934	0.5628598632244065	0.3957623040119012	0.7185314660392924	model
ips	7.0	2.032	0.6051347596711127	0.44067317191498656	0.753075459761022	model
ips	7.0	2.13	0.6436454451785653	0.48246924400414753	0.7826733815279834	model
ips	7.0	2.2279999999999998	0.6784872907033531	0.5210719679293355	0.8096674125664703	model
ips	7.0	2.326	0.7098467937825361	0.5576591799468797	0.8328981654216183	model
ips	7.0	2.424	0.7379622810214508	0.5914101597394315	0.8522869215430651	model
ips	7.0	2.5220000000000002	0.7630943287464526	0.6233321309437481	0.8694895169302705	model
ips	7.0	2.62	0.7855053051419738	0.653042186911835	0.8843452414166934	model
ips	7.0	2.718	0.8054464659738924	0.6804472303038864	0.8971282279699656	model
ips	7.0	2.816	0.8231506782234922	0.7046901628568087	0.907983942984341	model
ips	7.0	2.9139999999999997	0.8388309752499806	0.7267649229800309	0.9173341582694418	model
ips	7.0	3.012	0.8527099835243132	0.7463790114133652	0.9255897500930347	model
ips	7.0	3.11	0.8650128778704075	0.7638220714650111	0.9330081109190577	model
ips	7.0	3.208	0.8759413662454065	0.7803452033160737	0.9397849895731385	model
ips	7.0	3.306	0.8856737827144706	0.795331263159712	0.9454251781568349	model
ips	7.0	3.404	0.8943666322490244	0.8087771225281292	0.9502481416227866	model
ips	7.0	3.5020000000000002	0.9021564839480354	0.8211010463252207	0.9544727467585028	model
ips	7.0	3.6	0.9091619876174928	0.8323701721720024	0.9583498531001372	model
ips	10.0	1.15	0.16800020818300188	0.0833280590462087	0.28068061268090566	model
ips	10.0	1.248	0.2191270516863004	0.1210463319646694	0.33962983787603873	model
ips	10.0	1.3459999999999999	0.2725494389368763	0.16373291821316474	0.39901352917011634	model
ips	10.0	1.444	0.3264469427361418	0.2093092444908756	0.45735880952562014	model
ips	10.0	1.5419999999999998	0.3793217790867577	0.2554691813814045	0.5112821205946372	model
ips	10.0	1.64	0.4300415665431841	0.30076756572950986	0.5612652754205896	model
ips	10.0	1.738	0.4778229983729232	0.34600173942170626	0.6078608871708162	model
ips	10.0	1.8359999999999999	0.5221754595484573	0.39072858122610504	0.6496104869805135	model
ips	10.0	1.934	0.5628298858377553	0.4327460707975754	0.6866580838725572	model
ips	10.0	2.032	0.599673604751084	0.4716389450898423	0.7188509676614112	model
ips	10.0	2.13	0.6327710056083456	0.5078067005255849	0.7469436053592097	model
ips	10.0	2.2279999999999998	0.6623760419318347	0.5402185755668202	0.7715545449040043	model
ips	10.0	2.326	0.688796475977626	0.5696796665115743	0.7931726067752465	model
ips	10.0	2.424	0.7123537442111768	0.5967142383796602	0.8123372216352399	model
ips	10.0	2.5220000000000002	0.7333632752315069	0.621319409671641	0.828773243342206	model
ips	10.0	2.62	0.7521227490826051	0.6427658792884909	0.8430798819168579	model
ips	10.0	2.718	0.7689058747607231	0.662618080661694	0.8560836061782563	model
ips	10.0	2.816	0.7839598220302662	0.6807029668636324	0.8675710152889768	model
ips	10.0	2.9139999999999997	0.79750495120141	0.69744203327752	0.8777187475677071	model
ips	10.0	3.012	0.8097358960588743	0.7124266443541862	0.8873998636161213	model
ips	10.0	3.11	0.8208233670549028	0.7258708113104555	0.8959215102007058	model
ips	10.0	3.208	0.8309162676872806	0.738383486865749	0.9033171597029189	model
ips	10.0	3.306	0.840143874894334	0.7492612930494483	0.9098136292974232	model
ips	10.0	3.404	0.8486179415496916	0.7593111584422544	0.9163020248864266	model
ips	10.0	3.5020000000000002	0.8564346498989459	0.768696381778659	0.9221714113537766	model
ips	10.0	3.6	0.8636763898337138	0.77713579100759	0.9275969147737966	model
ips	14.0	1.15	0.21415660577947399	0.12468258421272971	0.32931695784587106	model
ips	14.0	1.248	0.2705141868634037	0.1707008617781485	0.3918670595303637	model
ips	14.0	1.3459999999999999	0.3268830562105935	0.21921167266809624	0.45113072163292184	model
ips	14.0	1.444	0.3811289639117132	0.2698756971366211	0.5053480000138437	model
ips	14.0	1.5419999999999998	0.4317256861250278	0.31849365567065735	0.5543542743058288	model
ips	14.0	1.64	0.4780304062931221	0.3638955361311908	0.5989524284238495	model
ips	14.0	1.738	0.5198973853342792	0.40569893967995585	0.6364640455001279	model
ips	14.0	1.8359999999999999	0.5574664949515996	0.44449110014332127	0.6701275079887911	model
ips	14.0	1.934	0.5910407716586348	0.4789243793168388	0.6995739889998086	model
ips	14.0	2.032	0.6210014404272215	0.5108329848808286	0.7247762910804644	model
ips	14.0	2.13	0.6477533974241321	0.5393085822404519	0.7470484034108259	model
ips	14.0	2.2279999999999998	0.6716927184568566	0.5663406649305486	0.7669457855360673	model
ips	14.0	2.326	0.6931888512990259	0.5911648546097958	0.7854103249122186	model
ips	14.0	2.424	0.7125759427410252	0.6127911560430708	0.8012867094752687	model
ips	14.0	2.5220000000000002	0.7301494643059538	0.6312096957186843	0.8165388667337866	model
ips	14.0	2.62	0.7461656897009125	0.6490120932527519	0.8292174878255565	model
ips	14.0	2.718	0.7608426243162844	0.6655013972745794	0.8403130606767659	model
ips	14.0	2.816	0.77436173859844	0.6811044944252931	0.8506085376704595	model
ips	14.0	2.9139999999999997	0.7868703533614528	0.6950609794037474	0.8598916176809295	model
ips	14.0	3.012	0.7984847855989501	0.7089067565315454	0.869452090219485	model
ips	14.0	3.11	0.8092944024405462	0.7213560531402459	0.8784818100778574	model
ips	14.0	3.208	0.8193665850870975	0.7323981463570233	0.8868388493788527	model
ips	14.0	3.306	0.8287523511969004	0.7420548001440893	0.8944187461076678	model
ips	14.0	3.404	0.8374921344428896	0.7524046247405348	0.9013581652676147	model
ips	14.0	3.5020000000000002	0.8456210837907584	0.7614590670729876	0.9081512083179538	model
ips	14.0	3.6	0.8531732861009614	0.770281212403461	0.9144849619021928	model
ips	20.0	1.15	0.2296321160313345	0.12787485402646637	0.36043229554624034	model
ips	20.0	1.248	0.28000469634472913	0.16884844764530457	0.41490458937821645	model
ips	20.0	1.3459999999999999	0.327901064351081	0.2112115368671193	0.46352913092270537	model
ips	20.0	1.444	0.37252979300526956	0.25280992494790727	0.5083119202960804	model
ips	20.0	1.5419999999999998	0.4136271560251714	0.29331566399568826	0.5475969110604874	model
ips	20.0	1.64	0.4512520767065829	0.331063006310051	0.5818804426862408	model
ips	20.0	1.738	0.48563935598374836	0.368044098955457	0.6130146107915494	model
ips	20.0	1.8359999999999999	0.5171053684479864	0.4005603359291311	0.6403941226206922	model
ips	20.0	1.934	0.5459910359464508	0.42951194147596156	0.6647015137255313	model
ips	20.0	2.032	0.5726268629993932	0.457199105706988	0.6877788677695069	model
ips	20.0	2.13	0.5973085492195621	0.48404909414152075	0.7098357603648888	model
ips	20.0	2.2279999999999998	0.6202773952921343	0.5074547092444381	0.7303319153600965	model
ips	20.0	2.326	0.6417062805041966	0.5293434464324811	0.7493963852809506	model
ips	20.0	2.424	0.6616968221884745	0.5497079203971301	0.7663556258131344	model
ips	20.0	2.5220000000000002	0.6802929325156409	0.5685893239987473	0.7813784395191262	model
ips	20.0	2.62	0.6975094487838932	0.5855062315292223	0.7965651778864103	model
ips	20.0	2.718	0.7133661032551589	0.6011542210379813	0.8106299777030651	model
ips	20.0	2.816	0.7279135898192053	0.614714094920625	0.823203657376542	model
ips	20.0	2.9139999999999997	0.7412429484576318	0.6280245197442577	0.8337910885999591	model
ips	20.0	3.012	0.7534784549751059	0.6411079111471037	0.8437145913530502	model
ips	20.0	3.11	0.7647612160645603	0.6532462106835323	0.8529168520757686	model
ips	20.0	3.208	0.77523202448682	0.6646920829283657	0.8610942247242555	model
ips	20.0	3.306	0.7850189010847565	0.6759813790417747	0.8687218718939783	model
ips	20.0	3.404	0.7942306564719939	0.6874242636301068	0.875976610659938	model
ips	20.0	3.5020000000000002	0.8029551905070237	0.6985589750725285	0.8827516848574455	model
ips	20.0	3.6	0.8112604675597048	0.7087253670514654	0.889016055323272	model
ips	28.0	1.15	0.21568400649470643	0.1009592971894237	0.37451821483404624	model
ips	28.0	1.248	0.2566482579078082	0.134261825412925	0.41765422102719707	model
ips	28.0	1.3459999999999999	0.29628505318220844	0.16863123866322882	0.4561269218927157	model
ips	28.0	1.444	0.3343867947289348	0.2040966166822319	0.49198237287012025	model
ips	28.0	1.5419999999999998	0.3709181784708695	0.23787686302248875	0.5259408682577694	model
ips	28.0	1.64	0.4059327222710638	0.2710025821621889	0.5579168189721448	model
ips	28.0	1.738	0.43951398129386915	0.303203323171051	0.589510567695186	model
ips	28.0	1.8359999999999999	0.4717077887550987	0.33120682321245903	0.6197479668859425	model
ips	28.0	1.934	0.5024419757389661	0.35801057897112243	0.6487526214327259	model
ips	28.0	2.032	0.5314874521238115	0.3831730525510051	0.674740347835434	model
ips	28.0	2.13	0.5585234023378094	0.40677096085016173	0.6986830821752287	model
ips	28.0	2.2279999999999998	0.5832853514838503	0.42913366305268813	0.7213525841821846	model
ips	28.0	2.326	0.605686764936913	0.45058337968759393	0.7415004051445534	model
ips	28.0	2.424	0.6258299651334642	0.47117934220443597	0.7606265168803164	model
ips	28.0	2.5220000000000002	0.6439267198399142	0.48973447632110817	0.7760900316439562	model
ips	28.0	2.62	0.6602010817995796	0.5056867840569309	0.7902723394613052	model
ips	28.0	2.718	0.6748181454022555	0.5193220416193522	0.802893918687097	model
ips	28.0	2.816	0.6878417404665124	0.5322972893962366	0.8151589409846319	model
ips	28.0	2.9139999999999997	0.6992154504071587	0.5410121301892105	0.8271037064179451	model
ips	28.0	3.012	0.7087817030273574	0.5461166611647684	0.839406065274188	model
ips	28.0	3.11	0.7163667139221733	0.5445050333381672	0.8510240093768251	model
ips	28.0	3.208	0.7218970721460458	0.5396981169513608	0.8642500200255959	model
ips	28.0	3.306	0.7254323976088716	0.5244940678288742	0.8788868520712454	model
ips	28.0	3.404	0.727085996642862	0.5025097945793321	0.8938654792741109	model
ips	28.0	3.5020000000000002	0.7269076759107982	0.47123808773484027	0.9102568166221265	model
ips	28.0	3.6	0.7248019798792271	0.4355965598701824	0.9272583392420196	model
vertex	7.0	1.15	0.08058688653081647	0.015952697840353205	0.19650958262968116	model
vertex	7.0	1.248	0.11741650392410782	0.030485811485390885	0.2548243262680152	model
vertex	7.0	1.3459999999999999	0.16144219388546519	0.05174558242646351	0.31684807383473423	model
vertex	7.0	1.444	0.21120749208111803	0.08132119247752943	0.37916678470074466	model
vertex	7.0	1.5419999999999998	0.26502280765344044	0.11724317299147471	0.4411641912975329	model
vertex	7.0	1.64	0.3211486989829329	0.15995686212489296	0.5026169658150694	model
vertex	7.0	1.738	0.37791506205654435	0.2075837751428337	0.5618045142123429	model
vertex	7.0	1.8359999999999999	0.4338233122234204	0.2594899825065925	0.6152391525460158	model
vertex	7.0	1.934	0.48763529863721455	0.3099150930640493	0.6626568870178824	model
vertex	7.0	2.032	0.538428826399043	0.3603351899504246	0.7064708816850188	model
vertex	7.0	2.13	0.5856050891911134	0.4065733930313187	0.7460686793812735	model
vertex	7.0	2.2279999999999998	0.6288525681352504	0.45134600995043	0.7814854951068986	model
vertex	7.0	2.326	0.6680860945652477	0.49480228116552283	0.8118320680055473	model
vertex	7.0	2.424	0.7033811269243399	0.535604235256894	0.8376059615114161	model
vertex	7.0	2.5220000000000002	0.7349163982198615	0.5729769197449249	0.8601537034031607	model
vertex	7.0	2.62	0.7629301016528434	0.6092875129491148	0.8790782332071417	model
vertex	7.0	2.718	0.787689313184366	0.6431280603262604	0.8952682253329443	model
vertex	7.0	2.816	0.8094697650480938	0.6724658021901674	0.9086787285487178	model
vertex	7.0	2.9139999999999997	0.8285453229951902	0.6982437208590604	0.9201277281592616	model
vertex	7.0	3.012	0.845220037456313	0.7215082656276824	0.9296893978516889	model
vertex	7.0	3.11	0.8598099167576956	0.7428357006312354	0.9382697622003072	model
vertex	7.0	3.208	0.8726018745109119	0.7618935768808641	0.9459734042276003	model
vertex	7.0	3.306	0.8838508097508716	0.7786158768964435	0.9529652692269321	model
vertex	7.0	3.404	0.8937799581674818	0.7942302576306473	0.9584449488689694	model
vertex	7.0	3.5020000000000002	0.9025825956471804	0.808181964839326	0.9628971784680179	model
vertex	7.0	3.6	0.9104244805643398	0.8206787963489038	0.9668128848747699	model
vertex	10.0	1.15	0.1002331289064766	0.038060290358491726	0.1928547920541149	model
vertex	10.0	1.248	0.13907698563796766	0.060715603366850904	0.24756849809877837	model
vertex	10.0	1.3459999999999999	0.18295267394088743	0.08883483403636701	0.30499353050594813	model
vertex	10.0	1.444	0.23054217448586703	0.12176771881410825	0.36127379085524347	model
vertex	10.0	1.5419999999999998	0.2803778668073225	0.1588729101154425	0.42023705489752483	model
vertex	10.0	1.64	0.3309991955695235	0.1994021181389366	0.476794069152117	model
vertex	10.0	1.738	0.38108102362808877	0.24214995600832806	0.5310085710767244	model
vertex	10.0	1.8359999999999999	0.429507834241546	0.2852075117186428	0.5806961291336689	model
vertex	10.0	1.934	0.4753969928720684	0.32914191622694133	0.6244173058601133	model
vertex	10.0	2.032	0.51809035332695	0.37042095193660307	0.6637910137049303	model
vertex	10.0	2.13	0.5572268783401589	0.4089282045891863	0.6998314915414088	model
vertex	10.0	2.2279999999999998	0.5927816884502627	0.44369659925496446	0.7321376690919684	model
vertex	10.0	2.326	0.6248853475291136	0.4764272934144121	0.760089460432987	model
vertex	10.0	2.424	0.653758890955828	0.506535796066221	0.7840486929517283	model
vertex	10.0	2.5220000000000002	0.6796734390694328	0.5342342679727473	0.8038744598297684	model
vertex	10.0	2.62	0.702920851917527	0.5586234227678079	0.822102887544482	model
vertex	10.0	2.718	0.7237935472935972	0.5808999630369843	0.8379941659774972	model
vertex	10.0	2.816	0.7425713926599699	0.6018941910020624	0.8528591601786754	model
vertex	10.0	2.9139999999999997	0.7595137796079185	0.6214312284415489	0.8658689150551448	model
vertex	10.0	3.012	0.7748553457926999	0.6391282933915167	0.8778232244613455	model
vertex	10.0	3.11	0.7888041866686297	0.6555252724922458	0.8882571946730753	model
vertex	10.0	3.208	0.8015417320595738	0.6709026111769163	0.8971534666128615	model
vertex	10.0	3.306	0.8132237254777565	0.6851508192272642	0.9053142200083326	model
vertex	10.0	3.404	0.8239819339877619	0.6982095123552636	0.9132061873656151	model
vertex	10.0	3.5020000000000002	0.8339263415112967	0.7109338412865926	0.9207869735481263	model
vertex	10.0	3.6	0.8431476522699024	0.7224265480358087	0.9278377307089195	model
vertex	14.0	1.15	0.14568302964041896	0.06809933439654048	0.25315198188614346	model
vertex	14.0	1.248	0.1931992120863654	0.10386265534808417	0.30907536891889437	model
vertex	14.0	1.3459999999999999	0.24442867446763294	0.14554623170996642	0.368189820044866	model
vertex	14.0	1.444	0.2969139945131643	0.19077142300090877	0.42531084851351303	model
vertex	14.0	1.5419999999999998	0.3483732367821622	0.23472169089256378	0.48023086211750116	model
vertex	14.0	1.64	0.39738784070289557	0.27721026802089543	0.5316170688598834	model
vertex	14.0	1.738	0.443135584039408	0.3191293115121936	0.5774577471112396	model
vertex	14.0	1.8359999999999999	0.4852306361226632	0.3590546497064837	0.6178060853264783	model
vertex	14.0	1.934	0.5236086736773213	0.39536402327081044	0.6555456742170276	model
vertex	14.0	2.032	0.5584201971991662	0.4278154727299373	0.687900746494031	model
vertex	14.0	2.13	0.5899432492647831	0.45773954732761707	0.7162274281599552	model
vertex	14.0	2.2279999999999998	0.6185164637342829	0.4870494817114584	0.7418784601335093	model
vertex	14.0	2.326	0.6444895016659761	0.5134845735681052	0.7633797968062256	model
vertex	14.0	2.424	0.668187672464479	0.537708605563281	0.781908665112485	model
vertex	14.0	2.5220000000000002	0.6898887778625774	0.5610662975144473	0.799721408474215	model
vertex	14.0	2.62	0.7098115390089457	0.5815357792581299	0.8158531883288906	model
vertex	14.0	2.718	0.728115411591028	0.6016253859259264	0.8301085898561832	model
vertex	14.0	2.816	0.7449107091623081	0.6203527962023427	0.8434133826424498	model
vertex	14.0	2.9139999999999997	0.7602760428121867	0.6371984010785876	0.8557388700694115	model
vertex	14.0	3.012	0.774278199442476	0.6531436222238959	0.8671363864528836	model
vertex	14.0	3.11	0.7869889992189891	0.6676027810945651	0.8761669079582449	model
vertex	14.0	3.208	0.7984950537999548	0.6805843874857146	0.8843662465350454	model
vertex	14.0	3.306	0.8088991987602596	0.6933189604742508	0.8912085450895898	model
vertex	14.0	3.404	0.8183153306115443	0.7055451313043455	0.8968970393326864	model
vertex	14.0	3.5020000000000002	0.8268601048309308	0.7170920329675121	0.9018077708802801	model
vertex	14.0	3.6	0.8346449433059708	0.7277531751946047	0.9065925938953854	model
vertex	20.0	1.15	0.1577005934350163	0.07249200508247021	0.2808218001864273	model
vertex	20.0	1.248	0.20326828682968578	0.10706332705086807	0.3352520609421326	model
vertex	20.0	1.3459999999999999	0.2497292217030501	0.14373827428389965	0.38548443938310006	model
vertex	20.0	1.444	0.2955472530298353	0.18036411352371237	0.43501748759744785	model
vertex	20.0	1.5419999999999998	0.33972979059271013	0.21779942860553878	0.4807994214035019	model
vertex	20.0	1.64	0.38175204271177227	0.2546663447276774	0.52374845334255	model
vertex	20.0	1.738	0.42143635686851894	0.2929878831056071	0.5623967373706474	model
vertex	20.0	1.8359999999999999	0.4588239232465194	0.3279629449607458	0.5950208770580888	model
vertex	20.0	1.934	0.4940421434698762	0.3608310661074174	0.6259494279104936	model
vertex	20.0	2.032	0.5271757209340505	0.39225096779634894	0.6550372545826824	model
vertex	20.0	2.13	0.5581797918381067	0.4229930157538118	0.6826847121233635	model
vertex	20.0	2.2279999999999998	0.5868849164948937	0.4523548157101912	0.7097365901259398	model
vertex	20.0	2.326	0.6130994354891399	0.480168485108267	0.7332623693887415	model
vertex	20.0	2.424	0.6367399734471371	0.505227427788983	0.7533657625827361	model
vertex	20.0	2.5220000000000002	0.657896895384017	0.5293963728695537	0.7699887720716314	model
vertex	20.0	2.62	0.6768027392167252	0.5511664498710206	0.7847232935229336	model
vertex	20.0	2.718	0.6937498375323633	0.5698881924763548	0.79838397637733	model
vertex	20.0	2.816	0.7090201268360342	0.5873423665644746	0.8108869552592305	model
vertex	20.0	2.9139999999999997	0.7228530519088302	0.6029039092167021	0.821769984818318	model
vertex	20.0	3.012	0.7354422188511899	0.6163450891682293	0.8310265797547476	model
vertex	20.0	3.11	0.7469432169596254	0.6282146253344455	0.8392917699445773	model
vertex	20.0	3.208	0.7574820814950655	0.6398936170951223	0.8463438971432486	model
vertex	20.0	3.306	0.7671612153759575	0.6501024131548805	0.8531476238874495	model
vertex	20.0	3.404	0.7760629369943212	0.6589500557180584	0.8599655475290712	model
vertex	20.0	3.5020000000000002	0.7842515367080166	0.668710571107384	0.8665515158224908	model
vertex	20.0	3.6	0.7917745121721063	0.6791117102773307	0.8721612075545904	model
vertex	28.0	1.15	0.14865827866117948	0.053126761194095595	0.30052343954743294	model
vertex	28.0	1.248	0.18769771760179038	0.07988721620789845	0.34383407106456876	model
vertex	28.0	1.3459999999999999	0.22800942297883642	0.11023867963800534	0.3871038001760802	model
vertex	28.0	1.444	0.2688703729845759	0.14282846452342463	0.43136420654705837	model
vertex	28.0	1.5419999999999998	0.30998853770443774	0.1780050204058202	0.47311495798184183	model
vertex	28.0	1.64	0.3512884211586034	0.21055126362783813	0.5145070173117717	model
vertex	28.0	1.738	0.39245394185483334	0.24335058786199718	0.55380826001719	model
vertex	28.0	1.8359999999999999	0.43253052561644717	0.27624301147760283	0.5919728680546937	model
vertex	28.0	1.934	0.4701343870318554	0.3087308739988345	0.6281207954334421	model
vertex	28.0	2.032	0.5041773044666515	0.33820119560739664	0.6605534698155956	model
vertex	28.0	2.13	0.534305561108774	0.36253047381895487	0.6881027565120039	model
vertex	28.0	2.2279999999999998	0.5607278064390088	0.3832205301838823	0.7132028741095765	model
vertex	28.0	2.326	0.5838385672584024	0.4000959990009454	0.7351099154654118	model
vertex	28.0	2.424	0.6039968529688006	0.41526941779929527	0.7543465786705308	model
vertex	28.0	2.5220000000000002	0.6214663220922043	0.4263490898262664	0.771452669818303	model
vertex	28.0	2.62	0.6364121129333771	0.43728274079723295	0.7853598012504026	model
vertex	28.0	2.718	0.6489020046070175	0.44394639033521255	0.7982919525679824	model
vertex	28.0	2.816	0.6589019844556295	0.4477997632673511	0.8096431267754028	model
vertex	28.0	2.9139999999999997	0.6662661236941245	0.44166266260262715	0.8199079890324622	model
vertex	28.0	3.012	0.6707245164335682	0.42654517969089917	0.8300624320215497	model
vertex	28.0	3.11	0.6718991448064885	0.39874069403726264	0.8382853715586204	model
vertex	28.0	3.208	0.6694414924643683	0.3642554804275582	0.8449558072247618	model
vertex	28.0	3.306	0.6632250687544005	0.3255515090891841	0.853004758971412	model
vertex	28.0	3.404	0.6533974736204886	0.2892848985847962	0.8602517666628506	model
