order	n_risky_bin	channel	delta	lo	hi
Risky first	7-17	bias_only	0.033126431350969356	-0.013788382290273671	0.07411477559906708
Risky first	18-26	bias_only	-0.0019920082447012345	-0.026941682713103716	0.027391254741867172
Risky first	27-36	bias_only	-0.008867898240346263	-0.03659784888410167	0.018111976609100328
Risky first	37-53	bias_only	-0.003363689690251527	-0.036095488948699565	0.026401238307117828
Risky first	54-112	bias_only	0.027812700990379323	-0.0226284425852626	0.06706416365738602
Risky second	7-17	bias_only	0.08270635527499091	0.027606234118862344	0.12469679184345231
Risky second	18-26	bias_only	0.06196725725405771	0.030479359471259702	0.09068882050584816
Risky second	27-36	bias_only	0.04817379887349316	0.013456318403467997	0.07920927126753313
Risky second	37-53	bias_only	0.03558128365302609	-0.0018730009228568655	0.06723804432581763
Risky second	54-112	bias_only	0.01478677817910065	-0.03851183534506181	0.061398069698307196
Risky first	7-17	bias_risky_percept_only	-0.03170002731404818	-0.05351490550559135	-0.015844720414212043
Risky first	18-26	bias_risky_percept_only	-0.08049602230404196	-0.11893741950669172	-0.04631564194338026
Risky first	27-36	bias_risky_percept_only	-0.11189767969720052	-0.17088959420567812	-0.06102180841811428
Risky first	37-53	bias_risky_percept_only	-0.14542967082886704	-0.23163785504239784	-0.07291704269790318
Risky first	54-112	bias_risky_percept_only	-0.1496870097235388	-0.2691762349857386	-0.015721372226868445
Risky second	7-17	bias_risky_percept_only	-0.02459463311813077	-0.04123465193825033	-0.009366998822028882
Risky second	18-26	bias_risky_percept_only	-0.0709892655390173	-0.11591688244473754	-0.028667635455534614
Risky second	27-36	bias_risky_percept_only	-0.10984774523781785	-0.17597644303458113	-0.0397877469848852
Risky second	37-53	bias_risky_percept_only	-0.1685874772896087	-0.256565501070724	-0.07685337357307927
Risky second	54-112	bias_risky_percept_only	-0.21978082294318851	-0.3504829832098176	-0.10757402745354384
Risky first	7-17	bias_safe_percept_only	0.06504459905385576	0.01376453593062047	0.10736592407749665
Risky first	18-26	bias_safe_percept_only	0.08058972715345229	0.03824198944420075	0.12465676218990915
Risky first	27-36	bias_safe_percept_only	0.10641352089931988	0.052104555072956686	0.16987726240683979
Risky first	37-53	bias_safe_percept_only	0.14910906756840803	0.06821272094355349	0.2370853118468436
Risky first	54-112	bias_safe_percept_only	0.17227176096944377	0.055036118040479295	0.27018242770865186
Risky second	7-17	bias_safe_percept_only	0.10757954516621712	0.0448824323005658	0.15799131747477244
Risky second	18-26	bias_safe_percept_only	0.12787557965630061	0.07969667523998696	0.1712514527537923
Risky second	27-36	bias_safe_percept_only	0.14222673466765953	0.08702542428494991	0.19374927405836836
Risky second	37-53	bias_safe_percept_only	0.17695713234777327	0.10863847905257461	0.23919718735298626
Risky second	54-112	bias_safe_percept_only	0.1869723885519802	0.11307773352952079	0.25806187566893013
Risky first	7-17	full	0.03290786220613115	-0.013931001144724143	0.07445042030523855
Risky first	18-26	full	-0.0020291076201772837	-0.028015284112099626	0.027226368090015652
Risky first	27-36	full	-0.008557324014111902	-0.03729701511418789	0.020730380168282214
Risky first	37-53	full	-0.0030317456534414717	-0.036113204067882106	0.02710475655931979
Risky first	54-112	full	0.0295879920224184	-0.020832797015884988	0.06750920810781372
Risky second	7-17	full	0.08251952536095235	0.02713120437913684	0.124552966830201
Risky second	18-26	full	0.06241930886587169	0.03332959377181683	0.09236665921457206
Risky second	27-36	full	0.05151835138808789	0.015024322406921328	0.08376252211099573
Risky second	37-53	full	0.03990096847474192	0.0009585234332625458	0.07260904377463569
Risky second	54-112	full	0.01898613354945617	-0.03454853900513743	0.06744785779568362
Risky first	7-17	noise_only	-0.0003128271869481409	-0.0028547035244204885	0.002028836793781346
Risky first	18-26	noise_only	-0.0007303116423743267	-0.002532354917788386	0.0012748380547913266
Risky first	27-36	noise_only	-0.00034153161058506505	-0.0018702530069059488	0.0013657709640186196
Risky first	37-53	noise_only	-0.0004897694907971702	-0.0018322777331526915	0.00114447063205409
Risky first	54-112	noise_only	-0.0003379020178186876	-0.0018192009869745847	0.0012367620763551305
Risky second	7-17	noise_only	0.00023193622973601574	-0.00353083402027294	0.0037850440925740582
Risky second	18-26	noise_only	-0.0013214395010629851	-0.003960826234271198	0.0012965243485985845
Risky second	27-36	noise_only	0.0014926060225936722	-0.0008098968340654318	0.004036953893035078
Risky second	37-53	noise_only	0.002562313048826378	0.00031257646698439837	0.004974918294746888
Risky second	54-112	noise_only	0.002825589386051539	0.00046780328728093145	0.005269537674919326
