term	payoff	delta	lo	hi	p_increase
memory_noise_sd	7	0.07184495960959682	-0.05779565260121635	0.20229740835203222	0.8754
memory_noise_sd	10	0.05127828369714573	-0.005923976015349884	0.11726340299467296	0.9611
memory_noise_sd	14	0.035650746713574454	-0.013366932073320867	0.09286666274015766	0.9211
memory_noise_sd	20	0.032963846023144144	-0.004182838298071078	0.07712806870482129	0.9577
memory_noise_sd	28	0.02928731969710089	-0.004925960679556557	0.06611613040256364	0.95345
memory_noise_sd	56	-0.02775542912800663	-0.09257650092684744	0.03623070229821322	0.19735
memory_noise_sd	112	-0.011714961432339036	-0.278895253133543	0.23859068431282443	0.4688
perceptual_noise_sd	7	0.15983373122333924	-0.03730444079480147	0.4630001367095936	0.93865
perceptual_noise_sd	10	0.14474939965976122	0.009719569128587109	0.3453396951277808	0.9829
perceptual_noise_sd	14	0.139766986845964	-0.001231397381010627	0.31755648151527877	0.97385
perceptual_noise_sd	20	0.1580987910188304	0.008256783191834241	0.341438254290216	0.9796
perceptual_noise_sd	28	0.19271229312756727	0.022643832968681606	0.3894626216220475	0.9881
perceptual_noise_sd	56	0.3097327519179451	0.07191578249877431	0.5649210449593156	0.99515
perceptual_noise_sd	112	0.24890429509604373	-0.24217471840385296	0.7376699019535398	0.8408
