order	n_safe	median	lo	hi	obs	obs_sem
Risky first	7.0	-0.007243867243867275	-0.05854256854256856	0.05326118326118323	-0.003564213564213565	0.03609656059327895
Risky first	10.0	-0.004545454545454575	-0.07779220779220775	0.054978354978355015	0.019004329004329006	0.031872359979577984
Risky first	14.0	-0.020000000000000018	-0.09376623376623372	0.04082251082251065	-0.004632034632034642	0.041446960759510966
Risky first	20.0	-0.014437229437229443	-0.07025974025974019	0.050692640692640734	-0.027489177489177494	0.042985399933987666
Risky first	28.0	0.018679653679653713	-0.0452380952380953	0.07779220779220775	0.04402597402597404	0.04149585065705767
Risky second	7.0	0.03755411255411262	-0.03398268398268389	0.11645021645021647	0.09588744588744588	0.04111927498400671
Risky second	10.0	0.01577922077922078	-0.03891774891774891	0.08294372294372288	0.010995670995671003	0.03478012487003009
Risky second	14.0	0.02662337662337655	-0.032900432900432874	0.10151515151515156	0.07272727272727272	0.042458333277957935
Risky second	20.0	0.026082251082251096	-0.027489177489177452	0.09696969696969704	0.04675324675324675	0.04130364313616211
Risky second	28.0	0.026190476190476097	-0.03571428571428581	0.09047619047619049	0.03809523809523809	0.03959748120196977
