parameter	level	mean	lo	hi	p_gt0
safe_prior_sd	sub-05	1.7639679926915381			
safe_prior_sd	sub-06	1.8402821807010223			
safe_prior_sd	sub-07	1.6814303719339398			
safe_prior_sd	sub-09	1.8678905659474585			
safe_prior_sd	sub-10	1.7022768957044028			
safe_prior_sd	sub-11	1.7355138960103014			
safe_prior_sd	sub-18	1.6476461866023329			
safe_prior_sd	sub-19	1.8448363723119807			
safe_prior_sd	sub-21	1.7908768142678546			
safe_prior_sd	sub-25	1.6583128762745838			
safe_prior_sd	sub-26	1.6873679426053458			
safe_prior_sd	sub-29	1.8192833590994586			
safe_prior_sd	sub-30	1.7016216310893295			
safe_prior_sd	sub-31	1.7522599216748154			
safe_prior_sd	sub-34	1.813834382874031			
safe_prior_sd	sub-35	1.6366406388729764			
safe_prior_sd	sub-36	1.7575930364428136			
safe_prior_sd	sub-37	1.780633419164216			
safe_prior_sd	sub-45	1.7888094301565207			
safe_prior_sd	sub-46	1.756752429361364			
safe_prior_sd	sub-47	1.7230236787098423			
safe_prior_sd	sub-50	1.850533786904489			
safe_prior_sd	sub-53	1.7237827922903384			
safe_prior_sd	sub-56	1.7904415761071715			
safe_prior_sd	sub-59	1.854783737455041			
safe_prior_sd	sub-62	1.7196846095417393			
safe_prior_sd	sub-63	1.7916807595341704			
safe_prior_sd	sub-67	1.7965906801140208			
safe_prior_sd	sub-69	1.6810101944194826			
safe_prior_sd	sub-72	1.8046688284725279			
safe_prior_sd	sub-74	1.8133106117613618			
