order	bin	stim	mean	lo	hi	frac	observed	observed_sem
Risky first	20%	ips	0.2846498617611101	0.2653323609248961	0.3035868092255717	1.5665678719620628	0.2584724799010513	0.036567045304318806
Risky first	20%	vertex	0.27454529830225805	0.25563736950421634	0.2964266737392152	1.5665678719620628	0.2836734693877551	0.041133372494283886
Risky first	32%	ips	0.37575445344184777	0.3556823717155169	0.3942738687130366	1.7917489421720731	0.3686784643927501	0.03642217926503582
Risky first	32%	vertex	0.36594774283264236	0.3472385935361386	0.3847323433616472	1.7917489421720731	0.354472273757988	0.035641642081146646
Risky first	44%	ips	0.49925238744743766	0.47738233569732236	0.51675830059221	2.073052865213882	0.5121933621933622	0.03579653297619387
Risky first	44%	vertex	0.4931477337999874	0.4739333692841919	0.5118191789987186	2.073052865213882	0.46737373737373733	0.04396740572766986
Risky first	56%	ips	0.6018887912219174	0.5826222273511231	0.619815413601018	2.4073398299813396	0.61	0.038936578735248216
Risky first	56%	vertex	0.5940309670616473	0.5723050392037843	0.6114018487368356	2.4073398299813396	0.5798015873015873	0.04537523747575878
Risky first	68%	ips	0.7087770279787645	0.6898630280118204	0.726614513108087	2.725272161741835	0.7213935574229692	0.040313220872796485
Risky first	68%	vertex	0.6996190875172452	0.6806271167165425	0.7167961443730748	2.725272161741835	0.7172385620915033	0.03806850840115315
Risky first	80%	ips	0.78420622706726	0.7651691142711174	0.803293426552178	3.1846923879040663	0.7862698412698413	0.03232222778649627
Risky first	80%	vertex	0.7740447898385184	0.7526083241944806	0.7955856161696265	3.1846923879040663	0.7965079365079365	0.03339170559287082
Risky second	20%	ips	0.35634580835594787	0.3376794361154593	0.37874642479755233	1.5660812943962115	0.3364378478664193	0.03826142357915323
Risky second	20%	vertex	0.28438157094944005	0.26256892231336176	0.3054685079352267	1.5660812943962115	0.2806698063840921	0.03961877840403598
Risky second	32%	ips	0.46270816952269483	0.4422504947089495	0.4853785417921273	1.7942493946731235	0.48956154956154957	0.043604041586397545
Risky second	32%	vertex	0.39042600895438495	0.36525917194330904	0.410606325612744	1.7942493946731235	0.3544671201814059	0.03531455769956919
Risky second	44%	ips	0.5898714956077191	0.5699053759265695	0.6099755238667298	2.069324784612302	0.5996536796536797	0.04155058653802237
Risky second	44%	vertex	0.5329771772428538	0.5118419727493162	0.5490471281093746	2.069324784612302	0.5420596946912736	0.0368859701710249
Risky second	56%	ips	0.6860743954737905	0.6670922654841775	0.7043653918714904	2.407020408163265	0.6647222222222222	0.03658367974968331
Risky second	56%	vertex	0.640938916068442	0.6219641411968518	0.6580952228391459	2.407020408163265	0.6701443001443002	0.039312021683299676
Risky second	68%	ips	0.7841223293869913	0.7657159562578819	0.8031012532860139	2.733065057008719	0.7888167388167389	0.034928820775869736
Risky second	68%	vertex	0.7500517145521708	0.7341751102450033	0.7669489880206892	2.733065057008719	0.7550653594771242	0.03306912991990606
Risky second	80%	ips	0.8435814698114009	0.8255715859539468	0.8589710972132945	3.1878139151914366	0.8418253968253968	0.02722916288954559
Risky second	80%	vertex	0.8161350129467903	0.8001012442515704	0.8326431120878024	3.1878139151914366	0.8135714285714286	0.02718097721217697
