stimulation_condition	risky_first	bin	observed	agg	ratio
ips	False	0	0.3462404843507867	by_stim	1.2894442090905116
ips	False	1	0.4830353859632177	by_stim	1.6506585414473256
ips	False	2	0.6345462009255113	by_stim	1.9642084587509023
ips	False	3	0.7011997858772052	by_stim	2.32629424098063
ips	False	4	0.7101061636775923	by_stim	2.8132953338672264
ips	False	5	0.7541863278886872	by_stim	3.586722993546796
ips	True	0	0.22806723995763406	by_stim	1.2894442090905116
ips	True	1	0.4082972582972583	by_stim	1.6506585414473256
ips	True	2	0.558052818828681	by_stim	1.9642084587509023
ips	True	3	0.6235745911267733	by_stim	2.32629424098063
ips	True	4	0.7176226551226551	by_stim	2.8132953338672264
ips	True	5	0.6906902497363451	by_stim	3.586722993546796
vertex	False	0	0.19544949494949496	by_stim	1.2894442090905116
vertex	False	1	0.4445181255526083	by_stim	1.6506585414473256
vertex	False	2	0.5359108324625567	by_stim	1.9642084587509023
vertex	False	3	0.6393694119500571	by_stim	2.32629424098063
vertex	False	4	0.7547438672438672	by_stim	2.8132953338672264
vertex	False	5	0.7482588655546913	by_stim	3.586722993546796
vertex	True	0	0.2530392156862745	by_stim	1.2894442090905116
vertex	True	1	0.4323971498413689	by_stim	1.6506585414473256
vertex	True	2	0.5134970393591083	by_stim	1.9642084587509023
vertex	True	3	0.562381346252314	by_stim	2.32629424098063
vertex	True	4	0.6499214079571223	by_stim	2.8132953338672264
vertex	True	5	0.6988155089443261	by_stim	3.586722993546796
	False	0	0.26259239900992476	pooled	1.2894442090905116
	False	1	0.4634794672053133	pooled	1.6506585414473256
	False	2	0.5853475048190191	pooled	1.9642084587509023
	False	3	0.6710864667701618	pooled	2.32629424098063
	False	4	0.7308935629587803	pooled	2.8132953338672264
	False	5	0.7512225967216893	pooled	3.586722993546796
	True	0	0.24463454395490522	pooled	1.2894442090905116
	True	1	0.4197586473841158	pooled	1.6506585414473256
	True	2	0.5357148102014155	pooled	1.9642084587509023
	True	3	0.5942105197958476	pooled	2.32629424098063
	True	4	0.6824757917521076	pooled	2.8132953338672264
	True	5	0.694025387214593	pooled	3.586722993546796
