term	spline	regressor	mean	lo	hi	p_gt0
memory_noise_sd	1	Intercept	-0.1198355780199871	-0.30473089695661276	0.038253541574135956	0.06825
memory_noise_sd	1	stimulation_condition[T.vertex]	-0.18939449266942285	-0.3842762041710104	-0.026804160772345147	0.0112
memory_noise_sd	2	Intercept	0.08780896739339092	0.0012341055814051635	0.19106102633263758	0.9762
memory_noise_sd	2	stimulation_condition[T.vertex]	-0.023321989018092237	-0.1224056574374484	0.0725522597447171	0.30925
memory_noise_sd	3	Intercept	0.22442338520367275	-0.03301858023229889	0.48737182165058046	0.95765
memory_noise_sd	3	stimulation_condition[T.vertex]	-0.1041401127685205	-0.35051840248245114	0.13532701041719325	0.19325
memory_noise_sd	4	Intercept	-0.22004163869931517	-0.663502891284101	0.2206138117512284	0.1583
memory_noise_sd	4	stimulation_condition[T.vertex]	0.19038239775254398	-0.2560020325128229	0.6481061585389736	0.79905
memory_noise_sd	5	Intercept	-0.046493485812495135	-0.3894738499360759	0.31321691430563176	0.3921
memory_noise_sd	5	stimulation_condition[T.vertex]	0.16769434284500537	-0.2609602522516046	0.6395520946665962	0.77425
perceptual_noise_sd	1	Intercept	0.6627578563423634	0.37250720361550915	1.0611946306606168	1.0
perceptual_noise_sd	2	Intercept	1.4706918241581022	1.1811780440744641	1.8243308650017285	1.0
perceptual_noise_sd	3	Intercept	4.127365239974288	3.6780190729606534	4.616937895151693	1.0
perceptual_noise_sd	4	Intercept	4.1992097513098505	3.541405621778348	4.894170205285084	1.0
perceptual_noise_sd	5	Intercept	5.382650993246232	4.760771131388546	6.033944062772636	1.0
