model	param	stim	subject	exponent	c	r2	sigma_at_28
logflex1	n1 (first)	vertex	1	-0.25792035635482913	0.5700482711990251	0.4112248659945291	0.24135712155650776
logflex1	n1 (first)	vertex	2	-0.14568064209233736	0.40612156416467393	0.7242279735578625	0.24993848842409752
logflex1	n1 (first)	vertex	3	-0.1127250846785123	0.26340212815094904	0.23521190722490937	0.18092070353261644
logflex1	n1 (first)	vertex	4	0.20007019693845374	0.15848661609502993	0.7606151900687909	0.30869229179334107
logflex1	n1 (first)	vertex	5	0.056677801384332274	0.22812501379217806	0.17498751398431145	0.2755463379279273
logflex1	n1 (first)	vertex	6	0.20246880692070518	0.1426382149033895	0.4317676123667066	0.2800530166344966
logflex1	n1 (first)	vertex	7	0.055308311495893395	0.20609250932399323	0.15284735376167735	0.24780044063734108
logflex1	n1 (first)	vertex	9	0.3937949705404941	0.0691552839433838	0.9146663241056722	0.25686736055739223
logflex1	n1 (first)	vertex	10	-0.08077787370320776	0.38585638195720845	0.4796070142382153	0.2947999048889305
logflex1	n1 (first)	vertex	11	0.14531558318716667	0.14374653098114762	0.4306086457072761	0.23328777767457337
logflex1	n1 (first)	vertex	18	0.17606124719661137	0.12444161229489471	0.5119624781761699	0.22374538031947958
logflex1	n1 (first)	vertex	19	0.23093336610677528	0.13853769166065635	0.401432594243728	0.2990646092956549
logflex1	n1 (first)	vertex	21	-0.03410948558187016	0.2810804537994795	0.02945571241888434	0.25088161114401786
logflex1	n1 (first)	vertex	25	0.10909478946805518	0.1373462147328394	0.24472898637237306	0.19755776100806924
logflex1	n1 (first)	vertex	26	-0.09942370300585156	0.27951046287477205	0.1960899205397295	0.20068562212108995
logflex1	n1 (first)	vertex	29	0.14277836626468207	0.1861153993285522	0.7331186755247242	0.29950575233998206
logflex1	n1 (first)	vertex	30	0.2842995975924805	0.12343715351674152	0.8656346730504564	0.31832617017047915
logflex1	n1 (first)	vertex	31	0.013240736506711513	0.28705006310396963	0.006591070881159511	0.2999985011135302
logflex1	n1 (first)	vertex	34	-0.09244647260215846	0.3253072450069512	0.7037424875619407	0.23906119185985705
logflex1	n1 (first)	vertex	35	-0.2926571114040215	0.42548096234570865	0.8439241271442849	0.1604571387490708
logflex1	n1 (first)	vertex	36	0.18393542458336154	0.16112629399952827	0.6261138032305225	0.29740621858231303
logflex1	n1 (first)	vertex	37	0.051478967710811424	0.2177808607035577	0.14034034819853614	0.2585341463611207
logflex1	n1 (first)	vertex	45	-0.2371966212119806	0.4354858191410735	0.8730743345296338	0.1975663707886794
logflex1	n1 (first)	vertex	46	-0.005136355999784131	0.29134949183043113	0.002481361419555239	0.28640536308593056
logflex1	n1 (first)	vertex	47	-0.05023841014070084	0.35204481101802426	0.0682763256488147	0.29777965929277367
logflex1	n1 (first)	vertex	50	0.050264295983006864	0.1438451252588552	0.10614772075969225	0.17007306103680866
logflex1	n1 (first)	vertex	53	0.27711547178354684	0.1336590858801531	0.871857786847352	0.3365335503012256
logflex1	n1 (first)	vertex	56	0.1918512777506781	0.12910447243826856	0.15136515934868722	0.24466982130124834
logflex1	n1 (first)	vertex	59	0.189951290180645	0.12373062121199874	0.6332169929039921	0.23300579832549137
logflex1	n1 (first)	vertex	62	0.051427451840785426	0.14805355502764844	0.0591480408275471	0.1757286165478318
logflex1	n1 (first)	vertex	63	-0.04470592303506405	0.25221018567946135	0.16740879017812604	0.21730318224999232
logflex1	n1 (first)	vertex	67	0.25871511923329366	0.13872668587583312	0.7021611556938315	0.3285198939116935
logflex1	n1 (first)	vertex	69	0.11977083407362424	0.20812725198679355	0.7411251964032335	0.3102103434124635
logflex1	n1 (first)	vertex	72	0.19789032249429495	0.1067926790362516	0.8051932883789963	0.2064999976379028
logflex1	n1 (first)	vertex	74	-0.19824192024261836	0.5492369369696601	0.6912732788733778	0.2837085012071403
logflex1	n2 (second)	vertex	1	0.2750742210053278	0.055297149291475056	0.8148660922094777	0.1382861262342516
logflex1	n2 (second)	vertex	2	0.1250084823914219	0.15670101787518592	0.3526170496608497	0.23767245204834642
logflex1	n2 (second)	vertex	3	0.576714938110379	0.015107340108547048	0.963636769562765	0.1032251828840015
logflex1	n2 (second)	vertex	4	0.21326647603122498	0.06086917010334681	0.939075379601133	0.1238875527836958
logflex1	n2 (second)	vertex	5	0.305629233423105	0.04301208952658574	0.7741447919262938	0.11909248046007907
logflex1	n2 (second)	vertex	6	0.36986265114073164	0.03610744470038933	0.7187642560358584	0.12383587036400598
logflex1	n2 (second)	vertex	7	0.18166396547780603	0.12916698341242988	0.5343178629688577	0.23661811145422681
logflex1	n2 (second)	vertex	9	0.7936167642317727	0.010898875064480092	0.9499045116484738	0.1534159622547695
logflex1	n2 (second)	vertex	10	0.4599350262814348	0.025778420356110353	0.9802261783813557	0.1193589441621315
logflex1	n2 (second)	vertex	11	0.3013733283983428	0.06051587217817615	0.6218654975889331	0.16519775060753167
logflex1	n2 (second)	vertex	18	0.25688345425276127	0.0781169551409052	0.46439893742691285	0.18386381237161872
logflex1	n2 (second)	vertex	19	0.40413632619317047	0.034527201002208914	0.9927895801162103	0.1327426560718351
logflex1	n2 (second)	vertex	21	0.514027321706444	0.03117105214179478	0.8300417212742577	0.17283441681190426
logflex1	n2 (second)	vertex	25	0.28442989285484144	0.06195738884948668	0.727197361609158	0.15984833252299466
logflex1	n2 (second)	vertex	26	0.31133800880707674	0.04665680000821813	0.9182376731851702	0.13166497135004082
logflex1	n2 (second)	vertex	29	0.6360033376345354	0.026044486839029966	0.9934964917443934	0.21682689109638487
logflex1	n2 (second)	vertex	30	0.6898850497805236	0.01835370729773573	0.924545192738923	0.18285064298485718
logflex1	n2 (second)	vertex	31	0.38202206407930395	0.03692170681915588	0.968122232428159	0.13186455320402396
logflex1	n2 (second)	vertex	34	0.4788433252450335	0.023720526020023985	0.8806789046909826	0.1169731753684353
logflex1	n2 (second)	vertex	35	-0.0712782213535168	0.15811436283860042	0.7813588054134798	0.12468679787138436
logflex1	n2 (second)	vertex	36	0.3221036963022524	0.05148343592097195	0.8607652188130687	0.15059219874993438
logflex1	n2 (second)	vertex	37	0.3657938315380909	0.039777766459939405	0.9630697094307502	0.13458661638770508
logflex1	n2 (second)	vertex	45	0.211356404394864	0.05915153370924562	0.8789615048305622	0.11962780325864245
logflex1	n2 (second)	vertex	46	0.271932670187173	0.07021637500030208	0.7824440797172068	0.17376725971570728
logflex1	n2 (second)	vertex	47	0.34234277071361413	0.05466870546127705	0.9021073367770471	0.17106567687923652
logflex1	n2 (second)	vertex	50	0.6252247169515962	0.015095889585870596	0.991113302023884	0.12124328121313839
logflex1	n2 (second)	vertex	53	0.45151231715394147	0.02968614156041815	0.9927606366042153	0.13364829728554392
logflex1	n2 (second)	vertex	56	0.03406148899264797	0.10620436565410062	0.4993286046070273	0.11896925079748533
logflex1	n2 (second)	vertex	59	0.8076184106607488	0.010737275952058067	0.9907152015349008	0.15836003316491004
logflex1	n2 (second)	vertex	62	0.48546156376545485	0.032963749963826686	0.9798784001608305	0.16617902715240152
