subject	b_lr	b_q	b_lr_x_q	order
1	6.264050106288028	-1.5932249285057543	1.9400997008455632	risky second (safe first)
2	2.495943178790892	-0.46158498788338787	0.26776307726620896	risky second (safe first)
3	8.010869956064452	-1.0074076392289009	1.8030937048892806	risky second (safe first)
4	4.28178174157105	0.3489660361569434	-0.28950440129974553	risky second (safe first)
5	4.776265988507948	0.2373194718762999	-0.18263333845383103	risky second (safe first)
6	3.95643423109262	-0.6405354226780909	0.6448707486257266	risky second (safe first)
7	2.884260487126895	0.010208327834118486	0.00995227580358281	risky second (safe first)
9	2.8563896698457674	0.9888011476632448	-0.8217603295947019	risky second (safe first)
10	3.033446971828098	-0.4351235397861888	0.7838977309332257	risky second (safe first)
11	7.8175721397820075	-1.2538266391425505	1.2673773646768125	risky second (safe first)
18	8.72542585106279	-0.7103228512180455	1.95537043767098	risky second (safe first)
19	2.0815306997278564	-0.15069607690022196	0.3559802476998338	risky second (safe first)
21	1.9868296223465716	0.2764577154422292	-0.0613669393351208	risky second (safe first)
25	11.009795700015294	-0.6249832029928312	2.232921265037488	risky second (safe first)
26	5.516462507864508	-0.6327068184504199	1.1513389524444864	risky second (safe first)
29	1.6101529221701987	0.24223687634108193	-0.3981669484927397	risky second (safe first)
30	2.3705810889890335	0.5517399861355814	-0.6255234367554536	risky second (safe first)
31	3.5127333976518806	-0.9602333070737146	1.3478334654958528	risky second (safe first)
34	3.5610904263676444	-0.050654482411112756	-0.09731371621527042	risky second (safe first)
35	4.62801961061727	-1.2559672929627423	1.3232726098850993	risky second (safe first)
36	4.680074601270564	-0.435263977434742	0.4777674149149385	risky second (safe first)
37	5.235886458424876	0.5823258451739994	-0.35636580535591955	risky second (safe first)
45	2.169267756480448	1.6205286491804332	-1.467162376344218	risky second (safe first)
46	4.126421555961783	-0.594022026518477	0.8080572153226929	risky second (safe first)
47	3.337768394099645	-0.04331404107372472	0.06638346990975157	risky second (safe first)
50	2.505735172432128	-0.8527705969543636	0.7542573593512255	risky second (safe first)
53	4.22274858536953	-1.3399898375390165	1.2053001314050102	risky second (safe first)
56	6.147737052451571	1.412055792234471	-2.083015981161505	risky second (safe first)
59	2.2352090637102564	-0.5854646613700959	0.49908931502240883	risky second (safe first)
62	4.579027488420598	-0.1982698219291429	-0.20256361312445006	risky second (safe first)
63	4.4922700142673335	-0.08180906081986011	-0.040888605168476776	risky second (safe first)
67	3.218559780260245	-0.8463111958480981	0.6907028022137262	risky second (safe first)
69	5.860051892554534	0.01930568148996339	-0.3071353556550491	risky second (safe first)
72	5.5491837193054	-0.4823215317719294	1.0275339477203291	risky second (safe first)
74	4.258855375757365	-1.015037018623277	1.0181204516757252	risky second (safe first)
1	5.8951684170126395	-0.645081886481446	0.6155626159086504	risky first
2	3.7242157288425903	0.14177522482498567	0.1925655288183577	risky first
3	7.628331364015883	-0.6273065911874416	1.1047213418213107	risky first
4	1.4404590363836551	-0.5590829854792959	0.7254015298591802	risky first
5	4.596261279131786	-1.1529921218479142	0.7657640835633597	risky first
6	2.0739180272660467	-0.21942057676386498	0.4818019101147067	risky first
7	2.7843340077507173	-0.49182354138045997	0.4659144011288526	risky first
9	2.0769068724362048	-2.1964214418275785	1.787902375942463	risky first
10	4.263031290603619	0.2317949626409275	-0.5882280588495894	risky first
11	5.341227922531787	-0.1865906280647159	0.23294076012542125	risky first
18	6.894991137751403	-0.7229857421597925	2.314298825174478	risky first
19	1.3544133829347065	1.9886652120480015	-1.8322501809300675	risky first
21	2.727163445427379	-0.058801682561150814	0.27368437337478796	risky first
25	8.151338563468501	-0.4411611410824812	0.45224390392826513	risky first
26	6.855819527290735	0.13867469979319408	-1.0871602526245423	risky first
29	2.9769126973441082	-0.6049719788577086	0.4237778204392119	risky first
30	3.002189454550918	0.34083138748561803	-0.6376707443084525	risky first
31	5.3443034420808875	-0.5465893962701164	1.007283696296072	risky first
34	3.1656910947227095	-0.8528433959632844	0.8074173663227849	risky first
35	3.2134024635231335	2.712096834425017	-2.8967557721935098	risky first
36	4.036760243701152	-0.39045622993767265	0.2874986850891846	risky first
37	4.227231001171	-0.9122110995238552	1.0928817203824779	risky first
45	4.188331611354621	2.1533237909978085	-1.7282938235412388	risky first
46	3.4306987825476867	-1.4501718172502873	1.7899995573232508	risky first
47	4.261797172702308	-0.32748922018065635	0.7520030515155198	risky first
50	1.2914936361097276	-4.96061928521556	4.010306671730677	risky first
53	2.824612228932317	-0.12429727208722245	-0.15510245965644748	risky first
56	3.740731679905507	-1.2553912682801724	1.6095654043696501	risky first
59	2.637554278207795	-1.243720851216163	1.226193483306312	risky first
62	6.074285289485662	-0.4242320342102565	0.8169778964783727	risky first
63	5.988873795375947	-0.2976355647521449	0.7951718426653566	risky first
67	1.8165480007407977	-1.7249065363028777	1.655211023059141	risky first
69	3.148873730081186	-0.5791756713288898	1.2072889877552828	risky first
72	5.83820710118492	-0.11189148574554666	-0.07234811978355137	risky first
74	2.7530939266308256	-0.17525273629980478	0.28044197087155814	risky first
