term	payoff	delta	lo	hi	p_increase
memory_noise_sd	7	-0.1621718628440831	-1.3634426236447872	0.5188585716395137	0.5781
memory_noise_sd	10	-0.00702141432980817	-0.19139218268822739	0.1909681676269565	0.4605
memory_noise_sd	14	0.12374139016984896	-0.01049768321847038	0.33936460909926913	0.96265
memory_noise_sd	20	0.10525361101117128	-0.006344885456327012	0.2590711079056185	0.9672
memory_noise_sd	28	0.006489302810613583	-0.0863613064020332	0.09916325352145525	0.55995
memory_noise_sd	56	0.005813712576622808	-0.12408977966495952	0.13375086699302133	0.5394
memory_noise_sd	112	0.10521926754331912	-0.21112276694760407	0.41802727914168536	0.7563
perceptual_noise_sd	7	0.29793745070270744	-0.2308065942747006	0.8753105635604724	0.87495
perceptual_noise_sd	10	0.20996635223333265	-0.0792262755163437	0.5558988761343969	0.9256
perceptual_noise_sd	14	0.1696854648364428	-0.04769203022800333	0.4370998309552529	0.9344
perceptual_noise_sd	20	0.1098774917523786	-0.09784054020097861	0.33341367950710254	0.8496
perceptual_noise_sd	28	0.22964142671120136	0.015016285193859648	0.4742712812318953	0.98265
perceptual_noise_sd	56	0.20246471248807504	-0.12354251731020298	0.5361282253298504	0.89215
perceptual_noise_sd	112	0.01144232297578843	-0.6575463846198587	0.6518391624746335	0.5167
