term	stimulation	payoff	nu	lo	hi	sim_lo	sim_hi
perceptual	ips	7.0	0.8413184758253383	0.32586433499723544	1.3332861517891281		
perceptual	ips	7.176470588235294	0.866150723270918	0.357608592984863	1.342090121401981		
perceptual	ips	7.352941176470588	0.8910710666703406	0.3918808885610989	1.3545807753252195		
perceptual	ips	7.529411764705882	0.9160337869824299	0.42607303357877374	1.3635612258164274		
perceptual	ips	7.705882352941177	0.9409937272944249	0.4609124207464799	1.3728204547623584		
perceptual	ips	7.882352941176471	0.9659066604537186	0.49870057220117947	1.3849717929546168		
perceptual	ips	8.058823529411764	0.9907296313513569	0.5380280265221083	1.3963325888756393		
perceptual	ips	8.235294117647058	1.0154212674650032	0.575430764032312	1.4107479710999618		
perceptual	ips	8.411764705882353	1.0399420525711838	0.609932337618445	1.4261542822578246		
perceptual	ips	8.588235294117647	1.0642545600218216	0.6463705207899337	1.4404949895259627		
perceptual	ips	8.764705882352942	1.0883236435458967	0.6845911731101706	1.4574300716224322		
perceptual	ips	8.941176470588236	1.1121165850805488	0.7209355801192385	1.4738422158387166		
perceptual	ips	9.117647058823529	1.135603200559308	0.7558315802201804	1.4936850010085656		
perceptual	ips	9.294117647058824	1.1587559058125754	0.7899492747613639	1.5132205628663487		
perceptual	ips	9.470588235294118	1.1815497457153243	0.8274419249451092	1.5356271584345595		
perceptual	ips	9.647058823529413	1.2039623904246035	0.8610502787851831	1.5532034795686662		
perceptual	ips	9.823529411764707	1.2259741029869322	0.893996769944189	1.5723481943483075		
perceptual	ips	10.0	1.2475676827845117	0.9262614071565576	1.5923645012436236		
perceptual	ips	10.176470588235293	1.2687283892654895	0.9550076985286923	1.6129357452330255		
perceptual	ips	10.352941176470589	1.2894438502091046	0.983364910729322	1.6315018885098465		
perceptual	ips	10.529411764705882	1.3097039584581165	1.0091230183806694	1.6557933260489128		
perceptual	ips	10.705882352941178	1.3295007606481803	1.0330780165755864	1.676095713164777		
perceptual	ips	10.882352941176471	1.3488283410168844	1.0581767275688427	1.6979472287124413		
perceptual	ips	11.058823529411764	1.3676827029128114	1.0779761823768494	1.7201845169165966		
perceptual	ips	11.235294117647058	1.38606165017342	1.097673756560996	1.7428848449958485		
perceptual	ips	11.411764705882353	1.4039646701160302	1.1169854477017038	1.7623581017737144		
perceptual	ips	11.588235294117649	1.4213928195013676	1.1334444856959234	1.780347961546983		
perceptual	ips	11.764705882352942	1.4383486144896367	1.150309573396527	1.8009938402847114		
perceptual	ips	11.941176470588236	1.4548359253183019	1.165724411780195	1.8196237672689604		
perceptual	ips	12.117647058823529	1.470859876186242	1.1785215850340691	1.8378285939599623		
perceptual	ips	12.294117647058824	1.4864267506301907	1.1934443371200982	1.8567730527538262		
perceptual	ips	12.470588235294118	1.5015439025189798	1.20745481183887	1.874289764256848		
perceptual	ips	12.647058823529413	1.5162196726676835	1.220791751067522	1.8907754039876745		
perceptual	ips	12.823529411764707	1.5304633109787555	1.2332841776321222	1.9083946422477254		
perceptual	ips	13.0	1.5442849039486988	1.2457891137606247	1.9249711507133314		
perceptual	ips	13.176470588235293	1.5576953073300785	1.2577246678088732	1.9401104482738531		
perceptual	ips	13.352941176470589	1.5707060837070554	1.2697072765099353	1.9549442820250889		
perceptual	ips	13.529411764705884	1.5833294447237634	1.2817379597896623	1.9684262538788762		
perceptual	ips	13.705882352941178	1.5955781976964023	1.293017657239234	1.9811595479629722		
perceptual	ips	13.882352941176471	1.6074656963394494	1.3045964426473868	1.993140544358988		
perceptual	ips	14.058823529411764	1.6190057953407573	1.3158483339418134	2.0045771063973867		
perceptual	ips	14.235294117647058	1.6302128085301717	1.3268541206483053	2.017235114619508		
perceptual	ips	14.411764705882353	1.6411014703979254	1.3379342112310564	2.0284199490623576		
perceptual	ips	14.588235294117649	1.651686900732737	1.3489403739166934	2.038380910574994		
perceptual	ips	14.764705882352942	1.661984572165214	1.359786463493827	2.047532697826397		
perceptual	ips	14.941176470588236	1.6720102804165873	1.3706068854399638	2.0574308424227365		
perceptual	ips	15.11764705882353	1.6817801170693762	1.3809472511129584	2.0669521978930474		
perceptual	ips	15.294117647058824	1.691310444691008	1.3917129786636706	2.076489408288933		
perceptual	ips	15.470588235294118	1.700617874156433	1.402490147791961	2.0858697876530257		
perceptual	ips	15.647058823529413	1.7097192440297682	1.4130501287160733	2.091559951761699		
perceptual	ips	15.823529411764707	1.718631601878156	1.4235776300837837	2.09776557375163		
perceptual	ips	16.0	1.7273721874033348	1.433679156435917	2.1036957947367743		
perceptual	ips	16.176470588235297	1.73595841728761	1.4431396132136782	2.111650680586448		
perceptual	ips	16.352941176470587	1.7444078716615614	1.4537705908435985	2.1191126575746515		
perceptual	ips	16.529411764705884	1.7527382821100779	1.4638829114915506	2.1240812159748166		
perceptual	ips	16.705882352941178	1.760967521141638	1.4728740114875594	2.129305994936173		
perceptual	ips	16.88235294117647	1.7691135930533182	1.4823713491406978	2.134972349149987		
perceptual	ips	17.058823529411764	1.7771946261304192	1.4921421563944617	2.142014772669663		
perceptual	ips	17.235294117647058	1.7852288661252271	1.501819887930966	2.1495196318285203		
perceptual	ips	17.411764705882355	1.7932346709636213	1.5116917938979768	2.155221701623646		
perceptual	ips	17.58823529411765	1.8012301154501063	1.5209994064983168	2.1615492190899377		
perceptual	ips	17.764705882352942	1.80922436812605	1.5300616293874665	2.1672048885731274		
perceptual	ips	17.941176470588236	1.8172176293705098	1.538931882517084	2.1739378035606127		
perceptual	ips	18.11764705882353	1.825209711417906	1.5483252032255268	2.1791946151071504		
perceptual	ips	18.294117647058826	1.8332004289926849	1.558332083373418	2.1855471394993673		
perceptual	ips	18.470588235294116	1.841189599288942	1.5673709353831338	2.1920654697501005		
perceptual	ips	18.647058823529413	1.8491770419497229	1.5759712466595257	2.1987140962614706		
perceptual	ips	18.823529411764707	1.8571625790460236	1.585842232070013	2.205115400649022		
perceptual	ips	19.0	1.8651460350555253	1.5946337558795722	2.2112932935855962		
perceptual	ips	19.176470588235297	1.8731272368409815	1.6034390909363774	2.2176617885765975		
perceptual	ips	19.352941176470587	1.8811060136284266	1.6118769766247245	2.2248346543721063		
perceptual	ips	19.529411764705884	1.8890821969851792	1.6209568664787213	2.2305972964504557		
perceptual	ips	19.705882352941178	1.8970556207976481	1.6296269288215395	2.237320359238581		
perceptual	ips	19.88235294117647	1.905026121248912	1.6384705858390323	2.2429810544876667		
perceptual	ips	20.058823529411768	1.912993536796221	1.6471066449326033	2.2498433667248263		
perceptual	ips	20.235294117647058	1.9209577081483176	1.6553139092252196	2.256865025098906		
perceptual	ips	20.411764705882355	1.928918478242656	1.6644283540299296	2.2635862754903466		
perceptual	ips	20.58823529411765	1.9368756922225814	1.6732247721158482	2.2701705662664895		
perceptual	ips	20.764705882352942	1.9448291974143077	1.6818045402383384	2.277059323704506		
perceptual	ips	20.941176470588236	1.9527788433039899	1.6900609080716926	2.2837504656659		
perceptual	ips	21.11764705882353	1.9607244815146059	1.698389975334541	2.2905717811992163		
perceptual	ips	21.294117647058826	1.9686659657829404	1.7063461367239383	2.2976668388535044		
perceptual	ips	21.470588235294116	1.9766031519364677	1.715338749419246	2.3049851838745186		
perceptual	ips	21.647058823529413	1.9845358978702587	1.7233021029876192	2.3121629612640335		
perceptual	ips	21.823529411764707	1.9924640635239108	1.7321131900355324	2.3184024848710205		
perceptual	ips	22.0	2.000387510858531	1.7402050867182086	2.325514267269662		
perceptual	ips	22.176470588235297	2.0083061038336756	1.7484179697198354	2.332507763075251		
perceptual	ips	22.352941176470587	2.016219708384436	1.7558797725149442	2.339638336224585		
perceptual	ips	22.529411764705884	2.024128192398519	1.763932869495974	2.3464455457391415		
perceptual	ips	22.705882352941178	2.032031425693435	1.7710613064671226	2.3548134964722127		
perceptual	ips	22.88235294117647	2.0399292799937587	1.779364743507864	2.3622000758995703		
perceptual	ips	23.058823529411764	2.0478216289084576	1.7877763926190828	2.3690848898756482		
perceptual	ips	23.23529411764706	2.0557083479083818	1.79537467921306	2.3766724137639215		
perceptual	ips	23.411764705882355	2.063589314303786	1.803043317462283	2.3842568458759508		
