label	elpd_loo	se	p_loo	divergences	max_rhat
lfx2-bs2-fm-dp-b	-4178.620647802452	46.77993446723019	307.3837278418382	5	2.4087435468619383
lfx2-bs2-fm-dp-null	-4271.5854625666025	46.18853035560176	222.24910392305128	6	1.7376195981269742
lfx2-bs2-fm-tp-b	-4177.792204410935	46.801191446220706	306.50893673648216	4	2.413012915375874
lfx2-bs2-fm-tp-null	-4265.855977246914	46.1798230461479	215.33444644813108	2	1.528472551520075
lfx2-bs2-sm-dp-b	-4163.357597950605	46.466690203981045	244.6313588953144	4	1.0018240837750259
lfx2-bs2-sm-dp-null	-4262.723775312472	46.113546647591235	180.48412060238206	0	1.001542325252786
lfx2-bs2-sm-tp-b	-4163.281925595831	46.46124434854496	244.47103878316466	5	1.0041967589677145
lfx2-bs2-sm-tp-null	-4262.519947435065	46.10102063800907	179.78884561071163	17	1.0056242611751285
lfx2-bs3-fm-dp-b	-4171.428230188715	46.864541701540155	300.86521107310955	9	2.22712756301915
lfx2-bs3-fm-dp-null	-4262.446844108011	46.21189585693807	212.42628257430215	12	1.7347018268556675
lfx2-bs3-fm-tp-b	-4167.953498926296	46.71608911498122	286.51291588961703	77	1.5378521877725975
lfx2-bs3-fm-tp-null	-4251.061035912664	46.16551854373453	193.42283569319716	9	1.001023500166008
lfx2-bs3-sm-dp-b	-4162.674128972518	46.50286749661274	243.94800924589026	28	1.0010725385974633
lfx2-bs3-sm-dp-null	-4260.407113324036	46.16081157996754	179.35675607074427	0	1.001859855258457
lfx2-bs3-sm-tp-b	-4162.617244483283	46.51355633160349	244.1989735943407	6	1.0013027803198429
lfx2-bs3-sm-tp-null	-4259.675948750057	46.1413943629564	178.0210297542185	0	1.0017349066035675
lfx2-cr3-fm-dp-b	-4185.732960081645	46.529687564366	268.2935862638419	32	1.9383522655813243
lfx2-cr3-fm-dp-null	-4273.752339582063	46.03775135887463	196.11612913350336	4	1.5320693072099745
lfx2-cr3-fm-tp-b	-4189.606075492079	46.52235990843572	290.7617603915569	9	2.455212596568979
lfx2-cr3-fm-tp-null	-4274.889402792002	46.092629459259705	191.71254104329364	16	1.5282160627749597
lfx2-cr3-sm-dp-b	-4169.533984586047	46.44404210495004	245.4558395018912	145	1.2029219502081114
lfx2-cr3-sm-dp-null	-4264.895603636723	46.119231630216795	171.72159388262025	105	1.007381278305439
lfx2-cr3-sm-tp-b	-4171.091942607347	46.444009445952844	250.0612230156089	303	1.210451262344056
lfx2-cr3-sm-tp-null	-4265.200506274976	46.11928051833065	171.15261407963317	23	1.0057287055493134
