term	payoff	delta	lo	hi	p_increase
memory_noise_sd	7	0.0	0.0	0.0	0.0
memory_noise_sd	10	0.0	0.0	0.0	0.0
memory_noise_sd	14	0.0	0.0	0.0	0.0
memory_noise_sd	20	0.0	0.0	0.0	0.0
memory_noise_sd	28	0.0	0.0	0.0	0.0
memory_noise_sd	56	0.0	0.0	0.0	0.0
memory_noise_sd	112	0.0	0.0	0.0	0.0
perceptual_noise_sd	7	0.19091810283538038	0.041128174561638094	0.4186862287069882	0.99515
perceptual_noise_sd	10	0.16213307879408	0.045724237791589864	0.33142332589203144	0.99805
perceptual_noise_sd	14	0.1470771707508054	0.02345983441323763	0.3060733870753838	0.99065
perceptual_noise_sd	20	0.1636083422983269	0.0267171819628512	0.3313468011341355	0.99125
perceptual_noise_sd	28	0.19441031487070012	0.03738787323243804	0.374999313720552	0.99345
perceptual_noise_sd	56	0.2576816724519604	0.038442198851383766	0.48659299862146027	0.98945
perceptual_noise_sd	112	0.22074399096933886	-0.19527685734423875	0.6290868161395003	0.86045
