order	n_safe	median	lo	hi	obs	obs_sem
Risky first	7.0	0.007806637806637817	-0.05499278499278504	0.05780663780663786	-0.003564213564213565	0.03609656059327895
Risky first	10.0	-0.002813852813852713	-0.05264069264069271	0.0614285714285715	0.019004329004329006	0.031872359979577984
Risky first	14.0	-0.004307359307359315	-0.05995670995670993	0.06489177489177489	-0.004632034632034642	0.041446960759510966
Risky first	20.0	-0.0006709956709956832	-0.060779220779220766	0.06454545454545463	-0.027489177489177494	0.042985399933987666
Risky first	28.0	0.012251082251082235	-0.04311688311688311	0.07142857142857145	0.04402597402597404	0.04149585065705767
Risky second	7.0	0.018073593073593075	-0.03961038961038954	0.0748917748917749	0.09588744588744588	0.04111927498400671
Risky second	10.0	0.007748917748917783	-0.03839826839826843	0.06701298701298708	0.010995670995671003	0.03478012487003009
Risky second	14.0	0.026515151515151436	-0.0331168831168831	0.0844155844155845	0.07272727272727272	0.042458333277957935
Risky second	20.0	0.03008658008658005	-0.03722943722943728	0.08203463203463202	0.04675324675324675	0.04130364313616211
Risky second	28.0	0.02857142857142858	-0.02619047619047621	0.10238095238095235	0.03809523809523809	0.03959748120196977
